,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
169124,RightFoot,OpenPlay,BlockedShot,0.10940670222043991,7,0,1,Carlos Bacca,1125,a,Villarreal,Levante,Antonio Rukavina,2017-08-21 19:15:00,7887,2017,"(0.885, 0.355)"
169125,RightFoot,FromCorner,MissedShots,0.026116788387298584,8,0,1,Antonio Rukavina,2299,a,Villarreal,Levante,Manu Trigueros,2017-08-21 19:15:00,7887,2017,"(0.855999984741211, 0.3629999923706055)"
169130,LeftFoot,OpenPlay,BlockedShot,0.071419358253479,34,0,1,Pablo Fornals,2335,a,Villarreal,Levante,Antonio Rukavina,2017-08-21 19:15:00,7887,2017,"(0.835999984741211, 0.3820000076293945)"
169134,RightFoot,FromCorner,SavedShot,0.0364123210310936,46,0,1,Álvaro González,2430,a,Villarreal,Levante,Nicola Sansone,2017-08-21 19:15:00,7887,2017,"(0.97, 0.66)"
169129,Head,FromCorner,MissedShots,0.08016669005155563,30,0,1,Rodri,2496,a,Villarreal,Levante,Manu Trigueros,2017-08-21 19:15:00,7887,2017,"(0.9209999847412109, 0.4329999923706055)"
169140,LeftFoot,OpenPlay,BlockedShot,0.013759083114564419,75,0,1,Leo Suárez,5164,a,Villarreal,Levante,Enes Ünal,2017-08-21 19:15:00,7887,2017,"(0.8219999694824218, 0.8219999694824218)"
169133,RightFoot,OpenPlay,BlockedShot,0.03276504948735237,45,0,1,Nicola Sansone,1826,a,Villarreal,Levante,Carlos Bacca,2017-08-21 19:15:00,7887,2017,"(0.89, 0.735999984741211)"
169131,RightFoot,OpenPlay,BlockedShot,0.08406328409910202,35,0,1,Carlos Bacca,1125,a,Villarreal,Levante,Antonio Rukavina,2017-08-21 19:15:00,7887,2017,"(0.91, 0.43099998474121093)"
169388,RightFoot,OpenPlay,BlockedShot,0.016944963485002518,57,0,3,Cédric Bakambu,2306,a,Villarreal,Real Sociedad,Álvaro González,2017-08-25 19:15:00,7889,2017,"(0.735999984741211, 0.40700000762939453)"
169389,Head,FromCorner,MissedShots,0.013581326231360435,58,0,3,Rúben Semedo,6220,a,Villarreal,Real Sociedad,Manu Trigueros,2017-08-25 19:15:00,7889,2017,"(0.870999984741211, 0.5520000076293945)"
169382,LeftFoot,OpenPlay,SavedShot,0.02670004963874817,26,0,3,Manu Trigueros,2301,a,Villarreal,Real Sociedad,Rúben Semedo,2017-08-25 19:15:00,7889,2017,"(0.7709999847412109, 0.4490000152587891)"
169390,LeftFoot,FromCorner,MissedShots,0.01322008203715086,59,0,3,Manu Trigueros,2301,a,Villarreal,Real Sociedad,,2017-08-25 19:15:00,7889,2017,"(0.7609999847412109, 0.674000015258789)"
169396,LeftFoot,OpenPlay,BlockedShot,0.009318210184574127,84,0,3,Samu Castillejo,2303,a,Villarreal,Real Sociedad,Rodri,2017-08-25 19:15:00,7889,2017,"(0.6959999847412109, 0.7030000305175781)"
169392,RightFoot,OpenPlay,MissedShots,0.0419171042740345,63,0,3,Cédric Bakambu,2306,a,Villarreal,Real Sociedad,,2017-08-25 19:15:00,7889,2017,"(0.905, 0.36900001525878906)"
169623,Head,OpenPlay,MissedShots,0.08113329857587814,40,3,1,Manu Trigueros,2301,h,Villarreal,Real Betis,Jaume Costa,2017-09-10 19:45:00,7901,2017,"(0.894000015258789, 0.47200000762939454)"
169616,Head,OpenPlay,MissedShots,0.028116533532738686,14,3,1,Samu Castillejo,2303,h,Villarreal,Real Betis,Jaume Costa,2017-09-10 19:45:00,7901,2017,"(0.8690000152587891, 0.4279999923706055)"
169617,LeftFoot,OpenPlay,BlockedShot,0.32534995675086975,19,3,1,Samu Castillejo,2303,h,Villarreal,Real Betis,,2017-09-10 19:45:00,7901,2017,"(0.905, 0.445)"
169624,LeftFoot,OpenPlay,SavedShot,0.03459770604968071,42,3,1,Samu Castillejo,2303,h,Villarreal,Real Betis,,2017-09-10 19:45:00,7901,2017,"(0.8690000152587891, 0.27100000381469724)"
169628,LeftFoot,OpenPlay,Goal,0.03269490972161293,60,3,1,Samu Castillejo,2303,h,Villarreal,Real Betis,Pablo Fornals,2017-09-10 19:45:00,7901,2017,"(0.8130000305175781, 0.345)"
169629,RightFoot,OpenPlay,SavedShot,0.07623787969350815,63,3,1,Samu Castillejo,2303,h,Villarreal,Real Betis,Cédric Bakambu,2017-09-10 19:45:00,7901,2017,"(0.945, 0.32099998474121094)"
169618,RightFoot,OpenPlay,SavedShot,0.03236252814531326,28,3,1,Cédric Bakambu,2306,h,Villarreal,Real Betis,Samu Castillejo,2017-09-10 19:45:00,7901,2017,"(0.845999984741211, 0.29200000762939454)"
169632,RightFoot,OpenPlay,Goal,0.29555800557136536,76,3,1,Enes Ünal,6219,h,Villarreal,Real Betis,Álvaro González,2017-09-10 19:45:00,7901,2017,"(0.889000015258789, 0.3160000038146973)"
169614,Head,OpenPlay,SavedShot,0.10775846242904663,7,3,1,Carlos Bacca,1125,h,Villarreal,Real Betis,Antonio Rukavina,2017-09-10 19:45:00,7901,2017,"(0.9119999694824219, 0.5459999847412109)"
169626,RightFoot,OpenPlay,BlockedShot,0.08373799175024033,47,3,1,Pablo Fornals,2335,h,Villarreal,Real Betis,Antonio Rukavina,2017-09-10 19:45:00,7901,2017,"(0.884000015258789, 0.4809999847412109)"
169622,LeftFoot,OpenPlay,ShotOnPost,0.02075493335723877,39,3,1,Rodri,2496,h,Villarreal,Real Betis,,2017-09-10 19:45:00,7901,2017,"(0.769000015258789, 0.36400001525878906)"
169633,RightFoot,OpenPlay,MissedShots,0.07249551266431808,79,3,1,Cédric Bakambu,2306,h,Villarreal,Real Betis,Pablo Fornals,2017-09-10 19:45:00,7901,2017,"(0.865, 0.6930000305175781)"
169619,RightFoot,OpenPlay,Goal,0.329649955034256,31,3,1,Carlos Bacca,1125,h,Villarreal,Real Betis,,2017-09-10 19:45:00,7901,2017,"(0.9119999694824219, 0.549000015258789)"
169621,RightFoot,OpenPlay,MissedShots,0.07162047922611237,35,3,1,Carlos Bacca,1125,h,Villarreal,Real Betis,Cédric Bakambu,2017-09-10 19:45:00,7901,2017,"(0.825, 0.48700000762939455)"
169897,RightFoot,OpenPlay,Goal,0.41131407022476196,61,3,0,Cédric Bakambu,2306,a,Villarreal,Alaves,Samu Castillejo,2017-09-17 11:00:00,7912,2017,"(0.9330000305175781, 0.33)"
169898,RightFoot,OpenPlay,MissedShots,0.07369837164878845,64,3,0,Antonio Rukavina,2299,a,Villarreal,Alaves,Pablo Fornals,2017-09-17 11:00:00,7912,2017,"(0.9269999694824219, 0.34200000762939453)"
169878,LeftFoot,OpenPlay,BlockedShot,0.01158411055803299,8,3,0,Jaume Costa,2539,a,Villarreal,Alaves,,2017-09-17 11:00:00,7912,2017,"(0.7440000152587891, 0.5329999923706055)"
