,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218181,RightFoot,OpenPlay,OwnGoal,0.0,51,1,1,David López,1857,a,Espanyol,Celta Vigo,,2018-08-18 19:15:00,9959,2018,"(0.08100000381469727, 0.445)"
218192,RightFoot,FromCorner,MissedShots,0.037233833223581314,87,1,1,Javi Puado,6933,a,Espanyol,Celta Vigo,Sergio García,2018-08-18 19:15:00,9959,2018,"(0.889000015258789, 0.6519999694824219)"
218179,RightFoot,FromCorner,Goal,0.088779978454113,44,1,1,Mario Hermoso,6136,a,Espanyol,Celta Vigo,,2018-08-18 19:15:00,9959,2018,"(0.9180000305175782, 0.41900001525878905)"
218174,LeftFoot,OpenPlay,SavedShot,0.03257870674133301,26,1,1,Pablo Piatti,2382,a,Espanyol,Celta Vigo,Dídac Vilá,2018-08-18 19:15:00,9959,2018,"(0.8540000152587891, 0.7269999694824218)"
218177,LeftFoot,FromCorner,BlockedShot,0.023048335686326027,39,1,1,Borja Iglesias,2543,a,Espanyol,Celta Vigo,Javi López,2018-08-18 19:15:00,9959,2018,"(0.85, 0.27700000762939453)"
218182,RightFoot,OpenPlay,MissedShots,0.0920090526342392,54,1,1,Borja Iglesias,2543,a,Espanyol,Celta Vigo,Pablo Piatti,2018-08-18 19:15:00,9959,2018,"(0.845, 0.5129999923706055)"
218178,LeftFoot,OpenPlay,BlockedShot,0.00955021008849144,41,1,1,Mario Hermoso,6136,a,Espanyol,Celta Vigo,Marc Roca,2018-08-18 19:15:00,9959,2018,"(0.63, 0.6370000076293946)"
218173,RightFoot,OpenPlay,MissedShots,0.019244907423853874,25,1,1,Sergi Darder,2621,a,Espanyol,Celta Vigo,Dídac Vilá,2018-08-18 19:15:00,9959,2018,"(0.7569999694824219, 0.7240000152587891)"
218194,RightFoot,OpenPlay,MissedShots,0.05865246802568436,92,1,1,Sergi Darder,2621,a,Espanyol,Celta Vigo,Javi Puado,2018-08-18 19:15:00,9959,2018,"(0.8430000305175781, 0.634000015258789)"
218187,RightFoot,OpenPlay,BlockedShot,0.021746918559074402,74,1,1,Víctor Sánchez,2113,a,Espanyol,Celta Vigo,,2018-08-18 19:15:00,9959,2018,"(0.7580000305175781, 0.5120000076293946)"
218180,RightFoot,OpenPlay,BlockedShot,0.02336415834724903,46,1,1,Víctor Sánchez,2113,a,Espanyol,Celta Vigo,Borja Iglesias,2018-08-18 19:15:00,9959,2018,"(0.7330000305175781, 0.4420000076293945)"
218189,Head,OpenPlay,SavedShot,0.016566593199968338,78,1,1,Sergio García,4060,a,Espanyol,Celta Vigo,Javi López,2018-08-18 19:15:00,9959,2018,"(0.875, 0.42400001525878905)"
218172,RightFoot,OpenPlay,SavedShot,0.10468438267707825,23,1,1,Leo Baptistao,2304,a,Espanyol,Celta Vigo,Sergi Darder,2018-08-18 19:15:00,9959,2018,"(0.785, 0.3270000076293945)"
218191,RightFoot,OpenPlay,SavedShot,0.09004100412130356,86,1,1,Sergio García,4060,a,Espanyol,Celta Vigo,Javi López,2018-08-18 19:15:00,9959,2018,"(0.86, 0.4159999847412109)"
218188,RightFoot,OpenPlay,BlockedShot,0.02978544868528843,78,1,1,Sergio García,4060,a,Espanyol,Celta Vigo,Pablo Piatti,2018-08-18 19:15:00,9959,2018,"(0.7769999694824219, 0.5879999923706055)"
220824,Head,FromCorner,SavedShot,0.045139800757169724,53,2,0,Dídac Vilá,4131,h,Espanyol,Valencia,Esteban Granero,2018-08-26 19:15:00,9972,2018,"(0.8859999847412109, 0.5429999923706055)"
220826,RightFoot,DirectFreekick,Goal,0.1566316932439804,61,2,0,Esteban Granero,2240,h,Espanyol,Valencia,,2018-08-26 19:15:00,9972,2018,"(0.8169999694824219, 0.5570000076293945)"
220815,Head,OpenPlay,SavedShot,0.019611669704318047,42,2,0,Mario Hermoso,6136,h,Espanyol,Valencia,Sergio García,2018-08-26 19:15:00,9972,2018,"(0.899000015258789, 0.6270000076293946)"
220813,LeftFoot,OpenPlay,SavedShot,0.06275367736816406,33,2,0,Mario Hermoso,6136,h,Espanyol,Valencia,Esteban Granero,2018-08-26 19:15:00,9972,2018,"(0.7959999847412109, 0.3509999847412109)"
220812,Head,OpenPlay,SavedShot,0.061681900173425674,31,2,0,Borja Iglesias,2543,h,Espanyol,Valencia,,2018-08-26 19:15:00,9972,2018,"(0.9340000152587891, 0.5479999923706055)"
220830,RightFoot,OpenPlay,Goal,0.3654906749725342,67,2,0,Borja Iglesias,2543,h,Espanyol,Valencia,Leo Baptistao,2018-08-26 19:15:00,9972,2018,"(0.865, 0.46599998474121096)"
