,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218846,RightFoot,OpenPlay,BlockedShot,0.02248491160571575,71,0,2,Iván Alejo,6226,a,Getafe,Real Madrid,Mauro Arambarri,2018-08-19 23:15:00,9964,2018,"(0.7919999694824219, 0.32099998474121094)"
218851,RightFoot,OpenPlay,BlockedShot,0.012323377653956413,91,0,2,Gaku Shibasaki,6153,a,Getafe,Real Madrid,Mauro Arambarri,2018-08-19 23:15:00,9964,2018,"(0.765, 0.6790000152587891)"
218849,RightFoot,OpenPlay,MissedShots,0.05399923771619797,86,0,2,Jaime Mata,7009,a,Getafe,Real Madrid,Leandro Cabrera,2018-08-19 23:15:00,9964,2018,"(0.9069999694824219, 0.5920000076293945)"
218844,RightFoot,OpenPlay,MissedShots,0.01884353905916214,69,0,2,Mauro Arambarri,3264,a,Getafe,Real Madrid,,2018-08-19 23:15:00,9964,2018,"(0.7440000152587891, 0.44299999237060544)"
218850,RightFoot,OpenPlay,SavedShot,0.08079466223716736,90,0,2,Ángel,4136,a,Getafe,Real Madrid,Nemanja Maksimovic,2018-08-19 23:15:00,9964,2018,"(0.8469999694824218, 0.48700000762939455)"
219795,LeftFoot,OpenPlay,Goal,0.9147555232048035,89,2,0,Jorge Molina,2155,h,Getafe,Eibar,,2018-08-24 21:15:00,9967,2018,"(0.98, 0.48200000762939454)"
219794,LeftFoot,OpenPlay,SavedShot,0.4973328113555908,89,2,0,Jorge Molina,2155,h,Getafe,Eibar,Amath Diedhiou,2018-08-24 21:15:00,9967,2018,"(0.91, 0.485)"
219796,RightFoot,OpenPlay,SavedShot,0.43456658720970154,93,2,0,Nemanja Maksimovic,6076,h,Getafe,Eibar,Francisco Portillo,2018-08-24 21:15:00,9967,2018,"(0.9059999847412109, 0.3659999847412109)"
219797,LeftFoot,FromCorner,MissedShots,0.009592844173312187,94,2,0,Vitorino Antunes,4183,h,Getafe,Eibar,Damián Suárez,2018-08-24 21:15:00,9967,2018,"(0.7680000305175781, 0.6880000305175781)"
219784,LeftFoot,OpenPlay,MissedShots,0.007768935523927212,22,2,0,Vitorino Antunes,4183,h,Getafe,Eibar,Ángel,2018-08-24 21:15:00,9967,2018,"(0.655, 0.6869999694824219)"
219783,RightFoot,OpenPlay,Goal,0.04697125032544136,17,2,0,Ángel,4136,h,Getafe,Eibar,Jaime Mata,2018-08-24 21:15:00,9967,2018,"(0.8069999694824219, 0.42700000762939455)"
219789,Head,SetPiece,MissedShots,0.2868225872516632,61,2,0,Djené Dakonam,6151,h,Getafe,Eibar,Francisco Portillo,2018-08-24 21:15:00,9967,2018,"(0.9180000305175782, 0.5820000076293945)"
221291,RightFoot,OpenPlay,MissedShots,0.019501501694321632,73,0,0,Damián Suárez,2194,h,Getafe,Real Valladolid,Jorge Molina,2018-08-31 21:00:00,9977,2018,"(0.78, 0.30100000381469727)"
221288,RightFoot,OpenPlay,BlockedShot,0.08004831522703171,64,0,0,Amath Diedhiou,2532,h,Getafe,Real Valladolid,,2018-08-31 21:00:00,9977,2018,"(0.8469999694824218, 0.634000015258789)"
221285,LeftFoot,SetPiece,BlockedShot,0.018702181056141853,56,0,0,Vitorino Antunes,4183,h,Getafe,Real Valladolid,Damián Suárez,2018-08-31 21:00:00,9977,2018,"(0.7280000305175781, 0.6270000076293946)"
221280,Head,FromCorner,SavedShot,0.05107526108622551,38,0,0,Bruno,2444,h,Getafe,Real Valladolid,Damián Suárez,2018-08-31 21:00:00,9977,2018,"(0.9180000305175782, 0.500999984741211)"
221284,LeftFoot,OpenPlay,BlockedShot,0.10991505533456802,55,0,0,Ángel,4136,h,Getafe,Real Valladolid,Mauro Arambarri,2018-08-31 21:00:00,9977,2018,"(0.9259999847412109, 0.46)"
221294,LeftFoot,OpenPlay,BlockedShot,0.07883646339178085,91,0,0,Sergi Guardiola,5212,h,Getafe,Real Valladolid,,2018-08-31 21:00:00,9977,2018,"(0.845999984741211, 0.5070000076293946)"
221277,RightFoot,OpenPlay,BlockedShot,0.034272484481334686,23,0,0,Damián Suárez,2194,h,Getafe,Real Valladolid,,2018-08-31 21:00:00,9977,2018,"(0.8019999694824219, 0.3160000038146973)"
221292,RightFoot,OpenPlay,ShotOnPost,0.03845944628119469,73,0,0,Nemanja Maksimovic,6076,h,Getafe,Real Valladolid,Jorge Molina,2018-08-31 21:00:00,9977,2018,"(0.8090000152587891, 0.5379999923706055)"
221286,RightFoot,SetPiece,SavedShot,0.01614842563867569,56,0,0,Nemanja Maksimovic,6076,h,Getafe,Real Valladolid,,2018-08-31 21:00:00,9977,2018,"(0.750999984741211, 0.5159999847412109)"
221289,Head,FromCorner,MissedShots,0.025280259549617767,65,0,0,Nemanja Maksimovic,6076,h,Getafe,Real Valladolid,Vitorino Antunes,2018-08-31 21:00:00,9977,2018,"(0.9280000305175782, 0.5820000076293945)"
221276,RightFoot,OpenPlay,SavedShot,0.5791876912117004,8,0,0,Jaime Mata,7009,h,Getafe,Real Valladolid,Iván Alejo,2018-08-31 21:00:00,9977,2018,"(0.9640000152587891, 0.5359999847412109)"
221281,Head,OpenPlay,MissedShots,0.029573233798146248,45,0,0,Jaime Mata,7009,h,Getafe,Real Valladolid,Vitorino Antunes,2018-08-31 21:00:00,9977,2018,"(0.8730000305175781, 0.3940000152587891)"
224482,RightFoot,OpenPlay,MissedShots,0.023446213454008102,14,2,0,Ángel,4136,a,Getafe,Sevilla,Djené Dakonam,2018-09-16 18:45:00,9995,2018,"(0.7030000305175781, 0.39799999237060546)"
224479,LeftFoot,OpenPlay,Goal,0.3326723575592041,2,2,0,Ángel,4136,a,Getafe,Sevilla,Jorge Molina,2018-09-16 18:45:00,9995,2018,"(0.924000015258789, 0.655)"
224501,Head,OpenPlay,SavedShot,0.03707308694720268,85,2,0,Jorge Molina,2155,a,Getafe,Sevilla,Francisco Portillo,2018-09-16 18:45:00,9995,2018,"(0.8880000305175781, 0.62)"
224486,RightFoot,OpenPlay,MissedShots,0.02421044185757637,28,2,0,Ángel,4136,a,Getafe,Sevilla,Damián Suárez,2018-09-16 18:45:00,9995,2018,"(0.82, 0.6869999694824219)"
224488,LeftFoot,OpenPlay,Goal,0.5656471252441406,37,2,0,Ángel,4136,a,Getafe,Sevilla,,2018-09-16 18:45:00,9995,2018,"(0.9259999847412109, 0.5370000076293945)"
224494,RightFoot,OpenPlay,SavedShot,0.08214227855205536,55,2,0,Amath Diedhiou,2532,a,Getafe,Sevilla,Jorge Molina,2018-09-16 18:45:00,9995,2018,"(0.875, 0.705999984741211)"
224490,RightFoot,OpenPlay,SavedShot,0.6121957898139954,43,2,0,Francisco Portillo,2149,a,Getafe,Sevilla,Jorge Molina,2018-09-16 18:45:00,9995,2018,"(0.97, 0.5690000152587891)"
224481,LeftFoot,OpenPlay,MissedShots,0.37178829312324524,14,2,0,Jorge Molina,2155,a,Getafe,Sevilla,Ángel,2018-09-16 18:45:00,9995,2018,"(0.92, 0.6270000076293946)"
224487,RightFoot,OpenPlay,BlockedShot,0.04369981586933136,32,2,0,Nemanja Maksimovic,6076,a,Getafe,Sevilla,,2018-09-16 18:45:00,9995,2018,"(0.77, 0.49900001525878906)"
224491,RightFoot,OpenPlay,MissedShots,0.034297194331884384,43,2,0,Nemanja Maksimovic,6076,a,Getafe,Sevilla,Francisco Portillo,2018-09-16 18:45:00,9995,2018,"(0.7559999847412109, 0.4779999923706055)"
225352,OtherBodyPart,OpenPlay,OwnGoal,0.0,13,0,2,David Soria,2415,h,Getafe,Atletico Madrid,,2018-09-22 16:30:00,9999,2018,"(0.024000000953674317, 0.5029999923706054)"
225354,RightFoot,OpenPlay,MissedShots,0.011285193264484406,28,0,2,Damián Suárez,2194,h,Getafe,Atletico Madrid,,2018-09-22 16:30:00,9999,2018,"(0.7880000305175782, 0.315)"
225361,LeftFoot,OpenPlay,MissedShots,0.02845318801701069,61,0,2,Vitorino Antunes,4183,h,Getafe,Atletico Madrid,,2018-09-22 16:30:00,9999,2018,"(0.7959999847412109, 0.6659999847412109)"
225353,Head,OpenPlay,BlockedShot,0.015183426439762115,28,0,2,Ángel,4136,h,Getafe,Atletico Madrid,Djené Dakonam,2018-09-22 16:30:00,9999,2018,"(0.9019999694824219, 0.34900001525878904)"
225360,RightFoot,OpenPlay,SavedShot,0.04033392667770386,61,0,2,Ángel,4136,h,Getafe,Atletico Madrid,Francisco Portillo,2018-09-22 16:30:00,9999,2018,"(0.8859999847412109, 0.3240000152587891)"
225362,RightFoot,OpenPlay,BlockedShot,0.05904829129576683,63,0,2,Ángel,4136,h,Getafe,Atletico Madrid,Francisco Portillo,2018-09-22 16:30:00,9999,2018,"(0.8319999694824218, 0.435)"
225364,LeftFoot,OpenPlay,MissedShots,0.03423580527305603,79,0,2,Sergi Guardiola,5212,h,Getafe,Atletico Madrid,Sebastián Cristóforo,2018-09-22 16:30:00,9999,2018,"(0.7859999847412109, 0.6029999923706054)"
