,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9957,Girona,Real Valladolid,0.626716,0.030934,0,0,h,2018-08-17 21:15:00
9974,Girona,Real Madrid,0.502361,4.09404,1,4,h,2018-08-26 23:15:00
9979,Girona,Villarreal,0.832999,1.13128,1,0,a,2018-08-31 23:00:00
9996,Girona,Celta Vigo,1.72168,0.901248,3,2,h,2018-09-17 19:00:00
9997,Girona,Barcelona,1.54969,1.67678,2,2,a,2018-09-23 18:45:00
10012,Girona,Real Betis,0.830935,1.56038,0,1,h,2018-09-27 20:00:00
10018,Girona,SD Huesca,1.80702,1.6139,1,1,a,2018-09-30 10:00:00
10028,Girona,Eibar,1.31255,2.11152,2,3,h,2018-10-06 11:00:00
10039,Girona,Real Sociedad,0.53783,0.57678,0,0,a,2018-10-22 19:00:00
10051,Girona,Rayo Vallecano,2.73207,1.74235,2,1,h,2018-10-27 11:00:00
10058,Girona,Valencia,0.37733,2.25862,1,0,a,2018-11-03 17:30:00
10072,Girona,Leganes,0.49139,1.39653,0,0,h,2018-11-10 19:45:00
10083,Girona,Espanyol,2.56699,2.63865,3,1,a,2018-11-25 17:30:00
10090,Girona,Atletico Madrid,1.20781,1.60399,1,1,h,2018-12-02 15:15:00
10097,Girona,Athletic Club,0.145529,1.79501,0,1,a,2018-12-10 20:00:00
10108,Girona,Sevilla,0.811788,2.28195,0,2,a,2018-12-16 11:00:00
10122,Girona,Getafe,1.20739,0.581831,1,1,h,2018-12-21 18:30:00
10128,Girona,Levante,1.03454,1.86969,2,2,a,2019-01-04 18:00:00
10140,Girona,Alaves,0.538744,1.04715,1,1,h,2019-01-12 17:30:00
10153,Girona,Real Betis,0.918079,1.41803,2,3,a,2019-01-20 11:00:00
10161,Girona,Barcelona,1.51969,2.62139,0,2,h,2019-01-27 15:15:00
10174,Girona,Eibar,0.235641,1.8546,0,3,a,2019-02-03 17:30:00
10182,Girona,SD Huesca,1.37725,0.683864,0,2,h,2019-02-09 19:45:00
10189,Girona,Real Madrid,3.23428,1.74859,2,1,a,2019-02-17 11:00:00
10201,Girona,Real Sociedad,1.09767,0.422429,0,0,h,2019-02-25 20:00:00
10216,Girona,Rayo Vallecano,1.72379,0.661372,2,0,a,2019-03-01 20:00:00
10221,Girona,Valencia,2.26151,1.12034,2,3,h,2019-03-10 15:15:00
10229,Girona,Leganes,1.78393,0.454611,2,0,a,2019-03-16 19:45:00
10243,Girona,Athletic Club,0.243937,1.06184,1,2,h,2019-03-29 20:00:00
10255,Girona,Atletico Madrid,0.687163,2.67949,0,2,a,2019-04-02 18:30:00
10259,Girona,Espanyol,1.3644,0.408067,1,2,h,2019-04-06 12:00:00
10274,Girona,Villarreal,0.964694,1.39136,0,1,h,2019-04-14 17:30:00
10283,Girona,Celta Vigo,0.331788,1.78831,1,2,a,2019-04-20 12:00:00
10288,Girona,Real Valladolid,0.313348,0.939017,0,1,a,2019-04-23 19:30:00
10303,Girona,Sevilla,1.02214,1.06533,1,0,h,2019-04-28 13:00:00
10315,Girona,Getafe,0.600426,2.462,0,2,a,2019-05-05 11:00:00
10322,Girona,Levante,1.42265,0.563093,1,2,h,2019-05-12 17:30:00
10327,Girona,Alaves,1.04889,1.07769,1,2,a,2019-05-18 18:45:00
