,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218371,RightFoot,OpenPlay,Goal,0.21511885523796082,39,2,1,Willian José,2361,a,Real Sociedad,Villarreal,,2018-08-18 21:15:00,9960,2018,"(0.8959999847412109, 0.29700000762939455)"
218380,LeftFoot,OpenPlay,MissedShots,0.023244909942150116,78,2,1,Mikel Oyarzabal,2234,a,Real Sociedad,Villarreal,Zaldúa,2018-08-18 21:15:00,9960,2018,"(0.77, 0.24700000762939453)"
218376,Head,FromCorner,SavedShot,0.024762893095612526,61,2,1,Diego Llorente,2163,a,Real Sociedad,Villarreal,Rubén Pardo,2018-08-18 21:15:00,9960,2018,"(0.914000015258789, 0.5640000152587891)"
218372,RightFoot,OpenPlay,BlockedShot,0.022194722667336464,43,2,1,Rubén Pardo,2242,a,Real Sociedad,Villarreal,Willian José,2018-08-18 21:15:00,9960,2018,"(0.769000015258789, 0.6519999694824219)"
218362,RightFoot,OpenPlay,MissedShots,0.04193488135933876,5,2,1,Asier Illarramendi,2232,a,Real Sociedad,Villarreal,Willian José,2018-08-18 21:15:00,9960,2018,"(0.8619999694824219, 0.29200000762939454)"
218368,RightFoot,FromCorner,SavedShot,0.037621501833200455,30,2,1,Igor Zubeldia,2417,a,Real Sociedad,Villarreal,Rubén Pardo,2018-08-18 21:15:00,9960,2018,"(0.95, 0.34799999237060547)"
218364,LeftFoot,OpenPlay,MissedShots,0.021121876314282417,8,2,1,Mikel Merino,5304,a,Real Sociedad,Villarreal,Willian José,2018-08-18 21:15:00,9960,2018,"(0.7380000305175781, 0.47299999237060547)"
218378,RightFoot,OpenPlay,Goal,0.024646006524562836,70,2,1,Juanmi,897,a,Real Sociedad,Villarreal,,2018-08-18 21:15:00,9960,2018,"(0.7659999847412109, 0.54)"
219856,RightFoot,OpenPlay,Goal,0.10617261379957199,16,2,2,Asier Illarramendi,2232,a,Real Sociedad,Leganes,,2018-08-24 23:15:00,9968,2018,"(0.8580000305175781, 0.5129999923706055)"
219864,RightFoot,OpenPlay,MissedShots,0.03142979368567467,58,2,2,Zaldúa,2226,a,Real Sociedad,Leganes,Willian José,2018-08-24 23:15:00,9968,2018,"(0.779000015258789, 0.3629999923706055)"
219877,RightFoot,DirectFreekick,SavedShot,0.04344029724597931,92,2,2,Rubén Pardo,2242,a,Real Sociedad,Leganes,,2018-08-24 23:15:00,9968,2018,"(0.7830000305175782, 0.7959999847412109)"
219871,RightFoot,OpenPlay,SavedShot,0.46498778462409973,80,2,2,Willian José,2361,a,Real Sociedad,Leganes,Igor Zubeldia,2018-08-24 23:15:00,9968,2018,"(0.8959999847412109, 0.5729999923706055)"
219855,Head,OpenPlay,SavedShot,0.1334102898836136,16,2,2,Juanmi,897,a,Real Sociedad,Leganes,,2018-08-24 23:15:00,9968,2018,"(0.955, 0.5570000076293945)"
219853,LeftFoot,OpenPlay,SavedShot,0.07869968563318253,9,2,2,Juanmi,897,a,Real Sociedad,Leganes,Willian José,2018-08-24 23:15:00,9968,2018,"(0.8619999694824219, 0.5879999923706055)"
219854,RightFoot,OpenPlay,Goal,0.851742148399353,10,2,2,David Zurutuza,2230,a,Real Sociedad,Leganes,Zaldúa,2018-08-24 23:15:00,9968,2018,"(0.9740000152587891, 0.5070000076293946)"
221393,LeftFoot,OpenPlay,BlockedShot,0.045252155512571335,77,1,2,Mikel Oyarzabal,2234,a,Real Sociedad,Eibar,,2018-08-31 23:00:00,9978,2018,"(0.8240000152587891, 0.6359999847412109)"
221390,Head,OpenPlay,SavedShot,0.41498395800590515,52,1,2,Juanmi,897,a,Real Sociedad,Eibar,,2018-08-31 23:00:00,9978,2018,"(0.9259999847412109, 0.5429999923706055)"
221384,LeftFoot,SetPiece,MissedShots,0.00944578181952238,29,1,2,Theo Hernández,2547,a,Real Sociedad,Eibar,,2018-08-31 23:00:00,9978,2018,"(0.74, 0.72)"
221387,RightFoot,SetPiece,MissedShots,0.017492998391389847,34,1,2,Asier Illarramendi,2232,a,Real Sociedad,Eibar,,2018-08-31 23:00:00,9978,2018,"(0.815, 0.710999984741211)"
221381,RightFoot,Penalty,Goal,0.7432776093482971,14,1,2,Willian José,2361,a,Real Sociedad,Eibar,,2018-08-31 23:00:00,9978,2018,"(0.885, 0.5)"
221388,Head,FromCorner,MissedShots,0.013534481637179852,39,1,2,Aritz Elustondo,2228,a,Real Sociedad,Eibar,Asier Illarramendi,2018-08-31 23:00:00,9978,2018,"(0.9359999847412109, 0.3629999923706055)"
