,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
217851,RightFoot,FromCorner,MissedShots,0.01391827967017889,25,0,0,Keko,2131,a,Real Valladolid,Girona,,2018-08-17 21:15:00,9957,2018,"(0.7240000152587891, 0.620999984741211)"
217852,RightFoot,OpenPlay,SavedShot,0.01701570302248001,27,0,0,Rubén Alcaraz,6917,a,Real Valladolid,Girona,Nacho,2018-08-17 21:15:00,9957,2018,"(0.7380000305175781, 0.7240000152587891)"
220503,RightFoot,OpenPlay,SavedShot,0.01422171201556921,13,0,1,Rubén Alcaraz,6917,h,Real Valladolid,Barcelona,Javi Moyano,2018-08-25 23:15:00,9971,2018,"(0.6869999694824219, 0.38)"
220517,RightFoot,OpenPlay,MissedShots,0.018184710294008255,89,0,1,Rubén Alcaraz,6917,h,Real Valladolid,Barcelona,Javi Moyano,2018-08-25 23:15:00,9971,2018,"(0.7430000305175781, 0.34200000762939453)"
220513,RightFoot,FromCorner,MissedShots,0.050648707896471024,69,0,1,Óscar Plano,6921,h,Real Valladolid,Barcelona,Enes Ünal,2018-08-25 23:15:00,9971,2018,"(0.7859999847412109, 0.635)"
220502,LeftFoot,OpenPlay,SavedShot,0.027506785467267036,6,0,1,Enes Ünal,6219,h,Real Valladolid,Barcelona,,2018-08-25 23:15:00,9971,2018,"(0.8569999694824219, 0.740999984741211)"
220510,RightFoot,OpenPlay,MissedShots,0.027754344046115875,46,0,1,Enes Ünal,6219,h,Real Valladolid,Barcelona,Nacho,2018-08-25 23:15:00,9971,2018,"(0.86, 0.75)"
220515,Head,FromCorner,SavedShot,0.032116927206516266,80,0,1,Kiko Olivas,6915,h,Real Valladolid,Barcelona,Óscar Plano,2018-08-25 23:15:00,9971,2018,"(0.8769999694824219, 0.549000015258789)"
220514,Head,OpenPlay,SavedShot,0.340309202671051,76,0,1,Keko,2131,h,Real Valladolid,Barcelona,Duje Cop,2018-08-25 23:15:00,9971,2018,"(0.9130000305175782, 0.48700000762939455)"
221282,RightFoot,FromCorner,MissedShots,0.013105831108987331,48,0,0,Toni Villa,6919,a,Real Valladolid,Getafe,,2018-08-31 21:00:00,9977,2018,"(0.7380000305175781, 0.7080000305175781)"
221293,Head,OpenPlay,SavedShot,0.11932774633169174,83,0,0,Duje Cop,2340,a,Real Valladolid,Getafe,Míchel,2018-08-31 21:00:00,9977,2018,"(0.92, 0.44599998474121094)"
221283,RightFoot,OpenPlay,SavedShot,0.019501948729157448,50,0,0,Enes Ünal,6219,a,Real Valladolid,Getafe,Toni Villa,2018-08-31 21:00:00,9977,2018,"(0.7619999694824219, 0.69)"
221287,RightFoot,OpenPlay,MissedShots,0.011379585601389408,63,0,0,Toni Villa,6919,a,Real Valladolid,Getafe,,2018-08-31 21:00:00,9977,2018,"(0.72, 0.6580000305175782)"
221279,RightFoot,FromCorner,SavedShot,0.9136820435523987,32,0,0,Rubén Alcaraz,6917,a,Real Valladolid,Getafe,,2018-08-31 21:00:00,9977,2018,"(0.9830000305175781, 0.46799999237060547)"
221290,RightFoot,OpenPlay,BlockedShot,0.013786228373646736,66,0,0,Rubén Alcaraz,6917,a,Real Valladolid,Getafe,Toni Villa,2018-08-31 21:00:00,9977,2018,"(0.7119999694824218, 0.639000015258789)"
221278,RightFoot,FromCorner,SavedShot,0.04947536438703537,32,0,0,Javi Moyano,6914,a,Real Valladolid,Getafe,Óscar Plano,2018-08-31 21:00:00,9977,2018,"(0.875, 0.4759999847412109)"
224409,RightFoot,OpenPlay,MissedShots,0.02121843211352825,11,0,1,Anuar Mohamed,6918,h,Real Valladolid,Alaves,Nacho,2018-09-16 16:30:00,9994,2018,"(0.74, 0.47299999237060547)"
224428,RightFoot,OpenPlay,SavedShot,0.3577382564544678,78,0,1,Keko,2131,h,Real Valladolid,Alaves,Míchel,2018-09-16 16:30:00,9994,2018,"(0.845999984741211, 0.435)"
224410,Head,OpenPlay,MissedShots,0.14052514731884003,15,0,1,Keko,2131,h,Real Valladolid,Alaves,Nacho,2018-09-16 16:30:00,9994,2018,"(0.9330000305175781, 0.455)"
224412,RightFoot,OpenPlay,SavedShot,0.006551408674567938,28,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,Javi Moyano,2018-09-16 16:30:00,9994,2018,"(0.4590000152587891, 0.2589999961853027)"
224415,RightFoot,OpenPlay,BlockedShot,0.021718231961131096,34,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,Nacho,2018-09-16 16:30:00,9994,2018,"(0.7580000305175781, 0.669000015258789)"
224416,RightFoot,DirectFreekick,SavedShot,0.05780630558729172,45,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,,2018-09-16 16:30:00,9994,2018,"(0.8009999847412109, 0.76)"
224417,RightFoot,OpenPlay,SavedShot,0.014001328498125076,52,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,Nacho,2018-09-16 16:30:00,9994,2018,"(0.730999984741211, 0.720999984741211)"
224429,RightFoot,OpenPlay,SavedShot,0.06409658491611481,83,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,Míchel,2018-09-16 16:30:00,9994,2018,"(0.845999984741211, 0.43900001525878907)"
224432,RightFoot,OpenPlay,MissedShots,0.03213797137141228,90,0,1,Toni Villa,6919,h,Real Valladolid,Alaves,Nacho,2018-09-16 16:30:00,9994,2018,"(0.9159999847412109, 0.7380000305175781)"
224431,RightFoot,DirectFreekick,MissedShots,0.06892511248588562,88,0,1,Ivi,2528,h,Real Valladolid,Alaves,,2018-09-16 16:30:00,9994,2018,"(0.749000015258789, 0.57)"
224427,RightFoot,OpenPlay,BlockedShot,0.02607065439224243,74,0,1,Míchel,4208,h,Real Valladolid,Alaves,Toni Villa,2018-09-16 16:30:00,9994,2018,"(0.779000015258789, 0.375)"
224426,RightFoot,DirectFreekick,MissedShots,0.09267126023769379,69,0,1,Míchel,4208,h,Real Valladolid,Alaves,,2018-09-16 16:30:00,9994,2018,"(0.8009999847412109, 0.6569999694824219)"
224418,RightFoot,OpenPlay,BlockedShot,0.10548577457666397,54,0,1,Enes Ünal,6219,h,Real Valladolid,Alaves,Óscar Plano,2018-09-16 16:30:00,9994,2018,"(0.9690000152587891, 0.59)"
224411,RightFoot,DirectFreekick,BlockedShot,0.056362710893154144,19,0,1,Enes Ünal,6219,h,Real Valladolid,Alaves,,2018-09-16 16:30:00,9994,2018,"(0.7809999847412109, 0.7330000305175781)"
224419,RightFoot,FromCorner,MissedShots,0.038663629442453384,54,0,1,Borja,4132,h,Real Valladolid,Alaves,Óscar Plano,2018-09-16 16:30:00,9994,2018,"(0.9419999694824219, 0.6630000305175782)"
225246,RightFoot,OpenPlay,BlockedShot,0.023246174678206444,20,3,3,Rubén Alcaraz,6917,a,Real Valladolid,Celta Vigo,Míchel,2018-09-22 14:15:00,10005,2018,"(0.7559999847412109, 0.4329999923706055)"
225263,RightFoot,OpenPlay,ShotOnPost,0.027284326031804085,85,3,3,Míchel,4208,a,Real Valladolid,Celta Vigo,Nacho,2018-09-22 14:15:00,10005,2018,"(0.789000015258789, 0.655)"
225247,RightFoot,OpenPlay,BlockedShot,0.011788291856646538,26,3,3,Míchel,4208,a,Real Valladolid,Celta Vigo,Nacho,2018-09-22 14:15:00,10005,2018,"(0.7519999694824219, 0.72)"
