,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218891,Head,FromCorner,ShotOnPost,0.19744965434074402,64,1,1,Gabriel,493,h,Valencia,Atletico Madrid,Daniel Parejo,2018-08-20 21:00:00,9965,2018,"(0.894000015258789, 0.42700000762939455)"
218898,RightFoot,OpenPlay,SavedShot,0.06288400292396545,93,1,1,Kevin Gameiro,2442,h,Valencia,Atletico Madrid,Daniel Wass,2018-08-20 21:00:00,9965,2018,"(0.8490000152587891, 0.3770000076293945)"
218882,RightFoot,OpenPlay,MissedShots,0.019464973360300064,20,1,1,Carlos Soler,2478,h,Valencia,Atletico Madrid,Santi Mina,2018-08-20 21:00:00,9965,2018,"(0.7319999694824219, 0.54)"
218887,Head,OpenPlay,MissedShots,0.059423040598630905,38,1,1,Santi Mina,2384,h,Valencia,Atletico Madrid,José Gayá,2018-08-20 21:00:00,9965,2018,"(0.9169999694824219, 0.6)"
218889,LeftFoot,OpenPlay,Goal,0.3189425766468048,55,1,1,Rodrigo,2381,h,Valencia,Atletico Madrid,Daniel Wass,2018-08-20 21:00:00,9965,2018,"(0.8930000305175781, 0.4540000152587891)"
218884,LeftFoot,OpenPlay,MissedShots,0.017107021063566208,28,1,1,Rodrigo,2381,h,Valencia,Atletico Madrid,Carlos Soler,2018-08-20 21:00:00,9965,2018,"(0.745999984741211, 0.7090000152587891)"
218890,RightFoot,OpenPlay,MissedShots,0.052075766026973724,59,1,1,Daniel Parejo,2378,h,Valencia,Atletico Madrid,Rodrigo,2018-08-20 21:00:00,9965,2018,"(0.8369999694824218, 0.4540000152587891)"
218881,RightFoot,OpenPlay,BlockedShot,0.019661514088511467,19,1,1,Daniel Parejo,2378,h,Valencia,Atletico Madrid,Cristiano Piccini,2018-08-20 21:00:00,9965,2018,"(0.7519999694824219, 0.375)"
218894,RightFoot,OpenPlay,SavedShot,0.2729593813419342,87,1,1,Daniel Wass,2284,h,Valencia,Atletico Madrid,Michy Batshuayi,2018-08-20 21:00:00,9965,2018,"(0.870999984741211, 0.3160000038146973)"
218886,Head,OpenPlay,MissedShots,0.007524135056883097,36,1,1,Daniel Wass,2284,h,Valencia,Atletico Madrid,Daniel Parejo,2018-08-20 21:00:00,9965,2018,"(0.899000015258789, 0.6969999694824218)"
218877,RightFoot,OpenPlay,MissedShots,0.01883545331656933,4,1,1,Daniel Wass,2284,h,Valencia,Atletico Madrid,Rodrigo,2018-08-20 21:00:00,9965,2018,"(0.735, 0.6819999694824219)"
218895,RightFoot,OpenPlay,SavedShot,0.011550374329090118,88,1,1,Michy Batshuayi,1678,h,Valencia,Atletico Madrid,Daniel Wass,2018-08-20 21:00:00,9965,2018,"(0.755, 0.29100000381469726)"
218878,LeftFoot,OpenPlay,MissedShots,0.020973213016986847,15,1,1,Rodrigo,2381,h,Valencia,Atletico Madrid,Gabriel,2018-08-20 21:00:00,9965,2018,"(0.7569999694824219, 0.720999984741211)"
220809,RightFoot,OpenPlay,BlockedShot,0.1452602595090866,17,0,2,Santi Mina,2384,a,Valencia,Espanyol,Carlos Soler,2018-08-26 19:15:00,9972,2018,"(0.9380000305175781, 0.4490000152587891)"
220839,LeftFoot,OpenPlay,BlockedShot,0.01996561698615551,92,0,2,Michy Batshuayi,1678,a,Valencia,Espanyol,,2018-08-26 19:15:00,9972,2018,"(0.8340000152587891, 0.36400001525878906)"
220819,RightFoot,FromCorner,BlockedShot,0.02645675465464592,50,0,2,Carlos Soler,2478,a,Valencia,Espanyol,Daniel Wass,2018-08-26 19:15:00,9972,2018,"(0.7319999694824219, 0.3820000076293945)"
220810,RightFoot,FromCorner,BlockedShot,0.012455486692488194,24,0,2,Carlos Soler,2478,a,Valencia,Espanyol,,2018-08-26 19:15:00,9972,2018,"(0.7559999847412109, 0.29100000381469726)"
220808,RightFoot,OpenPlay,SavedShot,0.02597562037408352,12,0,2,Santi Mina,2384,a,Valencia,Espanyol,Geoffrey Kondogbia,2018-08-26 19:15:00,9972,2018,"(0.754000015258789, 0.46599998474121096)"
220821,RightFoot,FromCorner,BlockedShot,0.021172823384404182,50,0,2,Daniel Wass,2284,a,Valencia,Espanyol,,2018-08-26 19:15:00,9972,2018,"(0.7330000305175781, 0.5479999923706055)"
220838,RightFoot,OpenPlay,MissedShots,0.012790441513061523,89,0,2,Kevin Gameiro,2442,a,Valencia,Espanyol,Denis Cheryshev,2018-08-26 19:15:00,9972,2018,"(0.9369999694824219, 0.28100000381469725)"
220836,RightFoot,OpenPlay,BlockedShot,0.07032427936792374,87,0,2,Michy Batshuayi,1678,a,Valencia,Espanyol,Denis Cheryshev,2018-08-26 19:15:00,9972,2018,"(0.8280000305175781, 0.5359999847412109)"
220837,LeftFoot,OpenPlay,SavedShot,0.011682526208460331,87,0,2,Geoffrey Kondogbia,1516,a,Valencia,Espanyol,Michy Batshuayi,2018-08-26 19:15:00,9972,2018,"(0.7169999694824218, 0.5209999847412109)"
220814,RightFoot,OpenPlay,MissedShots,0.023189272731542587,37,0,2,Carlos Soler,2478,a,Valencia,Espanyol,Daniel Wass,2018-08-26 19:15:00,9972,2018,"(0.8, 0.715)"
220806,LeftFoot,OpenPlay,BlockedShot,0.069510318338871,8,0,2,Cristiano Piccini,2560,a,Valencia,Espanyol,Rodrigo,2018-08-26 19:15:00,9972,2018,"(0.845999984741211, 0.385)"
220834,LeftFoot,OpenPlay,BlockedShot,0.3474283814430237,72,0,2,José Gayá,2505,a,Valencia,Espanyol,Kevin Gameiro,2018-08-26 19:15:00,9972,2018,"(0.9159999847412109, 0.595999984741211)"
220820,OtherBodyPart,FromCorner,BlockedShot,0.18053391575813293,50,0,2,Geoffrey Kondogbia,1516,a,Valencia,Espanyol,Daniel Parejo,2018-08-26 19:15:00,9972,2018,"(0.9790000152587891, 0.53)"
220805,LeftFoot,OpenPlay,BlockedShot,0.024593401700258255,2,0,2,Rodrigo,2381,a,Valencia,Espanyol,Carlos Soler,2018-08-26 19:15:00,9972,2018,"(0.7559999847412109, 0.4)"
220807,Head,OpenPlay,SavedShot,0.03386206179857254,11,0,2,Rodrigo,2381,a,Valencia,Espanyol,José Gayá,2018-08-26 19:15:00,9972,2018,"(0.925, 0.40599998474121096)"
220835,LeftFoot,OpenPlay,BlockedShot,0.015420190058648586,78,0,2,Geoffrey Kondogbia,1516,a,Valencia,Espanyol,José Gayá,2018-08-26 19:15:00,9972,2018,"(0.764000015258789, 0.62)"
222141,RightFoot,Penalty,Goal,0.7432776093482971,51,2,2,Daniel Parejo,2378,a,Valencia,Levante,,2018-09-02 10:00:00,9983,2018,"(0.885, 0.5)"
222150,RightFoot,FromCorner,MissedShots,0.03314775228500366,71,2,2,Carlos Soler,2478,a,Valencia,Levante,Daniel Parejo,2018-09-02 10:00:00,9983,2018,"(0.75, 0.5570000076293945)"
222155,Head,FromCorner,MissedShots,0.10372671484947205,94,2,2,Santi Mina,2384,a,Valencia,Levante,Daniel Parejo,2018-09-02 10:00:00,9983,2018,"(0.915, 0.5059999847412109)"
222143,LeftFoot,OpenPlay,BlockedShot,0.0785464495420456,59,2,2,Rodrigo,2381,a,Valencia,Levante,Kevin Gameiro,2018-09-02 10:00:00,9983,2018,"(0.8769999694824219, 0.385)"
222126,LeftFoot,OpenPlay,BlockedShot,0.015324222855269909,8,2,2,Denis Cheryshev,2494,a,Valencia,Levante,Kevin Gameiro,2018-09-02 10:00:00,9983,2018,"(0.7119999694824218, 0.519000015258789)"
222130,Head,OpenPlay,Goal,0.3898700773715973,15,2,2,Denis Cheryshev,2494,a,Valencia,Levante,Carlos Soler,2018-09-02 10:00:00,9983,2018,"(0.93, 0.5209999847412109)"
222137,LeftFoot,OpenPlay,MissedShots,0.01879093050956726,39,2,2,Denis Cheryshev,2494,a,Valencia,Levante,Daniel Parejo,2018-09-02 10:00:00,9983,2018,"(0.7230000305175781, 0.5059999847412109)"
222152,Head,FromCorner,MissedShots,0.06718813627958298,84,2,2,Mouctar Diakhaby,5666,a,Valencia,Levante,Ferrán Torres,2018-09-02 10:00:00,9983,2018,"(0.9059999847412109, 0.44599998474121094)"
