,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9960,Villarreal,Real Sociedad,1.39716,0.410646,1,2,h,2018-08-18 21:15:00
9973,Villarreal,Sevilla,0.671429,1.97161,0,0,a,2018-08-26 21:15:00
9979,Villarreal,Girona,1.13128,0.832999,0,1,h,2018-08-31 23:00:00
9992,Villarreal,Leganes,0.533854,1.22184,1,0,a,2018-09-16 10:00:00
10006,Villarreal,Valencia,0.480494,0.376192,0,0,h,2018-09-23 14:15:00
10015,Villarreal,Athletic Club,2.45205,0.754289,3,0,a,2018-09-26 18:00:00
10026,Villarreal,Real Valladolid,2.90806,0.848198,0,1,h,2018-09-30 14:15:00
10033,Villarreal,Espanyol,1.59419,2.74615,1,3,a,2018-10-07 16:30:00
10042,Villarreal,Atletico Madrid,1.86233,1.62367,1,1,h,2018-10-20 16:30:00
10055,Villarreal,Alaves,1.0916,1.97594,1,2,a,2018-10-28 16:30:00
10066,Villarreal,Levante,1.10744,0.761911,1,1,h,2018-11-04 15:15:00
10070,Villarreal,Rayo Vallecano,0.861644,2.35537,2,2,a,2018-11-11 17:30:00
10079,Villarreal,Real Betis,1.20925,0.991351,2,1,h,2018-11-25 19:45:00
10095,Villarreal,Barcelona,0.941415,0.99822,0,2,a,2018-12-02 17:30:00
10099,Villarreal,Celta Vigo,1.74178,2.48201,2,3,h,2018-12-08 17:30:00
10112,Villarreal,SD Huesca,1.64884,3.99291,2,2,a,2018-12-16 17:30:00
10126,Villarreal,Real Madrid,1.01914,1.39918,2,2,h,2019-01-03 20:30:00
10135,Villarreal,Eibar,1.05089,2.02017,0,0,a,2019-01-06 11:00:00
10137,Villarreal,Getafe,2.91695,0.845554,1,2,h,2019-01-12 19:45:00
10152,Villarreal,Athletic Club,1.06242,0.463927,1,1,h,2019-01-20 15:15:00
10162,Villarreal,Valencia,0.928755,1.63321,0,3,a,2019-01-26 00:00:00
10169,Villarreal,Espanyol,2.80288,1.34672,2,2,h,2019-02-03 11:00:00
10181,Villarreal,Real Valladolid,1.32176,0.504205,0,0,a,2019-02-08 20:00:00
10196,Villarreal,Sevilla,1.85386,2.49386,3,0,h,2019-02-17 17:30:00
10204,Villarreal,Atletico Madrid,1.4124,1.70719,0,2,a,2019-02-24 15:15:00
10211,Villarreal,Alaves,1.20694,1.3136,1,2,h,2019-03-02 15:15:00
10220,Villarreal,Levante,0.982637,1.12697,2,0,a,2019-03-10 17:30:00
10236,Villarreal,Rayo Vallecano,2.6756,0.181501,3,1,h,2019-03-17 17:30:00
10240,Villarreal,Celta Vigo,2.58092,1.89174,2,3,a,2019-03-30 17:30:00
10250,Villarreal,Barcelona,2.19549,3.08215,4,4,h,2019-04-02 20:30:00
10263,Villarreal,Real Betis,1.88778,1.80228,1,2,a,2019-04-07 19:45:00
10274,Villarreal,Girona,1.39136,0.964694,1,0,a,2019-04-14 17:30:00
10286,Villarreal,Leganes,0.928267,1.0992,2,1,h,2019-04-21 17:30:00
10293,Villarreal,Real Sociedad,1.06313,0.843995,1,0,a,2019-04-25 19:30:00
10306,Villarreal,SD Huesca,1.15808,1.33098,1,1,h,2019-04-28 17:30:00
10312,Villarreal,Real Madrid,0.641476,3.13671,2,3,a,2019-05-05 15:15:00
10319,Villarreal,Eibar,1.36071,0.244236,1,0,h,2019-05-12 17:30:00
10333,Villarreal,Getafe,0.725479,2.34277,2,2,a,2019-05-18 14:15:00
