,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12032,Atletico Madrid,Getafe,2.44678,0.333556,1,0,h,2019-08-18 21:00:00
12036,Atletico Madrid,Leganes,1.39426,0.379878,1,0,a,2019-08-25 18:00:00
12051,Atletico Madrid,Eibar,1.8114,0.847966,3,2,h,2019-09-01 18:00:00
12061,Atletico Madrid,Real Sociedad,1.06745,2.08851,0,2,a,2019-09-14 16:30:00
12064,Atletico Madrid,Celta Vigo,1.71994,0.582564,0,0,h,2019-09-21 16:30:00
12079,Atletico Madrid,Mallorca,1.21545,0.673477,2,0,a,2019-09-25 17:00:00
12085,Atletico Madrid,Real Madrid,0.819412,0.379757,0,0,h,2019-09-28 19:00:00
12102,Atletico Madrid,Real Valladolid,0.768197,0.969549,0,0,a,2019-10-06 15:00:00
12105,Atletico Madrid,Valencia,1.54344,0.757907,1,1,h,2019-10-19 15:00:00
12115,Atletico Madrid,Athletic Club,1.94897,0.328031,2,0,h,2019-10-26 20:00:00
12123,Atletico Madrid,Alaves,1.72516,0.442747,1,1,a,2019-10-29 18:00:00
12140,Atletico Madrid,Sevilla,2.45211,0.888419,1,1,a,2019-11-02 17:30:00
12145,Atletico Madrid,Espanyol,3.05161,0.379993,3,1,h,2019-11-10 15:00:00
12156,Atletico Madrid,Granada,2.0596,0.669993,1,1,a,2019-11-23 17:30:00
12165,Atletico Madrid,Barcelona,1.16353,1.18842,0,1,h,2019-12-01 20:00:00
12181,Atletico Madrid,Villarreal,1.71887,1.41318,0,0,a,2019-12-06 20:00:00
12185,Atletico Madrid,Osasuna,2.5649,0.528091,2,0,h,2019-12-14 20:00:00
12194,Atletico Madrid,Real Betis,1.41727,0.922514,2,1,a,2019-12-22 15:00:00
12204,Atletico Madrid,Levante,1.56308,0.736284,2,1,h,2020-01-04 17:30:00
12216,Atletico Madrid,Eibar,1.03685,1.03493,0,2,a,2020-01-18 20:00:00
12224,Atletico Madrid,Leganes,0.990297,0.37528,0,0,h,2020-01-26 11:00:00
12238,Atletico Madrid,Real Madrid,0.454401,1.08227,0,1,a,2020-02-01 15:00:00
12250,Atletico Madrid,Granada,0.92576,0.89501,1,0,h,2020-02-08 20:00:00
12261,Atletico Madrid,Valencia,1.07192,1.56219,2,2,a,2020-02-14 20:00:00
12264,Atletico Madrid,Villarreal,2.17916,0.440221,3,1,h,2020-02-23 20:00:00
12275,Atletico Madrid,Espanyol,0.761475,1.29128,1,1,a,2020-03-01 15:00:00
12284,Atletico Madrid,Sevilla,2.04826,1.61538,2,2,h,2020-03-07 15:00:00
12293,Atletico Madrid,Athletic Club,1.18398,0.362873,1,1,a,2020-06-14 12:00:00
12311,Atletico Madrid,Osasuna,2.40229,0.860898,5,0,a,2020-06-17 20:00:00
12314,Atletico Madrid,Real Valladolid,0.768121,0.281386,1,0,h,2020-06-20 20:00:00
12328,Atletico Madrid,Levante,1.0251,0.748438,1,0,a,2020-06-23 17:30:00
12334,Atletico Madrid,Alaves,1.86903,1.12577,2,1,h,2020-06-27 20:00:00
12344,Atletico Madrid,Barcelona,1.78128,1.80729,2,2,a,2020-06-30 20:00:00
12354,Atletico Madrid,Mallorca,2.65175,0.595505,3,0,h,2020-07-03 20:00:00
12366,Atletico Madrid,Celta Vigo,1.0928,0.281854,1,1,a,2020-07-07 20:00:00
12378,Atletico Madrid,Real Betis,0.76357,1.1694,1,0,h,2020-07-11 20:00:00
12392,Atletico Madrid,Getafe,1.74341,1.13873,2,0,a,2020-07-16 19:00:00
12394,Atletico Madrid,Real Sociedad,1.50008,0.335651,1,1,h,2020-07-19 19:00:00
