,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310396,LeftFoot,SetPiece,MissedShots,0.03506237268447876,59,0,1,Rafinha,2100,a,Barcelona,Athletic Club,,2019-08-16 20:00:00,12026,2019,"(0.8059999847412109, 0.42700000762939455)"
310387,LeftFoot,OpenPlay,ShotOnPost,0.36940115690231323,31,0,1,Luis Suárez,2098,a,Barcelona,Athletic Club,,2019-08-16 20:00:00,12026,2019,"(0.8819999694824219, 0.6)"
310404,Head,SetPiece,SavedShot,0.0973082035779953,91,0,1,Clement Lenglet,5050,a,Barcelona,Athletic Club,Rafinha,2019-08-16 20:00:00,12026,2019,"(0.9259999847412109, 0.5479999923706055)"
310393,Head,FromCorner,MissedShots,0.01574641838669777,52,0,1,Antoine Griezmann,2270,a,Barcelona,Athletic Club,Rafinha,2019-08-16 20:00:00,12026,2019,"(0.9669999694824218, 0.3509999847412109)"
310390,LeftFoot,OpenPlay,SavedShot,0.025158030912280083,43,0,1,Rafinha,2100,a,Barcelona,Athletic Club,Nélson Semedo,2019-08-16 20:00:00,12026,2019,"(0.7969999694824219, 0.3029999923706055)"
310398,RightFoot,OpenPlay,MissedShots,0.08447335660457611,69,0,1,Ivan Rakitic,2094,a,Barcelona,Athletic Club,Antoine Griezmann,2019-08-16 20:00:00,12026,2019,"(0.8859999847412109, 0.6029999923706054)"
310391,Head,FromCorner,MissedShots,0.016415178775787354,48,0,1,Ivan Rakitic,2094,a,Barcelona,Athletic Club,Ousmane Dembélé,2019-08-16 20:00:00,12026,2019,"(0.9319999694824219, 0.6079999923706054)"
310400,LeftFoot,OpenPlay,BlockedShot,0.10610413551330566,82,0,1,Antoine Griezmann,2270,a,Barcelona,Athletic Club,Jordi Alba,2019-08-16 20:00:00,12026,2019,"(0.889000015258789, 0.5870000076293945)"
310392,LeftFoot,OpenPlay,BlockedShot,0.11256100237369537,51,0,1,Rafinha,2100,a,Barcelona,Athletic Club,Ousmane Dembélé,2019-08-16 20:00:00,12026,2019,"(0.945, 0.675)"
310401,Head,FromCorner,MissedShots,0.07269619405269623,83,0,1,Antoine Griezmann,2270,a,Barcelona,Athletic Club,Rafinha,2019-08-16 20:00:00,12026,2019,"(0.9, 0.55)"
310399,RightFoot,OpenPlay,BlockedShot,0.1012798324227333,78,0,1,Rafinha,2100,a,Barcelona,Athletic Club,Jordi Alba,2019-08-16 20:00:00,12026,2019,"(0.8730000305175781, 0.629000015258789)"
313474,LeftFoot,OpenPlay,BlockedShot,0.05149289593100548,24,5,2,Sergi Roberto,2104,h,Barcelona,Real Betis,Gerard Piqué,2019-08-25 20:00:00,12042,2019,"(0.815, 0.44799999237060545)"
313488,RightFoot,OpenPlay,Goal,0.4244425296783447,76,5,2,Arturo Vidal,222,h,Barcelona,Real Betis,Antoine Griezmann,2019-08-25 20:00:00,12042,2019,"(0.874000015258789, 0.4570000076293945)"
313470,LeftFoot,OpenPlay,BlockedShot,0.02762533724308014,6,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Carles Pérez,2019-08-25 20:00:00,12042,2019,"(0.7959999847412109, 0.32599998474121095)"
313492,LeftFoot,OpenPlay,BlockedShot,0.061692457646131516,91,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Júnior Firpo,2019-08-25 20:00:00,12042,2019,"(0.8090000152587891, 0.40099998474121096)"
313491,RightFoot,OpenPlay,SavedShot,0.07885658740997314,90,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Anssumane Fati,2019-08-25 20:00:00,12042,2019,"(0.9619999694824218, 0.34799999237060547)"
313481,LeftFoot,OpenPlay,Goal,0.03263463079929352,49,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Sergi Roberto,2019-08-25 20:00:00,12042,2019,"(0.840999984741211, 0.30100000381469727)"
313479,LeftFoot,OpenPlay,Goal,0.32133135199546814,40,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Sergi Roberto,2019-08-25 20:00:00,12042,2019,"(0.9109999847412109, 0.5220000076293946)"
313486,LeftFoot,OpenPlay,Goal,0.3282614052295685,59,5,2,Jordi Alba,2093,h,Barcelona,Real Betis,Sergio Busquets,2019-08-25 20:00:00,12042,2019,"(0.9290000152587891, 0.6170000076293946)"
313485,RightFoot,OpenPlay,BlockedShot,0.0754598006606102,57,5,2,Nélson Semedo,6163,h,Barcelona,Real Betis,Carles Pérez,2019-08-25 20:00:00,12042,2019,"(0.9230000305175782, 0.2989999961853027)"
313471,Head,OpenPlay,MissedShots,0.3148106038570404,12,5,2,Sergi Roberto,2104,h,Barcelona,Real Betis,Jordi Alba,2019-08-25 20:00:00,12042,2019,"(0.904000015258789, 0.47200000762939454)"
313478,LeftFoot,OpenPlay,BlockedShot,0.49297377467155457,37,5,2,Rafinha,2100,h,Barcelona,Real Betis,Jordi Alba,2019-08-25 20:00:00,12042,2019,"(0.9159999847412109, 0.5370000076293945)"
313472,LeftFoot,OpenPlay,SavedShot,0.08283017575740814,13,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Rafinha,2019-08-25 20:00:00,12042,2019,"(0.8419999694824218, 0.5509999847412109)"
313469,LeftFoot,OpenPlay,BlockedShot,0.11580024659633636,3,5,2,Rafinha,2100,h,Barcelona,Real Betis,Jordi Alba,2019-08-25 20:00:00,12042,2019,"(0.8959999847412109, 0.585)"
313476,LeftFoot,OpenPlay,BlockedShot,0.02046952024102211,31,5,2,Carles Pérez,7609,h,Barcelona,Real Betis,Sergio Busquets,2019-08-25 20:00:00,12042,2019,"(0.7430000305175781, 0.5790000152587891)"
313480,RightFoot,OpenPlay,MissedShots,0.04433763027191162,46,5,2,Carles Pérez,7609,h,Barcelona,Real Betis,Antoine Griezmann,2019-08-25 20:00:00,12042,2019,"(0.8719999694824219, 0.30700000762939456)"
313482,LeftFoot,OpenPlay,BlockedShot,0.041285254061222076,51,5,2,Carles Pérez,7609,h,Barcelona,Real Betis,Rafinha,2019-08-25 20:00:00,12042,2019,"(0.855999984741211, 0.27899999618530275)"
313483,LeftFoot,OpenPlay,MissedShots,0.053380776196718216,53,5,2,Carles Pérez,7609,h,Barcelona,Real Betis,Sergi Roberto,2019-08-25 20:00:00,12042,2019,"(0.845, 0.33299999237060546)"
313484,LeftFoot,OpenPlay,Goal,0.11915694922208786,55,5,2,Carles Pérez,7609,h,Barcelona,Real Betis,Nélson Semedo,2019-08-25 20:00:00,12042,2019,"(0.855, 0.519000015258789)"
313475,RightFoot,FromCorner,BlockedShot,0.08430887758731842,24,5,2,Antoine Griezmann,2270,h,Barcelona,Real Betis,Sergio Busquets,2019-08-25 20:00:00,12042,2019,"(0.915, 0.5790000152587891)"
313490,RightFoot,OpenPlay,MissedShots,0.07972733676433563,85,5,2,Anssumane Fati,7967,h,Barcelona,Real Betis,Clement Lenglet,2019-08-25 20:00:00,12042,2019,"(0.925, 0.27600000381469725)"
315901,RightFoot,OpenPlay,MissedShots,0.02179255522787571,34,2,2,Jordi Alba,2093,a,Barcelona,Osasuna,Gerard Piqué,2019-08-31 16:00:00,12043,2019,"(0.7659999847412109, 0.5879999923706055)"
315910,RightFoot,OpenPlay,SavedShot,0.024358736351132393,58,2,2,Anssumane Fati,7967,a,Barcelona,Osasuna,Arthur,2019-08-31 16:00:00,12043,2019,"(0.8190000152587891, 0.735999984741211)"
315904,Head,OpenPlay,Goal,0.02973857894539833,50,2,2,Anssumane Fati,7967,a,Barcelona,Osasuna,Carles Pérez,2019-08-31 16:00:00,12043,2019,"(0.8859999847412109, 0.515)"
315911,RightFoot,OpenPlay,Goal,0.09275288134813309,63,2,2,Arthur,6942,a,Barcelona,Osasuna,Carles Pérez,2019-08-31 16:00:00,12043,2019,"(0.87, 0.6079999923706054)"
315903,LeftFoot,OpenPlay,BlockedShot,0.023002739995718002,49,2,2,Carles Pérez,7609,a,Barcelona,Osasuna,Frenkie de Jong,2019-08-31 16:00:00,12043,2019,"(0.7680000305175781, 0.35400001525878905)"
315900,RightFoot,OpenPlay,BlockedShot,0.0421953983604908,22,2,2,Sergi Roberto,2104,a,Barcelona,Osasuna,Antoine Griezmann,2019-08-31 16:00:00,12043,2019,"(0.805, 0.5370000076293945)"
315907,LeftFoot,OpenPlay,SavedShot,0.05314617604017258,57,2,2,Carles Pérez,7609,a,Barcelona,Osasuna,Frenkie de Jong,2019-08-31 16:00:00,12043,2019,"(0.8159999847412109, 0.4470000076293945)"
315905,LeftFoot,OpenPlay,BlockedShot,0.07398030906915665,55,2,2,Carles Pérez,7609,a,Barcelona,Osasuna,,2019-08-31 16:00:00,12043,2019,"(0.865, 0.3139999961853027)"
317726,RightFoot,OpenPlay,BlockedShot,0.11960437148809433,81,5,2,Ivan Rakitic,2094,h,Barcelona,Valencia,Luis Suárez,2019-09-14 19:00:00,12054,2019,"(0.85, 0.445)"
317727,RightFoot,OpenPlay,Goal,0.08776988089084625,81,5,2,Luis Suárez,2098,h,Barcelona,Valencia,Antoine Griezmann,2019-09-14 19:00:00,12054,2019,"(0.855, 0.654000015258789)"
317722,RightFoot,OpenPlay,SavedShot,0.05134112387895584,64,5,2,Luis Suárez,2098,h,Barcelona,Valencia,Carles Pérez,2019-09-14 19:00:00,12054,2019,"(0.7809999847412109, 0.5779999923706055)"
317718,RightFoot,OpenPlay,Goal,0.0670223981142044,60,5,2,Luis Suárez,2098,h,Barcelona,Valencia,Arthur,2019-09-14 19:00:00,12054,2019,"(0.8069999694824219, 0.585999984741211)"
317713,RightFoot,OpenPlay,MissedShots,0.023387186229228973,44,5,2,Antoine Griezmann,2270,h,Barcelona,Valencia,Sergio Busquets,2019-09-14 19:00:00,12054,2019,"(0.7419999694824219, 0.32799999237060545)"
317715,LeftFoot,OpenPlay,SavedShot,0.053203824907541275,50,5,2,Antoine Griezmann,2270,h,Barcelona,Valencia,Arthur,2019-09-14 19:00:00,12054,2019,"(0.815, 0.395)"
317710,RightFoot,OpenPlay,MissedShots,0.060578059405088425,32,5,2,Anssumane Fati,7967,h,Barcelona,Valencia,Sergio Busquets,2019-09-14 19:00:00,12054,2019,"(0.8390000152587891, 0.6430000305175781)"
317707,RightFoot,OpenPlay,BlockedShot,0.052349161356687546,15,5,2,Anssumane Fati,7967,h,Barcelona,Valencia,Jordi Alba,2019-09-14 19:00:00,12054,2019,"(0.799000015258789, 0.6719999694824219)"
317705,RightFoot,OpenPlay,Goal,0.11130423843860626,1,5,2,Anssumane Fati,7967,h,Barcelona,Valencia,Frenkie de Jong,2019-09-14 19:00:00,12054,2019,"(0.8780000305175781, 0.4640000152587891)"
317706,RightFoot,OpenPlay,Goal,0.5761054158210754,6,5,2,Frenkie de Jong,7781,h,Barcelona,Valencia,Anssumane Fati,2019-09-14 19:00:00,12054,2019,"(0.925, 0.4929999923706055)"
317712,LeftFoot,OpenPlay,BlockedShot,0.03508449345827103,42,5,2,Carles Pérez,7609,h,Barcelona,Valencia,Frenkie de Jong,2019-09-14 19:00:00,12054,2019,"(0.784000015258789, 0.3770000076293945)"
317721,RightFoot,OpenPlay,SavedShot,0.021425608545541763,63,5,2,Arthur,6942,h,Barcelona,Valencia,Jordi Alba,2019-09-14 19:00:00,12054,2019,"(0.74, 0.5640000152587891)"
317717,RightFoot,OpenPlay,ShotOnPost,0.06996012479066849,54,5,2,Nélson Semedo,6163,h,Barcelona,Valencia,Carles Pérez,2019-09-14 19:00:00,12054,2019,"(0.8490000152587891, 0.33)"
317720,LeftFoot,OpenPlay,SavedShot,0.07931717485189438,63,5,2,Carles Pérez,7609,h,Barcelona,Valencia,,2019-09-14 19:00:00,12054,2019,"(0.8180000305175781, 0.509000015258789)"
317724,RightFoot,OpenPlay,MissedShots,0.026494348421692848,73,5,2,Sergio Busquets,2095,h,Barcelona,Valencia,,2019-09-14 19:00:00,12054,2019,"(0.7419999694824219, 0.544000015258789)"
317719,RightFoot,OpenPlay,SavedShot,0.3825836181640625,63,5,2,Antoine Griezmann,2270,h,Barcelona,Valencia,Frenkie de Jong,2019-09-14 19:00:00,12054,2019,"(0.88, 0.45599998474121095)"
317716,LeftFoot,OpenPlay,Goal,0.8377322554588318,50,5,2,Gerard Piqué,2092,h,Barcelona,Valencia,,2019-09-14 19:00:00,12054,2019,"(0.975, 0.5309999847412109)"
320837,LeftFoot,OpenPlay,SavedShot,0.09446612000465393,81,0,2,Lionel Messi,2097,a,Barcelona,Granada,Anssumane Fati,2019-09-21 19:00:00,12065,2019,"(0.8719999694824219, 0.5879999923706055)"
320836,RightFoot,OpenPlay,BlockedShot,0.0784871056675911,81,0,2,Arturo Vidal,222,a,Barcelona,Granada,Lionel Messi,2019-09-21 19:00:00,12065,2019,"(0.8390000152587891, 0.505)"
320834,LeftFoot,OpenPlay,BlockedShot,0.08307266235351562,74,0,2,Antoine Griezmann,2270,a,Barcelona,Granada,Lionel Messi,2019-09-21 19:00:00,12065,2019,"(0.8859999847412109, 0.3729999923706055)"
320826,LeftFoot,OpenPlay,BlockedShot,0.04526044800877571,31,0,2,Luis Suárez,2098,a,Barcelona,Granada,,2019-09-21 19:00:00,12065,2019,"(0.8059999847412109, 0.4640000152587891)"
320833,LeftFoot,OpenPlay,MissedShots,0.014402080327272415,71,0,2,Clement Lenglet,5050,a,Barcelona,Granada,Frenkie de Jong,2019-09-21 19:00:00,12065,2019,"(0.725999984741211, 0.605)"
320830,LeftFoot,DirectFreekick,BlockedShot,0.05278396233916283,49,0,2,Lionel Messi,2097,a,Barcelona,Granada,,2019-09-21 19:00:00,12065,2019,"(0.7330000305175781, 0.6229999923706054)"
320829,LeftFoot,SetPiece,BlockedShot,0.08507826924324036,49,0,2,Luis Suárez,2098,a,Barcelona,Granada,Gerard Piqué,2019-09-21 19:00:00,12065,2019,"(0.8959999847412109, 0.435)"
320824,RightFoot,DirectFreekick,BlockedShot,0.1041579321026802,20,0,2,Luis Suárez,2098,a,Barcelona,Granada,,2019-09-21 19:00:00,12065,2019,"(0.7869999694824219, 0.5779999923706055)"
