,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12028,Granada,Villarreal,1.96668,1.93202,4,4,a,2019-08-17 20:00:00
12035,Granada,Sevilla,0.428332,1.39211,0,1,h,2019-08-23 19:00:00
12050,Granada,Espanyol,1.58505,1.34324,3,0,a,2019-09-01 18:00:00
12056,Granada,Celta Vigo,1.1436,0.233721,2,0,a,2019-09-15 14:00:00
12065,Granada,Barcelona,1.87283,0.557709,2,0,h,2019-09-21 19:00:00
12075,Granada,Real Valladolid,0.650478,1.26726,1,1,a,2019-09-24 17:00:00
12089,Granada,Leganes,0.718298,0.989332,1,0,h,2019-09-28 16:30:00
12099,Granada,Real Madrid,1.6065,2.7833,2,4,a,2019-10-05 15:00:00
12109,Granada,Osasuna,0.360979,0.658856,1,0,h,2019-10-18 20:00:00
12116,Granada,Real Betis,1.61831,0.683829,1,0,h,2019-10-27 13:00:00
12128,Granada,Getafe,1.91693,1.1273,1,3,a,2019-10-31 20:15:00
12135,Granada,Real Sociedad,0.163677,1.02564,1,2,h,2019-11-03 20:00:00
12152,Granada,Valencia,0.417522,1.04627,0,2,a,2019-11-09 15:00:00
12156,Granada,Atletico Madrid,0.669993,2.0596,1,1,h,2019-11-23 17:30:00
12164,Granada,Athletic Club,0.233324,1.82466,0,2,a,2019-12-01 13:00:00
12176,Granada,Alaves,2.63161,0.37368,3,0,h,2019-12-07 15:00:00
12189,Granada,Levante,1.21053,0.917727,1,2,h,2019-12-14 12:00:00
12195,Granada,Eibar,1.72232,2.55405,0,3,a,2019-12-20 20:00:00
12208,Granada,Mallorca,1.38848,0.78276,1,0,h,2020-01-05 11:00:00
12214,Granada,Barcelona,0.187953,1.43259,0,1,a,2020-01-19 20:00:00
12230,Granada,Sevilla,0.475664,0.807577,0,2,a,2020-01-25 20:00:00
12235,Granada,Espanyol,0.875651,2.69997,2,1,h,2020-02-01 12:00:00
12250,Granada,Atletico Madrid,0.89501,0.92576,0,1,a,2020-02-08 20:00:00
12256,Granada,Real Valladolid,2.13521,0.638079,2,1,h,2020-02-15 20:00:00
12270,Granada,Osasuna,1.68194,0.783825,3,0,a,2020-02-23 11:00:00
12276,Granada,Celta Vigo,0.918043,0.27654,0,0,h,2020-02-29 20:00:00
12291,Granada,Levante,1.22846,1.06858,1,1,a,2020-03-08 15:00:00
12299,Granada,Getafe,2.17942,0.786113,2,1,h,2020-06-12 17:30:00
12306,Granada,Real Betis,1.03374,1.49004,2,2,a,2020-06-15 20:00:00
12318,Granada,Villarreal,0.883633,0.803321,0,1,h,2020-06-19 17:30:00
12327,Granada,Leganes,0.147341,1.11797,0,0,a,2020-06-22 20:00:00
12338,Granada,Eibar,1.49293,1.68478,1,2,h,2020-06-28 18:30:00
12343,Granada,Alaves,1.23821,1.01978,2,0,a,2020-07-01 17:30:00
12357,Granada,Valencia,2.67712,0.851494,2,2,h,2020-07-04 20:00:00
12367,Granada,Real Sociedad,0.312385,1.18927,3,2,a,2020-07-10 17:30:00
12376,Granada,Real Madrid,0.930144,0.527843,1,2,h,2020-07-13 20:00:00
12391,Granada,Mallorca,1.09278,1.21791,2,1,a,2020-07-16 19:00:00
12397,Granada,Athletic Club,2.33033,0.564731,4,0,h,2020-07-19 19:00:00
