,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12027,Leganes,Osasuna,1.26802,0.188265,0,1,h,2019-08-17 20:00:00
12036,Leganes,Atletico Madrid,0.379878,1.39426,0,1,h,2019-08-25 18:00:00
12048,Leganes,Real Betis,1.44559,2.52444,1,2,a,2019-08-31 19:00:00
12058,Leganes,Villarreal,0.399916,1.83013,0,3,h,2019-09-14 14:00:00
12069,Leganes,Valencia,1.52139,1.66574,1,1,a,2019-09-22 14:00:00
12080,Leganes,Athletic Club,0.496204,1.29281,1,1,h,2019-09-25 17:00:00
12089,Leganes,Granada,0.989332,0.718298,0,1,a,2019-09-28 16:30:00
12096,Leganes,Levante,3.28469,1.08538,1,2,h,2019-10-05 12:00:00
12108,Leganes,Getafe,0.372249,1.0435,0,2,a,2019-10-19 17:30:00
12117,Leganes,Mallorca,1.7617,0.858516,1,0,h,2019-10-26 15:00:00
12130,Leganes,Real Madrid,0.240435,5.60648,0,5,a,2019-10-30 20:15:00
12136,Leganes,Eibar,1.56154,1.0478,1,2,h,2019-11-03 17:30:00
12151,Leganes,Real Sociedad,0.326909,1.19357,1,1,a,2019-11-08 20:00:00
12157,Leganes,Barcelona,0.484105,1.68235,1,2,h,2019-11-23 12:00:00
12171,Leganes,Sevilla,1.05322,2.44081,0,1,a,2019-12-01 11:00:00
12177,Leganes,Celta Vigo,0.971054,0.47817,3,2,h,2019-12-08 17:30:00
12183,Leganes,Alaves,0.915597,1.56275,1,1,a,2019-12-13 20:00:00
12196,Leganes,Espanyol,0.84514,0.649033,2,0,h,2019-12-22 11:00:00
12212,Leganes,Real Valladolid,2.14709,1.56625,2,2,a,2020-01-03 18:00:00
12217,Leganes,Getafe,0.280841,1.96098,0,3,h,2020-01-17 20:00:00
12224,Leganes,Atletico Madrid,0.37528,0.990297,0,0,a,2020-01-26 11:00:00
12236,Leganes,Real Sociedad,1.42,0.108866,2,1,h,2020-02-02 11:00:00
12245,Leganes,Levante,1.18902,0.933595,0,2,a,2020-02-08 12:00:00
12257,Leganes,Real Betis,0.563219,0.487887,0,0,h,2020-02-16 13:00:00
12267,Leganes,Celta Vigo,0.371163,0.128175,0,1,a,2020-02-22 12:00:00
12277,Leganes,Alaves,0.982157,0.977076,1,1,h,2020-02-29 17:30:00
12288,Leganes,Villarreal,1.7502,2.38355,2,1,a,2020-03-08 17:30:00
12298,Leganes,Real Valladolid,1.13073,1.23093,1,2,h,2020-06-13 17:30:00
12307,Leganes,Barcelona,0.85627,1.53086,0,2,a,2020-06-16 20:00:00
12319,Leganes,Mallorca,1.08784,0.478364,1,1,a,2020-06-19 17:30:00
12327,Leganes,Granada,1.11797,0.147341,0,0,h,2020-06-22 20:00:00
12340,Leganes,Osasuna,1.48812,0.896141,1,2,a,2020-06-27 17:30:00
12347,Leganes,Sevilla,0.756658,0.710464,0,3,h,2020-06-30 19:00:00
12356,Leganes,Espanyol,0.423597,0.705114,1,0,a,2020-07-05 15:00:00
12369,Leganes,Eibar,0.398122,0.156567,0,0,a,2020-07-09 17:30:00
12377,Leganes,Valencia,1.2593,1.28008,1,0,h,2020-07-12 17:30:00
12386,Leganes,Athletic Club,1.84675,0.62086,2,0,a,2020-07-16 19:00:00
12396,Leganes,Real Madrid,1.16055,1.06489,2,2,h,2020-07-19 19:00:00
