,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
311034,Head,OpenPlay,BlockedShot,0.023613352328538895,2,0,1,Youssef En-Nesyri,5169,h,Leganes,Osasuna,Roberto Rosales,2019-08-17 20:00:00,12027,2019,"(0.875999984741211, 0.4520000076293945)"
311043,RightFoot,DirectFreekick,MissedShots,0.07603606581687927,65,0,1,Óscar Rodríguez,6570,h,Leganes,Osasuna,,2019-08-17 20:00:00,12027,2019,"(0.914000015258789, 0.8059999847412109)"
311040,RightFoot,OpenPlay,MissedShots,0.016580870375037193,49,0,1,Óscar Rodríguez,6570,h,Leganes,Osasuna,Rubén Pérez,2019-08-17 20:00:00,12027,2019,"(0.789000015258789, 0.835)"
311035,RightFoot,DirectFreekick,BlockedShot,0.042252760380506516,6,0,1,Óscar Rodríguez,6570,h,Leganes,Osasuna,,2019-08-17 20:00:00,12027,2019,"(0.8919999694824219, 0.9009999847412109)"
311047,RightFoot,FromCorner,BlockedShot,0.021905269473791122,80,0,1,José Arnáiz,6470,h,Leganes,Osasuna,,2019-08-17 20:00:00,12027,2019,"(0.794000015258789, 0.34900001525878904)"
311037,LeftFoot,OpenPlay,MissedShots,0.011121820658445358,15,0,1,Youssef En-Nesyri,5169,h,Leganes,Osasuna,Roberto Rosales,2019-08-17 20:00:00,12027,2019,"(0.7030000305175781, 0.34200000762939453)"
311045,RightFoot,OpenPlay,BlockedShot,0.01226386334747076,69,0,1,Rubén Pérez,2080,h,Leganes,Osasuna,,2019-08-17 20:00:00,12027,2019,"(0.7269999694824218, 0.41200000762939454)"
311050,LeftFoot,FromCorner,SavedShot,0.4246754050254822,88,0,1,Dimitrios Siovas,5064,h,Leganes,Osasuna,Martin Braithwaite,2019-08-17 20:00:00,12027,2019,"(0.9590000152587891, 0.46900001525878904)"
311039,Head,OpenPlay,MissedShots,0.05264269933104515,28,0,1,Martin Braithwaite,3211,h,Leganes,Osasuna,Roberto Rosales,2019-08-17 20:00:00,12027,2019,"(0.909000015258789, 0.47)"
311041,RightFoot,OpenPlay,MissedShots,0.4618147909641266,52,0,1,Youssef En-Nesyri,5169,h,Leganes,Osasuna,Roberto Rosales,2019-08-17 20:00:00,12027,2019,"(0.9059999847412109, 0.4779999923706055)"
