,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12029,Levante,Alaves,0.859231,0.68416,0,1,a,2019-08-18 16:00:00
12041,Levante,Villarreal,2.07744,2.82602,2,1,h,2019-08-23 21:00:00
12045,Levante,Real Valladolid,2.77857,1.02789,2,0,h,2019-08-31 18:00:00
12060,Levante,Real Madrid,1.81125,3.3111,2,3,a,2019-09-14 11:00:00
12066,Levante,Eibar,1.613,1.12755,0,0,h,2019-09-21 14:00:00
12074,Levante,Real Betis,1.93984,2.73836,1,3,a,2019-09-24 18:00:00
12090,Levante,Osasuna,1.55287,0.758419,1,1,h,2019-09-29 16:30:00
12096,Levante,Leganes,1.08538,3.28469,2,1,a,2019-10-05 12:00:00
12112,Levante,Sevilla,0.459674,2.58436,0,1,a,2019-10-20 20:00:00
12118,Levante,Espanyol,0.331551,0.928166,0,1,h,2019-10-27 15:00:00
12131,Levante,Real Sociedad,2.03092,1.71528,2,1,a,2019-10-30 18:00:00
12137,Levante,Barcelona,0.927053,2.13479,3,1,h,2019-11-02 15:00:00
12144,Levante,Athletic Club,0.873861,1.79133,1,2,a,2019-11-10 13:00:00
12158,Levante,Mallorca,1.83517,1.41139,2,1,h,2019-11-22 20:00:00
12168,Levante,Getafe,0.476355,2.05726,0,4,a,2019-12-01 17:30:00
12178,Levante,Valencia,2.12541,2.95856,2,4,h,2019-12-07 17:30:00
12189,Levante,Granada,0.917727,1.21053,2,1,a,2019-12-14 12:00:00
12197,Levante,Celta Vigo,2.68998,1.4501,3,1,h,2019-12-22 17:30:00
12204,Levante,Atletico Madrid,0.736284,1.56308,1,2,a,2020-01-04 17:30:00
12218,Levante,Alaves,1.16982,1.73657,0,1,h,2020-01-18 12:00:00
12228,Levante,Osasuna,0.601469,1.94107,0,2,a,2020-01-24 20:00:00
12233,Levante,Barcelona,1.21881,3.38735,1,2,a,2020-02-02 20:00:00
12245,Levante,Leganes,0.933595,1.18902,2,0,h,2020-02-08 12:00:00
12262,Levante,Villarreal,1.24428,0.835883,1,2,a,2020-02-15 17:30:00
12269,Levante,Real Madrid,0.70752,1.90806,1,0,h,2020-02-22 20:00:00
12274,Levante,Eibar,0.60028,3.07099,0,3,a,2020-02-29 12:00:00
12291,Levante,Granada,1.06858,1.22846,1,1,h,2020-03-08 15:00:00
12300,Levante,Valencia,1.45366,1.00063,1,1,a,2020-06-12 20:00:00
12312,Levante,Sevilla,0.807331,1.06949,1,1,h,2020-06-15 17:30:00
12316,Levante,Espanyol,2.56766,0.491778,3,1,a,2020-06-20 12:00:00
12328,Levante,Atletico Madrid,0.748438,1.0251,0,1,h,2020-06-23 17:30:00
12339,Levante,Real Betis,1.6905,1.51929,4,2,h,2020-06-28 16:30:00
12352,Levante,Real Valladolid,0.206917,1.37071,0,0,a,2020-07-01 20:00:00
12358,Levante,Real Sociedad,1.19147,1.06365,1,1,h,2020-07-06 17:30:00
12371,Levante,Mallorca,1.008,1.48983,0,2,a,2020-07-09 17:30:00
12374,Levante,Athletic Club,1.10257,0.979209,1,2,h,2020-07-12 15:00:00
12383,Levante,Celta Vigo,1.39618,1.64845,3,2,a,2020-07-16 19:00:00
12398,Levante,Getafe,2.58924,1.73078,1,0,h,2020-07-19 19:00:00
