,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
311164,RightFoot,OpenPlay,MissedShots,0.03739554062485695,92,0,1,Jorge Miramón,6949,a,Levante,Alaves,,2019-08-18 16:00:00,12029,2019,"(0.855, 0.30100000381469727)"
311154,RightFoot,OpenPlay,SavedShot,0.1313449889421463,58,0,1,Sergio León,5095,a,Levante,Alaves,Sergio Postigo,2019-08-18 16:00:00,12029,2019,"(0.919000015258789, 0.37900001525878907)"
311163,RightFoot,FromCorner,BlockedShot,0.12394466251134872,78,0,1,Roger,2566,a,Levante,Alaves,,2019-08-18 16:00:00,12029,2019,"(0.9069999694824219, 0.5459999847412109)"
311156,RightFoot,OpenPlay,BlockedShot,0.016494516283273697,62,0,1,José Campaña,4034,a,Levante,Alaves,Enis Bardhi,2019-08-18 16:00:00,12029,2019,"(0.7969999694824219, 0.7759999847412109)"
311142,RightFoot,FromCorner,MissedShots,0.019314490258693695,7,0,1,Jorge Miramón,6949,a,Levante,Alaves,,2019-08-18 16:00:00,12029,2019,"(0.7230000305175781, 0.495)"
311160,LeftFoot,FromCorner,MissedShots,0.01497685071080923,73,0,1,Rubén Rochina,2079,a,Levante,Alaves,,2019-08-18 16:00:00,12029,2019,"(0.73, 0.4129999923706055)"
311158,LeftFoot,OpenPlay,BlockedShot,0.024569256231188774,68,0,1,Rubén Rochina,2079,a,Levante,Alaves,Toño,2019-08-18 16:00:00,12029,2019,"(0.8440000152587891, 0.7569999694824219)"
311145,RightFoot,OpenPlay,BlockedShot,0.040064599364995956,14,0,1,Sergio León,5095,a,Levante,Alaves,José Campaña,2019-08-18 16:00:00,12029,2019,"(0.825999984741211, 0.6270000076293946)"
311141,RightFoot,FromCorner,BlockedShot,0.017037522047758102,7,0,1,Enis Bardhi,6217,a,Levante,Alaves,,2019-08-18 16:00:00,12029,2019,"(0.7709999847412109, 0.67)"
311150,RightFoot,OpenPlay,SavedShot,0.28561511635780334,41,0,1,Enis Bardhi,6217,a,Levante,Alaves,Gonzalo Melero,2019-08-18 16:00:00,12029,2019,"(0.9080000305175782, 0.67)"
311155,LeftFoot,OpenPlay,MissedShots,0.021310748532414436,61,0,1,Enis Bardhi,6217,a,Levante,Alaves,José Campaña,2019-08-18 16:00:00,12029,2019,"(0.764000015258789, 0.6229999923706054)"
311144,RightFoot,OpenPlay,MissedShots,0.013724978081882,9,0,1,Sergio León,5095,a,Levante,Alaves,Borja Mayoral,2019-08-18 16:00:00,12029,2019,"(0.735, 0.6940000152587891)"
311143,Head,OpenPlay,SavedShot,0.02263583242893219,9,0,1,José Campaña,4034,a,Levante,Alaves,Jorge Miramón,2019-08-18 16:00:00,12029,2019,"(0.860999984741211, 0.4490000152587891)"
311157,RightFoot,OpenPlay,MissedShots,0.017476413398981094,62,0,1,José Campaña,4034,a,Levante,Alaves,Sergio Postigo,2019-08-18 16:00:00,12029,2019,"(0.745999984741211, 0.6959999847412109)"
311162,Head,FromCorner,SavedShot,0.07028776407241821,78,0,1,Rúben Vezo,2386,a,Levante,Alaves,José Campaña,2019-08-18 16:00:00,12029,2019,"(0.9390000152587891, 0.46700000762939453)"
311149,Head,FromCorner,MissedShots,0.012078855186700821,33,0,1,Nikola Vukcevic,7155,a,Levante,Alaves,Jorge Miramón,2019-08-18 16:00:00,12029,2019,"(0.8180000305175781, 0.4129999923706055)"
312256,RightFoot,OpenPlay,MissedShots,0.07200240343809128,54,2,1,Sergio León,5095,h,Levante,Villarreal,,2019-08-23 21:00:00,12041,2019,"(0.8680000305175781, 0.664000015258789)"
312235,RightFoot,OpenPlay,MissedShots,0.016686011105775833,5,2,1,Coke,2073,h,Levante,Villarreal,Rubén Rochina,2019-08-23 21:00:00,12041,2019,"(0.7580000305175781, 0.33599998474121096)"
312264,RightFoot,Penalty,Goal,0.7432776093482971,72,2,1,Roger,2566,h,Levante,Villarreal,,2019-08-23 21:00:00,12041,2019,"(0.885, 0.5)"
312262,RightFoot,Penalty,Goal,0.7430212497711182,67,2,1,Roger,2566,h,Levante,Villarreal,,2019-08-23 21:00:00,12041,2019,"(0.885, 0.5)"
312254,RightFoot,OpenPlay,MissedShots,0.031907349824905396,44,2,1,Toño,2187,h,Levante,Villarreal,José Campaña,2019-08-23 21:00:00,12041,2019,"(0.8680000305175781, 0.710999984741211)"
312252,RightFoot,OpenPlay,BlockedShot,0.016363393515348434,40,2,1,Enis Bardhi,6217,h,Levante,Villarreal,José Campaña,2019-08-23 21:00:00,12041,2019,"(0.764000015258789, 0.7280000305175781)"
312263,RightFoot,DirectFreekick,MissedShots,0.07501771301031113,71,2,1,Enis Bardhi,6217,h,Levante,Villarreal,,2019-08-23 21:00:00,12041,2019,"(0.8030000305175782, 0.7080000305175781)"
312269,RightFoot,OpenPlay,MissedShots,0.019962159916758537,88,2,1,Enis Bardhi,6217,h,Levante,Villarreal,Roger,2019-08-23 21:00:00,12041,2019,"(0.7119999694824218, 0.49900001525878906)"
312271,RightFoot,OpenPlay,SavedShot,0.06314186006784439,93,2,1,Hernâni,7872,h,Levante,Villarreal,José Campaña,2019-08-23 21:00:00,12041,2019,"(0.8109999847412109, 0.5770000076293945)"
312251,RightFoot,OpenPlay,MissedShots,0.017438385635614395,35,2,1,José Campaña,4034,h,Levante,Villarreal,Toño,2019-08-23 21:00:00,12041,2019,"(0.7180000305175781, 0.575)"
312266,RightFoot,OpenPlay,MissedShots,0.10607664287090302,79,2,1,Morales,2186,h,Levante,Villarreal,José Campaña,2019-08-23 21:00:00,12041,2019,"(0.870999984741211, 0.6029999923706054)"
312249,LeftFoot,OpenPlay,BlockedShot,0.07711415737867355,30,2,1,Coke,2073,h,Levante,Villarreal,Rubén Rochina,2019-08-23 21:00:00,12041,2019,"(0.8819999694824219, 0.305)"
312261,Head,OpenPlay,BlockedShot,0.026165766641497612,61,2,1,Rubén Rochina,2079,h,Levante,Villarreal,Toño,2019-08-23 21:00:00,12041,2019,"(0.8390000152587891, 0.5279999923706055)"
312258,LeftFoot,FromCorner,MissedShots,0.030278971418738365,58,2,1,Rubén Rochina,2079,h,Levante,Villarreal,Toño,2019-08-23 21:00:00,12041,2019,"(0.7959999847412109, 0.6759999847412109)"
312239,LeftFoot,OpenPlay,BlockedShot,0.019426856189966202,20,2,1,Rubén Rochina,2079,h,Levante,Villarreal,José Campaña,2019-08-23 21:00:00,12041,2019,"(0.7380000305175781, 0.615999984741211)"
312253,LeftFoot,OpenPlay,SavedShot,0.019561735913157463,42,2,1,Rubén Rochina,2079,h,Levante,Villarreal,Morales,2019-08-23 21:00:00,12041,2019,"(0.7480000305175781, 0.4)"
316083,LeftFoot,OpenPlay,SavedShot,0.46570146083831787,92,2,0,Morales,2186,h,Levante,Real Valladolid,Jorge Miramón,2019-08-31 18:00:00,12045,2019,"(0.95, 0.59)"
316084,RightFoot,OpenPlay,Goal,0.47103166580200195,92,2,0,Morales,2186,h,Levante,Real Valladolid,,2019-08-31 18:00:00,12045,2019,"(0.9740000152587891, 0.5829999923706055)"
316059,LeftFoot,OpenPlay,BlockedShot,0.05921637639403343,23,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,Carlos Clerc,2019-08-31 18:00:00,12045,2019,"(0.815, 0.5359999847412109)"
316064,RightFoot,OpenPlay,MissedShots,0.02904697321355343,40,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,Borja Mayoral,2019-08-31 18:00:00,12045,2019,"(0.78, 0.42700000762939455)"
316058,LeftFoot,OpenPlay,MissedShots,0.024049364030361176,13,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,José Campaña,2019-08-31 18:00:00,12045,2019,"(0.750999984741211, 0.46799999237060547)"
316066,LeftFoot,FromCorner,MissedShots,0.035031694918870926,41,2,0,Carlos Clerc,5101,h,Levante,Real Valladolid,Sergio Postigo,2019-08-31 18:00:00,12045,2019,"(0.8059999847412109, 0.4779999923706055)"
316062,Head,FromCorner,MissedShots,0.1002376526594162,37,2,0,Rúben Vezo,2386,h,Levante,Real Valladolid,José Campaña,2019-08-31 18:00:00,12045,2019,"(0.9159999847412109, 0.47400001525878904)"
316071,RightFoot,OpenPlay,BlockedShot,0.03373945504426956,50,2,0,Morales,2186,h,Levante,Real Valladolid,Borja Mayoral,2019-08-31 18:00:00,12045,2019,"(0.93, 0.7380000305175781)"
316057,RightFoot,FromCorner,MissedShots,0.016024433076381683,11,2,0,Jorge Miramón,6949,h,Levante,Real Valladolid,,2019-08-31 18:00:00,12045,2019,"(0.759000015258789, 0.33799999237060546)"
316065,Head,FromCorner,BlockedShot,0.06888402998447418,41,2,0,Rúben Vezo,2386,h,Levante,Real Valladolid,José Campaña,2019-08-31 18:00:00,12045,2019,"(0.919000015258789, 0.575999984741211)"
316069,LeftFoot,OpenPlay,MissedShots,0.016330748796463013,45,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,,2019-08-31 18:00:00,12045,2019,"(0.740999984741211, 0.5320000076293945)"
316068,LeftFoot,OpenPlay,BlockedShot,0.015165863558650017,46,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,Jorge Miramón,2019-08-31 18:00:00,12045,2019,"(0.7440000152587891, 0.2989999961853027)"
316070,LeftFoot,OpenPlay,MissedShots,0.021331049501895905,49,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,,2019-08-31 18:00:00,12045,2019,"(0.799000015258789, 0.7230000305175781)"
316073,LeftFoot,OpenPlay,MissedShots,0.07879017293453217,51,2,0,Rubén Rochina,2079,h,Levante,Real Valladolid,José Campaña,2019-08-31 18:00:00,12045,2019,"(0.8530000305175781, 0.575999984741211)"
316082,RightFoot,OpenPlay,Goal,0.6051974296569824,82,2,0,Sergio León,5095,h,Levante,Real Valladolid,,2019-08-31 18:00:00,12045,2019,"(0.9519999694824218, 0.5259999847412109)"
316063,LeftFoot,OpenPlay,MissedShots,0.9581483006477356,39,2,0,Borja Mayoral,2252,h,Levante,Real Valladolid,Morales,2019-08-31 18:00:00,12045,2019,"(0.98, 0.5609999847412109)"
317022,RightFoot,OpenPlay,MissedShots,0.026458855718374252,93,2,3,Morales,2186,a,Levante,Real Madrid,Sergio Postigo,2019-09-14 11:00:00,12060,2019,"(0.9630000305175781, 0.24299999237060546)"
317004,LeftFoot,OpenPlay,Goal,0.28266531229019165,48,2,3,Borja Mayoral,2252,a,Levante,Real Madrid,Carlos Clerc,2019-09-14 11:00:00,12060,2019,"(0.919000015258789, 0.5459999847412109)"
317021,Head,SetPiece,SavedShot,0.3520495891571045,91,2,3,Rúben Vezo,2386,a,Levante,Real Madrid,José Campaña,2019-09-14 11:00:00,12060,2019,"(0.9119999694824219, 0.49900001525878906)"
316991,Head,SetPiece,MissedShots,0.04245642200112343,6,2,3,Borja Mayoral,2252,a,Levante,Real Madrid,Rubén Rochina,2019-09-14 11:00:00,12060,2019,"(0.87, 0.4640000152587891)"
317017,RightFoot,OpenPlay,MissedShots,0.04720743000507355,76,2,3,Gonzalo Melero,6953,a,Levante,Real Madrid,Enis Bardhi,2019-09-14 11:00:00,12060,2019,"(0.8430000305175781, 0.33299999237060546)"
317016,Head,FromCorner,Goal,0.4862104058265686,74,2,3,Gonzalo Melero,6953,a,Levante,Real Madrid,José Campaña,2019-09-14 11:00:00,12060,2019,"(0.9740000152587891, 0.4520000076293945)"
316992,LeftFoot,SetPiece,MissedShots,0.5854625105857849,6,2,3,Óscar Duarte,2435,a,Levante,Real Madrid,Borja Mayoral,2019-09-14 11:00:00,12060,2019,"(0.9290000152587891, 0.5109999847412109)"
317015,LeftFoot,FromCorner,MissedShots,0.013596072793006897,72,2,3,Carlos Clerc,5101,a,Levante,Real Madrid,,2019-09-14 11:00:00,12060,2019,"(0.7069999694824218, 0.509000015258789)"
320381,RightFoot,OpenPlay,BlockedShot,0.06455368548631668,60,0,0,Morales,2186,h,Levante,Eibar,Roger,2019-09-21 14:00:00,12066,2019,"(0.8519999694824218, 0.629000015258789)"
320372,RightFoot,OpenPlay,MissedShots,0.3019140064716339,40,0,0,Morales,2186,h,Levante,Eibar,Rubén Rochina,2019-09-21 14:00:00,12066,2019,"(0.9259999847412109, 0.69)"
320376,LeftFoot,OpenPlay,SavedShot,0.11012417078018188,49,0,0,Borja Mayoral,2252,h,Levante,Eibar,José Campaña,2019-09-21 14:00:00,12066,2019,"(0.9130000305175782, 0.6329999923706054)"
320380,RightFoot,OpenPlay,BlockedShot,0.08201435953378677,60,0,0,Borja Mayoral,2252,h,Levante,Eibar,Jorge Miramón,2019-09-21 14:00:00,12066,2019,"(0.88, 0.3629999923706055)"
320391,Head,OpenPlay,BlockedShot,0.03399607911705971,89,0,0,Borja Mayoral,2252,h,Levante,Eibar,Jorge Miramón,2019-09-21 14:00:00,12066,2019,"(0.8919999694824219, 0.5509999847412109)"
320371,Head,FromCorner,SavedShot,0.012898835353553295,39,0,0,Gonzalo Melero,6953,h,Levante,Eibar,José Campaña,2019-09-21 14:00:00,12066,2019,"(0.8619999694824219, 0.5609999847412109)"
320378,RightFoot,OpenPlay,SavedShot,0.016083691269159317,55,0,0,Morales,2186,h,Levante,Eibar,,2019-09-21 14:00:00,12066,2019,"(0.7719999694824219, 0.664000015258789)"
320365,Head,FromCorner,MissedShots,0.5201491117477417,11,0,0,Rúben Vezo,2386,h,Levante,Eibar,José Campaña,2019-09-21 14:00:00,12066,2019,"(0.965999984741211, 0.4759999847412109)"
320386,RightFoot,OpenPlay,MissedShots,0.03334326669573784,68,0,0,Sergio León,5095,h,Levante,Eibar,Morales,2019-09-21 14:00:00,12066,2019,"(0.8119999694824219, 0.34)"
320377,LeftFoot,OpenPlay,BlockedShot,0.08395127952098846,55,0,0,Rubén Rochina,2079,h,Levante,Eibar,José Campaña,2019-09-21 14:00:00,12066,2019,"(0.8530000305175781, 0.5670000076293945)"
320388,LeftFoot,FromCorner,MissedShots,0.013461475260555744,72,0,0,Rubén Rochina,2079,h,Levante,Eibar,,2019-09-21 14:00:00,12066,2019,"(0.7080000305175781, 0.5590000152587891)"
