,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12025,Mallorca,Eibar,1.68856,0.794158,2,1,h,2019-08-17 19:00:00
12040,Mallorca,Real Sociedad,0.871995,1.59382,0,1,h,2019-08-25 16:00:00
12049,Mallorca,Valencia,1.16388,2.09044,0,2,a,2019-09-01 16:00:00
12059,Mallorca,Athletic Club,2.1905,1.39203,0,0,h,2019-09-13 19:00:00
12071,Mallorca,Getafe,0.726341,2.70951,2,4,a,2019-09-22 10:00:00
12079,Mallorca,Atletico Madrid,0.673477,1.21545,0,2,h,2019-09-25 17:00:00
12083,Mallorca,Alaves,0.16946,1.84115,0,2,a,2019-09-29 14:00:00
12097,Mallorca,Espanyol,1.02963,0.731578,2,0,h,2019-10-06 11:00:00
12110,Mallorca,Real Madrid,0.245649,0.808026,1,0,h,2019-10-19 20:00:00
12117,Mallorca,Leganes,0.858516,1.7617,0,1,a,2019-10-26 15:00:00
12129,Mallorca,Osasuna,2.15631,0.869837,2,2,h,2019-10-31 18:00:00
12142,Mallorca,Real Valladolid,0.590538,1.96371,0,3,a,2019-11-03 11:00:00
12150,Mallorca,Villarreal,1.56727,3.04498,3,1,h,2019-11-10 11:00:00
12158,Mallorca,Levante,1.41139,1.83517,1,2,a,2019-11-22 20:00:00
12169,Mallorca,Real Betis,2.37108,2.27656,1,2,h,2019-11-30 17:30:00
12173,Mallorca,Barcelona,1.0224,4.28236,2,5,a,2019-12-07 20:00:00
12186,Mallorca,Celta Vigo,1.51622,2.18849,2,2,a,2019-12-15 13:00:00
12198,Mallorca,Sevilla,0.788281,1.80841,0,2,h,2019-12-21 12:00:00
12208,Mallorca,Granada,0.78276,1.38848,0,1,a,2020-01-05 11:00:00
12219,Mallorca,Valencia,2.18221,0.449368,4,1,h,2020-01-19 11:00:00
12229,Mallorca,Real Sociedad,0.885045,2.6866,0,3,a,2020-01-26 17:30:00
12237,Mallorca,Real Valladolid,0.550096,1.09282,0,1,h,2020-02-01 17:30:00
12243,Mallorca,Espanyol,0.669911,1.81523,0,1,a,2020-02-09 11:00:00
12258,Mallorca,Alaves,2.04009,0.784895,1,0,h,2020-02-15 12:00:00
12266,Mallorca,Real Betis,0.913546,3.09931,3,3,a,2020-02-21 20:00:00
12278,Mallorca,Getafe,0.0726554,0.913015,0,1,h,2020-03-01 17:30:00
12287,Mallorca,Eibar,0.90604,0.9664,2,1,a,2020-03-07 12:00:00
12297,Mallorca,Barcelona,0.648782,2.69892,0,4,h,2020-06-13 20:00:00
12309,Mallorca,Villarreal,1.65754,1.62532,0,1,a,2020-06-16 17:30:00
12319,Mallorca,Leganes,0.478364,1.08784,1,1,h,2020-06-19 17:30:00
12329,Mallorca,Real Madrid,0.573505,1.3538,0,2,a,2020-06-24 20:00:00
12333,Mallorca,Athletic Club,1.16492,2.76806,1,3,a,2020-06-27 16:30:00
12348,Mallorca,Celta Vigo,1.6815,1.55871,5,1,h,2020-06-30 23:00:00
12354,Mallorca,Atletico Madrid,0.595505,2.65175,0,3,a,2020-07-03 20:00:00
12371,Mallorca,Levante,1.48983,1.008,2,0,h,2020-07-09 17:30:00
12381,Mallorca,Sevilla,0.309223,1.91225,0,2,a,2020-07-12 20:00:00
12391,Mallorca,Granada,1.21791,1.09278,1,2,h,2020-07-16 19:00:00
12399,Mallorca,Osasuna,0.595381,1.00938,2,2,a,2020-07-19 19:00:00
