,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310965,Head,FromCorner,MissedShots,0.04353712499141693,47,2,1,Martin Valjent,7838,h,Mallorca,Eibar,Dani Rodríguez,2019-08-17 19:00:00,12025,2019,"(0.8859999847412109, 0.5329999923706055)"
310979,RightFoot,OpenPlay,MissedShots,0.02297165058553219,84,2,1,Lago Junior,7843,h,Mallorca,Eibar,,2019-08-17 19:00:00,12025,2019,"(0.779000015258789, 0.6430000305175781)"
310958,RightFoot,OpenPlay,BlockedShot,0.010703148320317268,11,2,1,Aleix Febas,7842,h,Mallorca,Eibar,,2019-08-17 19:00:00,12025,2019,"(0.7290000152587891, 0.21700000762939453)"
310956,LeftFoot,OpenPlay,MissedShots,0.03172316402196884,8,2,1,Lumor Agbenyenu,7839,h,Mallorca,Eibar,Salva Sevilla,2019-08-17 19:00:00,12025,2019,"(0.7909999847412109, 0.6759999847412109)"
310960,OtherBodyPart,OpenPlay,SavedShot,0.03027789480984211,24,2,1,Martin Valjent,7838,h,Mallorca,Eibar,Joan Sastre,2019-08-17 19:00:00,12025,2019,"(0.8730000305175781, 0.40900001525878904)"
310977,RightFoot,OpenPlay,MissedShots,0.08431561291217804,81,2,1,Aleksandar Trajkovski,1837,h,Mallorca,Eibar,Joan Sastre,2019-08-17 19:00:00,12025,2019,"(0.87, 0.3629999923706055)"
310974,RightFoot,OpenPlay,MissedShots,0.04676869511604309,64,2,1,Lago Junior,7843,h,Mallorca,Eibar,Joan Sastre,2019-08-17 19:00:00,12025,2019,"(0.8819999694824219, 0.305)"
310957,Head,FromCorner,MissedShots,0.05230791121721268,9,2,1,Raíllo,2584,h,Mallorca,Eibar,Joan Sastre,2019-08-17 19:00:00,12025,2019,"(0.875, 0.500999984741211)"
310978,RightFoot,FromCorner,MissedShots,0.04250152036547661,81,2,1,Dani Rodríguez,7841,h,Mallorca,Eibar,,2019-08-17 19:00:00,12025,2019,"(0.8159999847412109, 0.4779999923706055)"
310968,Head,OpenPlay,BlockedShot,0.06541329622268677,53,2,1,Lago Junior,7843,h,Mallorca,Eibar,Dani Rodríguez,2019-08-17 19:00:00,12025,2019,"(0.9330000305175781, 0.575)"
310962,RightFoot,FromCorner,BlockedShot,0.015295385383069515,36,2,1,Dani Rodríguez,7841,h,Mallorca,Eibar,,2019-08-17 19:00:00,12025,2019,"(0.7659999847412109, 0.435)"
310955,LeftFoot,OpenPlay,MissedShots,0.4717009961605072,7,2,1,Ante Budimir,1235,h,Mallorca,Eibar,Salva Sevilla,2019-08-17 19:00:00,12025,2019,"(0.9669999694824218, 0.415)"
310954,RightFoot,OpenPlay,Goal,0.37256646156311035,3,2,1,Dani Rodríguez,7841,h,Mallorca,Eibar,Aleix Febas,2019-08-17 19:00:00,12025,2019,"(0.865999984741211, 0.455)"
310969,Head,FromCorner,MissedShots,0.09196333587169647,54,2,1,Ante Budimir,1235,h,Mallorca,Eibar,Salva Sevilla,2019-08-17 19:00:00,12025,2019,"(0.9269999694824219, 0.4370000076293945)"
310975,Head,OpenPlay,MissedShots,0.3065100312232971,70,2,1,Dani Rodríguez,7841,h,Mallorca,Eibar,Lago Junior,2019-08-17 19:00:00,12025,2019,"(0.9069999694824219, 0.49900001525878906)"
313063,LeftFoot,OpenPlay,SavedShot,0.04787154868245125,21,0,1,Dani Rodríguez,7841,h,Mallorca,Real Sociedad,Lago Junior,2019-08-25 16:00:00,12040,2019,"(0.8019999694824219, 0.5479999923706055)"
313059,Head,OpenPlay,SavedShot,0.4231557548046112,0,0,1,Lago Junior,7843,h,Mallorca,Real Sociedad,Lumor Agbenyenu,2019-08-25 16:00:00,12040,2019,"(0.9390000152587891, 0.43599998474121093)"
313071,RightFoot,FromCorner,SavedShot,0.047943342477083206,56,0,1,Aleix Febas,7842,h,Mallorca,Real Sociedad,Lumor Agbenyenu,2019-08-25 16:00:00,12040,2019,"(0.855, 0.6930000305175781)"
313061,LeftFoot,OpenPlay,BlockedShot,0.06416749954223633,7,0,1,Ante Budimir,1235,h,Mallorca,Real Sociedad,Lumor Agbenyenu,2019-08-25 16:00:00,12040,2019,"(0.9080000305175782, 0.67)"
313064,LeftFoot,OpenPlay,BlockedShot,0.07810387015342712,28,0,1,Ante Budimir,1235,h,Mallorca,Real Sociedad,,2019-08-25 16:00:00,12040,2019,"(0.9519999694824218, 0.37400001525878906)"
313080,RightFoot,OpenPlay,SavedShot,0.017241220921278,84,0,1,Salva Sevilla,2121,h,Mallorca,Real Sociedad,Aleksandar Trajkovski,2019-08-25 16:00:00,12040,2019,"(0.750999984741211, 0.675)"
313074,RightFoot,OpenPlay,MissedShots,0.018344178795814514,68,0,1,Joan Sastre,7837,h,Mallorca,Real Sociedad,Iddrisu Baba,2019-08-25 16:00:00,12040,2019,"(0.71, 0.3770000076293945)"
313062,RightFoot,FromCorner,MissedShots,0.019679119810461998,11,0,1,Joan Sastre,7837,h,Mallorca,Real Sociedad,,2019-08-25 16:00:00,12040,2019,"(0.7619999694824219, 0.42700000762939455)"
313075,LeftFoot,OpenPlay,MissedShots,0.06625639647245407,69,0,1,Ante Budimir,1235,h,Mallorca,Real Sociedad,,2019-08-25 16:00:00,12040,2019,"(0.91, 0.43900001525878907)"
313081,Head,OpenPlay,MissedShots,0.03559887781739235,84,0,1,Pablo Chavarria,4771,h,Mallorca,Real Sociedad,Aleksandar Trajkovski,2019-08-25 16:00:00,12040,2019,"(0.914000015258789, 0.5609999847412109)"
313067,RightFoot,OpenPlay,MissedShots,0.02144397422671318,38,0,1,Dani Rodríguez,7841,h,Mallorca,Real Sociedad,Aleix Febas,2019-08-25 16:00:00,12040,2019,"(0.7919999694824219, 0.3139999961853027)"
313076,RightFoot,OpenPlay,BlockedShot,0.032188765704631805,69,0,1,Aleksandar Trajkovski,1837,h,Mallorca,Real Sociedad,,2019-08-25 16:00:00,12040,2019,"(0.8430000305175781, 0.49900001525878906)"
316391,LeftFoot,OpenPlay,BlockedShot,0.013936899602413177,50,0,2,Lumor Agbenyenu,7839,a,Mallorca,Valencia,Iddrisu Baba,2019-09-01 16:00:00,12049,2019,"(0.6919999694824219, 0.6)"
316379,RightFoot,OpenPlay,BlockedShot,0.46310266852378845,7,0,2,Dani Rodríguez,7841,a,Mallorca,Valencia,,2019-09-01 16:00:00,12049,2019,"(0.909000015258789, 0.46599998474121096)"
316383,RightFoot,DirectFreekick,BlockedShot,0.07820294052362442,27,0,2,Salva Sevilla,2121,a,Mallorca,Valencia,,2019-09-01 16:00:00,12049,2019,"(0.769000015258789, 0.38799999237060545)"
316382,RightFoot,OpenPlay,ShotOnPost,0.022068997845053673,21,0,2,Lago Junior,7843,a,Mallorca,Valencia,Dani Rodríguez,2019-09-01 16:00:00,12049,2019,"(0.7809999847412109, 0.7169999694824218)"
316388,Head,OpenPlay,MissedShots,0.016811411827802658,45,0,2,Lago Junior,7843,a,Mallorca,Valencia,Dani Rodríguez,2019-09-01 16:00:00,12049,2019,"(0.8619999694824219, 0.515)"
316396,Head,OpenPlay,MissedShots,0.06553572416305542,70,0,2,Lago Junior,7843,a,Mallorca,Valencia,Joan Sastre,2019-09-01 16:00:00,12049,2019,"(0.965999984741211, 0.585)"
316385,RightFoot,OpenPlay,MissedShots,0.016656486317515373,33,0,2,Iddrisu Baba,7840,a,Mallorca,Valencia,Dani Rodríguez,2019-09-01 16:00:00,12049,2019,"(0.735999984741211, 0.34200000762939453)"
316377,RightFoot,OpenPlay,SavedShot,0.04262141138315201,7,0,2,Joan Sastre,7837,a,Mallorca,Valencia,Dani Rodríguez,2019-09-01 16:00:00,12049,2019,"(0.8590000152587891, 0.30700000762939456)"
316395,RightFoot,OpenPlay,BlockedShot,0.009926463477313519,66,0,2,Salva Sevilla,2121,a,Mallorca,Valencia,Aleksandar Trajkovski,2019-09-01 16:00:00,12049,2019,"(0.745, 0.7169999694824218)"
316397,Head,FromCorner,MissedShots,0.06236265227198601,72,0,2,Ante Budimir,1235,a,Mallorca,Valencia,Aleksandar Trajkovski,2019-09-01 16:00:00,12049,2019,"(0.9269999694824219, 0.505)"
316378,LeftFoot,OpenPlay,ShotOnPost,0.5993589758872986,7,0,2,Ante Budimir,1235,a,Mallorca,Valencia,,2019-09-01 16:00:00,12049,2019,"(0.94, 0.5320000076293945)"
316390,RightFoot,OpenPlay,BlockedShot,0.08430887758731842,49,0,2,Aleix Febas,7842,a,Mallorca,Valencia,Lago Junior,2019-09-01 16:00:00,12049,2019,"(0.8909999847412109, 0.620999984741211)"
316977,RightFoot,DirectFreekick,MissedShots,0.036402683705091476,46,0,0,Joan Sastre,7837,h,Mallorca,Athletic Club,,2019-09-13 19:00:00,12059,2019,"(0.6819999694824219, 0.46900001525878904)"
316978,Head,SetPiece,MissedShots,0.29064011573791504,49,0,0,Raíllo,2584,h,Mallorca,Athletic Club,Salva Sevilla,2019-09-13 19:00:00,12059,2019,"(0.8980000305175782, 0.5329999923706055)"
316986,LeftFoot,OpenPlay,ShotOnPost,0.08043771982192993,75,0,0,Salva Sevilla,2121,h,Mallorca,Athletic Club,Lago Junior,2019-09-13 19:00:00,12059,2019,"(0.860999984741211, 0.5990000152587891)"
316975,RightFoot,DirectFreekick,SavedShot,0.05957890301942825,44,0,0,Salva Sevilla,2121,h,Mallorca,Athletic Club,,2019-09-13 19:00:00,12059,2019,"(0.779000015258789, 0.28399999618530275)"
316976,Head,FromCorner,MissedShots,0.45346325635910034,44,0,0,Iddrisu Baba,7840,h,Mallorca,Athletic Club,Salva Sevilla,2019-09-13 19:00:00,12059,2019,"(0.9569999694824218, 0.45)"
316985,LeftFoot,OpenPlay,BlockedShot,0.04399648681282997,70,0,0,Abdul Rahman Baba,684,h,Mallorca,Athletic Club,Aleix Febas,2019-09-13 19:00:00,12059,2019,"(0.86, 0.6840000152587891)"
316969,Head,OpenPlay,MissedShots,0.09997476637363434,9,0,0,Dani Rodríguez,7841,h,Mallorca,Athletic Club,Lago Junior,2019-09-13 19:00:00,12059,2019,"(0.9330000305175781, 0.49400001525878906)"
316980,RightFoot,OpenPlay,BlockedShot,0.024455513805150986,55,0,0,Dani Rodríguez,7841,h,Mallorca,Athletic Club,Salva Sevilla,2019-09-13 19:00:00,12059,2019,"(0.8109999847412109, 0.7230000305175781)"
316981,LeftFoot,OpenPlay,MissedShots,0.3582746684551239,55,0,0,Lago Junior,7843,h,Mallorca,Athletic Club,Aleix Febas,2019-09-13 19:00:00,12059,2019,"(0.909000015258789, 0.625)"
316987,LeftFoot,Penalty,MissedShots,0.7432776093482971,81,0,0,Abdón Prats,8014,h,Mallorca,Athletic Club,,2019-09-13 19:00:00,12059,2019,"(0.885, 0.5)"
320897,Head,OpenPlay,Goal,0.09457434713840485,69,2,4,Ante Budimir,1235,a,Mallorca,Getafe,Takefusa Kubo,2019-09-22 10:00:00,12071,2019,"(0.899000015258789, 0.4520000076293945)"
320899,LeftFoot,OpenPlay,Goal,0.08170954883098602,76,2,4,Ante Budimir,1235,a,Mallorca,Getafe,,2019-09-22 10:00:00,12071,2019,"(0.9719999694824218, 0.42700000762939455)"
320883,LeftFoot,FromCorner,OwnGoal,0.0,6,2,4,Iddrisu Baba,7840,a,Mallorca,Getafe,,2019-09-22 10:00:00,12071,2019,"(0.030999999046325683, 0.4640000152587891)"
320892,LeftFoot,OpenPlay,BlockedShot,0.02633046545088291,54,2,4,Takefusa Kubo,8001,a,Mallorca,Getafe,Joan Sastre,2019-09-22 10:00:00,12071,2019,"(0.8030000305175782, 0.32599998474121095)"
320891,RightFoot,SetPiece,MissedShots,0.014303229749202728,48,2,4,Iddrisu Baba,7840,a,Mallorca,Getafe,,2019-09-22 10:00:00,12071,2019,"(0.8080000305175781, 0.645)"
320884,RightFoot,FromCorner,MissedShots,0.014236199669539928,8,2,4,Joan Sastre,7837,a,Mallorca,Getafe,Salva Sevilla,2019-09-22 10:00:00,12071,2019,"(0.805, 0.34900001525878904)"
320882,LeftFoot,OpenPlay,BlockedShot,0.44579240679740906,4,2,4,Dani Rodríguez,7841,a,Mallorca,Getafe,Ante Budimir,2019-09-22 10:00:00,12071,2019,"(0.905, 0.46799999237060547)"
320898,LeftFoot,DirectFreekick,SavedShot,0.049394700676202774,74,2,4,Takefusa Kubo,8001,a,Mallorca,Getafe,,2019-09-22 10:00:00,12071,2019,"(0.7140000152587891, 0.46599998474121096)"
321703,RightFoot,SetPiece,BlockedShot,0.02736038900911808,21,0,2,Joan Sastre,7837,h,Mallorca,Atletico Madrid,Salva Sevilla,2019-09-25 17:00:00,12079,2019,"(0.7909999847412109, 0.6)"
321708,RightFoot,OpenPlay,BlockedShot,0.06811381131410599,46,0,2,Takefusa Kubo,8001,h,Mallorca,Atletico Madrid,Dani Rodríguez,2019-09-25 17:00:00,12079,2019,"(0.95, 0.3529999923706055)"
