,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12031,Real Betis,Real Valladolid,1.24003,0.736026,1,2,h,2019-08-18 20:00:00
12042,Real Betis,Barcelona,0.145785,2.85088,2,5,a,2019-08-25 20:00:00
12048,Real Betis,Leganes,2.52444,1.44559,2,1,h,2019-08-31 19:00:00
12055,Real Betis,Getafe,1.00209,1.49492,1,1,h,2019-09-15 19:00:00
12067,Real Betis,Osasuna,0.334273,2.20072,0,0,a,2019-09-20 19:00:00
12074,Real Betis,Levante,2.73836,1.93984,3,1,h,2019-09-24 18:00:00
12092,Real Betis,Villarreal,0.667105,2.95644,1,5,a,2019-09-27 19:00:00
12094,Real Betis,Eibar,1.74382,1.18435,1,1,h,2019-10-04 20:00:00
12111,Real Betis,Real Sociedad,0.63684,1.32948,1,3,a,2019-10-20 13:00:00
12116,Real Betis,Granada,0.683829,1.61831,0,1,a,2019-10-27 13:00:00
12126,Real Betis,Celta Vigo,1.11761,1.59702,2,1,h,2019-10-30 20:00:00
12139,Real Betis,Real Madrid,0.437853,2.81646,0,0,a,2019-11-02 20:00:00
12147,Real Betis,Sevilla,1.56474,0.993088,1,2,h,2019-11-10 20:00:00
12153,Real Betis,Valencia,1.62946,0.910796,2,1,h,2019-11-23 15:00:00
12169,Real Betis,Mallorca,2.27656,2.37108,2,1,a,2019-11-30 17:30:00
12174,Real Betis,Athletic Club,1.98458,0.985449,3,2,h,2019-12-08 13:00:00
12187,Real Betis,Espanyol,0.502557,1.58859,2,2,a,2019-12-15 15:00:00
12194,Real Betis,Atletico Madrid,0.922514,1.41727,1,2,h,2019-12-22 15:00:00
12203,Real Betis,Alaves,2.02653,0.304027,1,1,a,2020-01-05 15:00:00
12215,Real Betis,Real Sociedad,2.26225,0.281591,3,0,h,2020-01-19 13:00:00
12227,Real Betis,Getafe,1.33797,1.45193,0,1,a,2020-01-26 15:00:00
12234,Real Betis,Eibar,0.959112,2.28348,1,1,a,2020-02-02 13:00:00
12251,Real Betis,Barcelona,1.05905,1.85454,2,3,h,2020-02-09 20:00:00
12257,Real Betis,Leganes,0.487887,0.563219,0,0,a,2020-02-16 13:00:00
12266,Real Betis,Mallorca,3.09931,0.913546,3,3,h,2020-02-21 20:00:00
12282,Real Betis,Valencia,0.793569,1.05167,1,2,a,2020-02-29 15:00:00
12286,Real Betis,Real Madrid,1.33577,1.39172,2,1,h,2020-03-08 20:00:00
12301,Real Betis,Sevilla,0.481345,2.11983,0,2,a,2020-06-11 20:00:00
12306,Real Betis,Granada,1.49004,1.03374,2,2,h,2020-06-15 20:00:00
12313,Real Betis,Athletic Club,2.13638,2.24762,0,1,a,2020-06-20 15:00:00
12325,Real Betis,Espanyol,1.07378,1.12604,1,0,h,2020-06-25 20:00:00
12339,Real Betis,Levante,1.51929,1.6905,2,4,a,2020-06-28 16:30:00
12345,Real Betis,Villarreal,0.400169,2.91561,0,2,h,2020-07-01 20:00:00
12355,Real Betis,Celta Vigo,0.636627,0.238909,1,1,a,2020-07-04 15:00:00
12365,Real Betis,Osasuna,2.12533,0.407994,3,0,h,2020-07-08 18:30:00
12378,Real Betis,Atletico Madrid,1.1694,0.76357,0,1,a,2020-07-11 20:00:00
12384,Real Betis,Alaves,1.80332,2.31274,1,2,h,2020-07-16 19:00:00
12400,Real Betis,Real Valladolid,0.548953,0.915131,0,2,a,2020-07-19 16:30:00
