,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12030,Sevilla,Espanyol,2.40044,0.145879,2,0,a,2019-08-18 18:00:00
12035,Sevilla,Granada,1.39211,0.428332,1,0,a,2019-08-23 19:00:00
12046,Sevilla,Celta Vigo,1.50787,0.454026,1,1,h,2019-08-30 19:00:00
12053,Sevilla,Alaves,1.091,0.773661,1,0,a,2019-09-15 12:00:00
12068,Sevilla,Real Madrid,0.394624,1.23916,0,1,h,2019-09-22 19:00:00
12081,Sevilla,Eibar,1.3532,1.69937,2,3,a,2019-09-26 17:00:00
12091,Sevilla,Real Sociedad,1.60195,0.774246,3,2,h,2019-09-29 19:00:00
12093,Sevilla,Barcelona,3.03653,2.40324,0,4,a,2019-10-06 20:00:00
12112,Sevilla,Levante,2.58436,0.459674,1,0,h,2019-10-20 20:00:00
12120,Sevilla,Getafe,2.14059,0.62652,2,0,h,2019-10-27 17:30:00
12132,Sevilla,Valencia,0.46703,1.0283,1,1,a,2019-10-30 18:00:00
12140,Sevilla,Atletico Madrid,0.888419,2.45211,1,1,h,2019-11-02 17:30:00
12147,Sevilla,Real Betis,0.993088,1.56474,2,1,a,2019-11-10 20:00:00
12162,Sevilla,Real Valladolid,1.11673,0.363545,1,0,a,2019-11-24 20:00:00
12171,Sevilla,Leganes,2.44081,1.05322,1,0,h,2019-12-01 11:00:00
12179,Sevilla,Osasuna,1.46737,0.661362,1,1,a,2019-12-08 20:00:00
12191,Sevilla,Villarreal,1.73952,1.62777,1,2,h,2019-12-15 17:30:00
12198,Sevilla,Mallorca,1.80841,0.788281,2,0,a,2019-12-21 12:00:00
12210,Sevilla,Athletic Club,1.07523,0.237728,1,1,h,2020-01-03 20:00:00
12221,Sevilla,Real Madrid,0.373928,1.37156,1,2,a,2020-01-18 15:00:00
12230,Sevilla,Granada,0.807577,0.475664,2,0,h,2020-01-25 20:00:00
12239,Sevilla,Alaves,1.64919,0.984092,1,1,h,2020-02-02 17:30:00
12252,Sevilla,Celta Vigo,1.13918,1.38338,1,2,a,2020-02-09 17:30:00
12260,Sevilla,Espanyol,1.65914,0.622409,2,2,h,2020-02-16 11:00:00
12268,Sevilla,Getafe,2.82001,0.460518,3,0,a,2020-02-23 17:30:00
12281,Sevilla,Osasuna,1.64954,1.80118,3,2,h,2020-03-01 11:00:00
12284,Sevilla,Atletico Madrid,1.61538,2.04826,2,2,a,2020-03-07 15:00:00
12301,Sevilla,Real Betis,2.11983,0.481345,2,0,h,2020-06-11 20:00:00
12312,Sevilla,Levante,1.06949,0.807331,1,1,a,2020-06-15 17:30:00
12321,Sevilla,Barcelona,0.824926,0.741303,0,0,h,2020-06-19 20:00:00
12331,Sevilla,Villarreal,1.2636,1.08857,2,2,a,2020-06-22 20:00:00
12341,Sevilla,Real Valladolid,1.59745,0.583726,1,1,h,2020-06-26 20:00:00
12347,Sevilla,Leganes,0.710464,0.756658,3,0,a,2020-06-30 19:00:00
12360,Sevilla,Eibar,1.29481,1.16838,1,0,h,2020-07-06 20:00:00
12363,Sevilla,Athletic Club,1.80682,1.6153,2,1,a,2020-07-09 20:00:00
12381,Sevilla,Mallorca,1.91225,0.309223,2,0,h,2020-07-12 20:00:00
12389,Sevilla,Real Sociedad,0.611057,0.835797,0,0,a,2020-07-16 19:00:00
12402,Sevilla,Valencia,0.731583,0.301441,1,0,h,2020-07-19 19:00:00
