,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376743,Head,FromCorner,SavedShot,0.12285366654396057,48,0,1,Rodrigo Battaglia,8750,h,Alaves,Real Betis,Lucas Pérez,2020-09-13 12:00:00,14139,2020,"(0.9330000305175781, 0.4640000152587891)"
376748,RightFoot,SetPiece,BlockedShot,0.028638841584324837,71,0,1,Rodrigo Battaglia,8750,h,Alaves,Real Betis,Rodrigo Ely,2020-09-13 12:00:00,14139,2020,"(0.7880000305175782, 0.52)"
376744,RightFoot,FromCorner,SavedShot,0.8552340865135193,48,0,1,Víctor Laguardia,5044,h,Alaves,Real Betis,,2020-09-13 12:00:00,14139,2020,"(0.9740000152587891, 0.49)"
376751,Head,FromCorner,MissedShots,0.04644831642508507,73,0,1,Víctor Laguardia,5044,h,Alaves,Real Betis,Rodrigo Ely,2020-09-13 12:00:00,14139,2020,"(0.915, 0.47299999237060547)"
376750,Head,FromCorner,MissedShots,0.10931693762540817,72,0,1,Rodrigo Ely,1131,h,Alaves,Real Betis,Rubén Duarte,2020-09-13 12:00:00,14139,2020,"(0.9309999847412109, 0.5540000152587891)"
376739,RightFoot,SetPiece,MissedShots,0.08017393946647644,26,0,1,Rubén Duarte,2110,h,Alaves,Real Betis,Lucas Pérez,2020-09-13 12:00:00,14139,2020,"(0.9290000152587891, 0.44299999237060544)"
376749,RightFoot,SetPiece,BlockedShot,0.043899573385715485,72,0,1,Joselu,866,h,Alaves,Real Betis,Javier López,2020-09-13 12:00:00,14139,2020,"(0.8480000305175781, 0.635)"
378271,RightFoot,OpenPlay,SavedShot,0.5713033676147461,75,1,2,Edgar Méndez,2088,a,Alaves,Granada,Rubén Duarte,2020-09-20 16:30:00,14151,2020,"(0.965, 0.44799999237060545)"
378268,LeftFoot,OpenPlay,BlockedShot,0.03524339944124222,45,1,2,Joselu,866,a,Alaves,Granada,Luis Rioja,2020-09-20 16:30:00,14151,2020,"(0.93, 0.6659999847412109)"
378277,RightFoot,OpenPlay,SavedShot,0.009980599395930767,91,1,2,Ximo Navarro,4052,a,Alaves,Granada,,2020-09-20 16:30:00,14151,2020,"(0.7119999694824218, 0.3270000076293945)"
378275,RightFoot,OpenPlay,BlockedShot,0.06042686477303505,84,1,2,Borja Sainz,7871,a,Alaves,Granada,Joselu,2020-09-20 16:30:00,14151,2020,"(0.8240000152587891, 0.43900001525878907)"
378264,RightFoot,DirectFreekick,Goal,0.09325528889894485,21,1,2,Joselu,866,a,Alaves,Granada,,2020-09-20 16:30:00,14151,2020,"(0.7719999694824219, 0.539000015258789)"
378627,RightFoot,DirectFreekick,MissedShots,0.032644353806972504,19,0,0,Florian Lejeune,5073,h,Alaves,Getafe,,2020-09-26 11:00:00,14154,2020,"(0.7090000152587891, 0.2670000076293945)"
378641,LeftFoot,OpenPlay,MissedShots,0.019734498113393784,77,0,0,Deyverson,2185,h,Alaves,Getafe,Edgar Méndez,2020-09-26 11:00:00,14154,2020,"(0.9209999847412109, 0.6959999847412109)"
378634,Head,FromCorner,MissedShots,0.029770854860544205,47,0,0,Joselu,866,h,Alaves,Getafe,Rubén Duarte,2020-09-26 11:00:00,14154,2020,"(0.95, 0.3729999923706055)"
378633,LeftFoot,OpenPlay,MissedShots,0.11571354418992996,41,0,0,Edgar Méndez,2088,h,Alaves,Getafe,Luis Rioja,2020-09-26 11:00:00,14154,2020,"(0.9480000305175781, 0.48400001525878905)"
