,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14156,Barcelona,Villarreal,3.50735,0.244835,4,0,h,2020-09-27 19:00:00
14165,Barcelona,Celta Vigo,0.931689,0.568201,3,0,a,2020-10-01 19:30:00
14817,Barcelona,Sevilla,1.05717,1.25522,1,1,h,2020-10-04 19:00:00
14830,Barcelona,Getafe,0.62541,1.70992,0,1,a,2020-10-17 19:00:00
14836,Barcelona,Real Madrid,1.57351,3.20848,1,3,h,2020-10-24 14:00:00
14845,Barcelona,Alaves,2.07747,1.11324,1,1,a,2020-10-31 20:00:00
14856,Barcelona,Real Betis,4.44487,0.86991,5,2,h,2020-11-07 15:15:00
14867,Barcelona,Atletico Madrid,1.29964,0.812108,0,1,a,2020-11-21 20:00:00
14875,Barcelona,Osasuna,3.91416,1.56118,4,0,h,2020-11-29 13:00:00
14885,Barcelona,Cadiz,1.71026,2.61118,1,2,a,2020-12-05 20:00:00
14898,Barcelona,Levante,2.62077,0.97888,1,0,h,2020-12-13 20:00:00
14905,Barcelona,Real Sociedad,2.58133,1.82452,2,1,h,2020-12-16 20:00:00
14909,Barcelona,Valencia,3.2847,1.97181,2,2,h,2020-12-19 15:15:00
14924,Barcelona,Real Valladolid,3.23865,0.499141,3,0,a,2020-12-22 21:00:00
14928,Barcelona,Eibar,2.05695,0.592271,1,1,h,2020-12-27 18:00:00
14942,Barcelona,SD Huesca,3.21201,0.259005,1,0,a,2021-01-03 20:00:00
14947,Barcelona,Athletic Club,1.39939,0.638117,3,2,a,2021-01-06 20:00:00
14951,Barcelona,Granada,1.64578,0.490441,4,0,a,2021-01-09 17:30:00
14972,Barcelona,Elche,3.12144,0.477298,2,0,a,2021-01-24 15:15:00
14978,Barcelona,Athletic Club,2.53148,0.275356,2,1,h,2021-01-31 20:00:00
14991,Barcelona,Real Betis,1.33284,1.87521,3,2,a,2021-02-07 20:00:00
14998,Barcelona,Alaves,2.86032,0.710997,5,1,h,2021-02-13 20:00:00
15010,Barcelona,Cadiz,2.39005,1.32905,1,1,h,2021-02-21 13:00:00
14141,Barcelona,Elche,2.66084,0.351113,3,0,h,2021-02-24 20:00:00
15026,Barcelona,Sevilla,1.58696,0.117061,2,0,a,2021-02-27 15:15:00
15033,Barcelona,Osasuna,1.30761,0.756534,2,0,a,2021-03-06 20:00:00
15039,Barcelona,SD Huesca,1.52419,2.19819,4,1,h,2021-03-15 20:00:00
15054,Barcelona,Real Sociedad,3.3338,0.917148,6,1,a,2021-03-21 20:00:00
15059,Barcelona,Real Valladolid,1.68796,0.435921,1,0,h,2021-04-05 19:00:00
15074,Barcelona,Real Madrid,1.15567,1.64993,1,2,a,2021-04-10 19:00:00
15080,Barcelona,Getafe,2.15458,1.39543,5,2,h,2021-04-22 20:00:00
15096,Barcelona,Villarreal,3.38056,0.964915,2,1,a,2021-04-25 14:15:00
15101,Barcelona,Granada,1.43667,0.811246,1,2,h,2021-04-29 17:00:00
15109,Barcelona,Valencia,3.98456,1.41404,3,2,a,2021-05-02 19:00:00
15120,Barcelona,Atletico Madrid,0.853587,0.685355,0,0,h,2021-05-08 14:15:00
15133,Barcelona,Levante,3.0801,1.27727,3,3,a,2021-05-11 20:00:00
15141,Barcelona,Celta Vigo,2.10966,0.631271,1,2,h,2021-05-16 16:30:00
15149,Barcelona,Eibar,0.284589,1.44968,1,0,a,2021-05-22 16:00:00
