,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14138,Cadiz,Osasuna,0.600934,0.633286,0,2,h,2020-09-12 19:00:00
14148,Cadiz,SD Huesca,1.50522,0.223846,2,0,a,2020-09-20 14:00:00
14159,Cadiz,Sevilla,1.0983,2.2102,1,3,h,2020-09-27 19:00:00
14164,Cadiz,Athletic Club,0.263675,0.545027,1,0,a,2020-10-01 17:00:00
14818,Cadiz,Granada,1.09095,0.820558,1,1,h,2020-10-04 16:30:00
14833,Cadiz,Real Madrid,1.768,1.1359,1,0,a,2020-10-17 16:30:00
14838,Cadiz,Villarreal,0.20914,0.752296,0,0,h,2020-10-25 15:00:00
14849,Cadiz,Eibar,0.932416,0.466935,2,0,a,2020-10-30 20:00:00
14855,Cadiz,Atletico Madrid,0.395983,2.62556,0,4,a,2020-11-07 20:00:00
14869,Cadiz,Real Sociedad,0.0824748,1.90588,0,1,h,2020-11-22 15:15:00
14884,Cadiz,Elche,0.678171,0.0867292,1,1,a,2020-11-28 13:00:00
14885,Cadiz,Barcelona,2.61118,1.71026,2,1,h,2020-12-05 20:00:00
14900,Cadiz,Celta Vigo,0.906249,1.51712,0,4,a,2020-12-14 20:00:00
14912,Cadiz,Getafe,0.356498,1.10435,0,2,h,2020-12-20 17:30:00
14918,Cadiz,Real Betis,0.282205,0.342496,0,1,a,2020-12-23 21:00:00
14932,Cadiz,Real Valladolid,0.786846,0.299749,0,0,h,2020-12-29 20:30:00
14945,Cadiz,Valencia,0.522228,0.942061,1,1,a,2021-01-04 20:00:00
14950,Cadiz,Alaves,2.59473,0.829834,3,1,h,2021-01-10 15:15:00
14964,Cadiz,Levante,0.725743,2.00702,2,2,h,2021-01-19 18:00:00
14971,Cadiz,Sevilla,1.16695,2.51675,0,3,a,2021-01-23 15:15:00
14982,Cadiz,Atletico Madrid,0.861261,1.79542,2,4,h,2021-01-31 15:15:00
14995,Cadiz,Real Sociedad,0.354151,4.7946,1,4,a,2021-02-07 13:00:00
15002,Cadiz,Athletic Club,0.567254,2.36113,0,4,h,2021-02-15 20:00:00
15010,Cadiz,Barcelona,1.32905,2.39005,1,1,a,2021-02-21 13:00:00
15022,Cadiz,Real Betis,0.227972,0.596164,0,1,h,2021-02-28 15:15:00
15031,Cadiz,Eibar,1.6239,1.6003,1,0,h,2021-03-06 17:30:00
15038,Cadiz,Alaves,1.74684,1.48992,1,1,a,2021-03-13 13:00:00
15057,Cadiz,Villarreal,0.90665,2.50648,1,2,a,2021-03-21 15:15:00
15060,Cadiz,Valencia,1.02818,0.858442,2,1,h,2021-04-04 16:30:00
15072,Cadiz,Getafe,0.640397,2.78378,1,0,a,2021-04-10 12:00:00
15104,Cadiz,Celta Vigo,0.322965,0.436078,0,0,h,2021-04-18 16:30:00
15082,Cadiz,Real Madrid,1.31917,3.52537,0,3,h,2021-04-21 20:00:00
15095,Cadiz,Real Valladolid,1.55697,3.23903,1,1,a,2021-04-24 14:15:00
15115,Cadiz,Granada,1.60276,0.924434,1,0,a,2021-05-02 16:30:00
15123,Cadiz,SD Huesca,0.990604,0.43525,2,1,h,2021-05-08 16:30:00
15134,Cadiz,Osasuna,1.54692,2.14746,2,3,a,2021-05-11 17:00:00
15144,Cadiz,Elche,1.07259,2.83914,1,3,h,2021-05-16 16:30:00
15152,Cadiz,Levante,0.424135,1.51266,2,2,a,2021-05-21 15:00:00
