,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376684,RightFoot,DirectFreekick,SavedShot,0.05395635962486267,62,0,2,Isaac Carcelén,8731,h,Cadiz,Osasuna,,2020-09-12 19:00:00,14138,2020,"(0.7219999694824218, 0.4759999847412109)"
376675,RightFoot,OpenPlay,MissedShots,0.06682386249303818,13,0,2,Jorge Pombo,8736,h,Cadiz,Osasuna,Yann Bodiger,2020-09-12 19:00:00,14138,2020,"(0.879000015258789, 0.6320000076293946)"
376677,RightFoot,OpenPlay,MissedShots,0.04191064089536667,16,0,2,Jorge Pombo,8736,h,Cadiz,Osasuna,Salvi Sánchez,2020-09-12 19:00:00,14138,2020,"(0.9440000152587891, 0.659000015258789)"
376685,LeftFoot,OpenPlay,SavedShot,0.041235633194446564,71,0,2,Salvi Sánchez,8735,h,Cadiz,Osasuna,,2020-09-12 19:00:00,14138,2020,"(0.8009999847412109, 0.4490000152587891)"
376676,RightFoot,OpenPlay,MissedShots,0.11573882400989532,13,0,2,Salvi Sánchez,8735,h,Cadiz,Osasuna,Jorge Pombo,2020-09-12 19:00:00,14138,2020,"(0.9269999694824219, 0.43599998474121093)"
376689,Head,SetPiece,MissedShots,0.11797415465116501,83,0,2,Jens Jonsson,8737,h,Cadiz,Osasuna,Álex Fernández,2020-09-12 19:00:00,14138,2020,"(0.9119999694824219, 0.45799999237060546)"
376681,Head,FromCorner,MissedShots,0.030730513855814934,45,0,2,Sergio González,8734,h,Cadiz,Osasuna,Salvi Sánchez,2020-09-12 19:00:00,14138,2020,"(0.9590000152587891, 0.40900001525878904)"
376679,RightFoot,OpenPlay,BlockedShot,0.015054230578243732,24,0,2,Jorge Pombo,8736,h,Cadiz,Osasuna,Alfonso Espino,2020-09-12 19:00:00,14138,2020,"(0.7419999694824219, 0.7819999694824219)"
376686,RightFoot,OpenPlay,SavedShot,0.02897172048687935,72,0,2,Jorge Pombo,8736,h,Cadiz,Osasuna,Alfonso Espino,2020-09-12 19:00:00,14138,2020,"(0.8109999847412109, 0.659000015258789)"
376690,RightFoot,OpenPlay,MissedShots,0.044214025139808655,94,0,2,Cala,2193,h,Cadiz,Osasuna,Isaac Carcelén,2020-09-12 19:00:00,14138,2020,"(0.8640000152587891, 0.5370000076293945)"
376673,RightFoot,OpenPlay,MissedShots,0.028928108513355255,0,0,2,José Mari,2391,h,Cadiz,Osasuna,Jorge Pombo,2020-09-12 19:00:00,14138,2020,"(0.7869999694824219, 0.6270000076293946)"
376687,RightFoot,FromCorner,BlockedShot,0.023130174726247787,72,0,2,Álex Fernández,4177,h,Cadiz,Osasuna,Jorge Pombo,2020-09-12 19:00:00,14138,2020,"(0.8009999847412109, 0.715999984741211)"
378141,RightFoot,SetPiece,MissedShots,0.008379771374166012,76,2,0,Jorge Pombo,8736,a,Cadiz,SD Huesca,,2020-09-20 14:00:00,14148,2020,"(0.6980000305175781, 0.4329999923706055)"
378143,Head,OpenPlay,Goal,0.907102108001709,82,2,0,Jorge Pombo,8736,a,Cadiz,SD Huesca,Filip Malbasic,2020-09-20 14:00:00,14148,2020,"(0.9869999694824219, 0.455)"
