,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376532,LeftFoot,OpenPlay,SavedShot,0.059944260865449905,9,0,0,Nolito,1732,a,Celta Vigo,Eibar,Lucas Olaza,2020-09-12 14:00:00,14136,2020,"(0.8519999694824218, 0.6480000305175782)"
376533,LeftFoot,FromCorner,MissedShots,0.03732733801007271,10,0,0,Néstor Araújo,6930,a,Celta Vigo,Eibar,,2020-09-12 14:00:00,14136,2020,"(0.8380000305175781, 0.639000015258789)"
376543,LeftFoot,OpenPlay,SavedShot,0.04099275544285774,69,0,0,Emre Mor,5272,a,Celta Vigo,Eibar,Hugo Mallo,2020-09-12 14:00:00,14136,2020,"(0.9490000152587891, 0.2560000038146973)"
376544,RightFoot,OpenPlay,SavedShot,0.02290642447769642,69,0,0,Hugo Mallo,2281,a,Celta Vigo,Eibar,,2020-09-12 14:00:00,14136,2020,"(0.865999984741211, 0.2560000038146973)"
376538,LeftFoot,FromCorner,MissedShots,0.34572553634643555,49,0,0,Joseph Aidoo,7826,a,Celta Vigo,Eibar,Brais Méndez,2020-09-12 14:00:00,14136,2020,"(0.925, 0.5370000076293945)"
376537,LeftFoot,OpenPlay,MissedShots,0.2776956856250763,32,0,0,Brais Méndez,6227,a,Celta Vigo,Eibar,Joseph Aidoo,2020-09-12 14:00:00,14136,2020,"(0.895, 0.3240000152587891)"
377788,LeftFoot,OpenPlay,ShotOnPost,0.08616287261247635,82,2,1,Brais Méndez,6227,h,Celta Vigo,Valencia,,2020-09-19 19:00:00,14147,2020,"(0.875, 0.3920000076293945)"
377777,RightFoot,OpenPlay,BlockedShot,0.060089416801929474,54,2,1,Nolito,1732,h,Celta Vigo,Valencia,Iago Aspas,2020-09-19 19:00:00,14147,2020,"(0.8130000305175781, 0.49599998474121093)"
377791,RightFoot,OpenPlay,MissedShots,0.007324961479753256,90,2,1,Nolito,1732,h,Celta Vigo,Valencia,,2020-09-19 19:00:00,14147,2020,"(0.519000015258789, 0.6990000152587891)"
377773,LeftFoot,OpenPlay,SavedShot,0.01633613556623459,40,2,1,Lucas Olaza,7514,h,Celta Vigo,Valencia,Fran Beltrán,2020-09-19 19:00:00,14147,2020,"(0.71, 0.7380000305175781)"
377778,LeftFoot,DirectFreekick,Goal,0.15896271169185638,56,2,1,Iago Aspas,2290,h,Celta Vigo,Valencia,,2020-09-19 19:00:00,14147,2020,"(0.8130000305175781, 0.49599998474121093)"
377765,RightFoot,OpenPlay,BlockedShot,0.02647131308913231,5,2,1,Nolito,1732,h,Celta Vigo,Valencia,Renato Tapia,2020-09-19 19:00:00,14147,2020,"(0.875, 0.745999984741211)"
377767,RightFoot,OpenPlay,Goal,0.8462721705436707,12,2,1,Iago Aspas,2290,h,Celta Vigo,Valencia,Nolito,2020-09-19 19:00:00,14147,2020,"(0.925, 0.435)"
377784,RightFoot,FromCorner,BlockedShot,0.046643249690532684,76,2,1,Miguel Baeza,8711,h,Celta Vigo,Valencia,,2020-09-19 19:00:00,14147,2020,"(0.8690000152587891, 0.35)"
377769,RightFoot,DirectFreekick,SavedShot,0.06984003633260727,22,2,1,Nolito,1732,h,Celta Vigo,Valencia,,2020-09-19 19:00:00,14147,2020,"(0.9369999694824219, 0.8280000305175781)"
377785,LeftFoot,OpenPlay,BlockedShot,0.09632109850645065,76,2,1,Hugo Mallo,2281,h,Celta Vigo,Valencia,Okay Yokuslu,2020-09-19 19:00:00,14147,2020,"(0.840999984741211, 0.47299999237060547)"
377779,RightFoot,OpenPlay,SavedShot,0.29210159182548523,58,2,1,Nolito,1732,h,Celta Vigo,Valencia,Lucas Olaza,2020-09-19 19:00:00,14147,2020,"(0.8530000305175781, 0.6890000152587891)"
377789,LeftFoot,OpenPlay,ShotOnPost,0.07371771335601807,83,2,1,Miguel Baeza,8711,h,Celta Vigo,Valencia,Okay Yokuslu,2020-09-19 19:00:00,14147,2020,"(0.850999984741211, 0.3320000076293945)"
377776,LeftFoot,OpenPlay,MissedShots,0.016001958400011063,51,2,1,Emre Mor,5272,h,Celta Vigo,Valencia,Denis Suárez,2020-09-19 19:00:00,14147,2020,"(0.710999984741211, 0.37)"
377794,LeftFoot,OpenPlay,MissedShots,0.09371107071638107,94,2,1,Brais Méndez,6227,h,Celta Vigo,Valencia,Hugo Mallo,2020-09-19 19:00:00,14147,2020,"(0.879000015258789, 0.34900001525878904)"
