,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376531,RightFoot,OpenPlay,MissedShots,0.09412150084972382,2,0,0,Pedro León,2197,h,Eibar,Celta Vigo,Sergi Enrich,2020-09-12 14:00:00,14136,2020,"(0.885, 0.375)"
376542,LeftFoot,FromCorner,MissedShots,0.04948064312338829,66,0,0,Damian Kadzior,8707,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.88, 0.6530000305175782)"
376534,RightFoot,DirectFreekick,SavedShot,0.020220423117280006,13,0,0,Pedro León,2197,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.645, 0.8780000305175781)"
376541,RightFoot,OpenPlay,MissedShots,0.011213420890271664,64,0,0,Edu Expósito,5081,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.74, 0.44)"
376535,RightFoot,OpenPlay,MissedShots,0.06249202415347099,25,0,0,Edu Expósito,5081,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.8719999694824219, 0.6370000076293946)"
376540,LeftFoot,OpenPlay,MissedShots,0.009242969565093517,55,0,0,Pedro Bigas,2353,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.715999984741211, 0.6320000076293946)"
376536,Head,OpenPlay,MissedShots,0.08488030731678009,27,0,0,Kike García,5074,h,Eibar,Celta Vigo,Pedro León,2020-09-12 14:00:00,14136,2020,"(0.94, 0.544000015258789)"
376539,RightFoot,SetPiece,BlockedShot,0.012356729246675968,54,0,0,Takashi Inui,452,h,Eibar,Celta Vigo,,2020-09-12 14:00:00,14136,2020,"(0.784000015258789, 0.7230000305175781)"
377555,RightFoot,OpenPlay,MissedShots,0.025514204055070877,51,1,2,Takashi Inui,452,a,Eibar,Villarreal,Edu Expósito,2020-09-19 14:00:00,14146,2020,"(0.7340000152587891, 0.43900001525878907)"
377567,Head,OpenPlay,MissedShots,0.03252599015831947,89,1,2,Sergi Enrich,2135,a,Eibar,Villarreal,,2020-09-19 14:00:00,14146,2020,"(0.889000015258789, 0.5279999923706055)"
377566,RightFoot,OpenPlay,BlockedShot,0.022267775610089302,89,1,2,Takashi Inui,452,a,Eibar,Villarreal,Edu Expósito,2020-09-19 14:00:00,14146,2020,"(0.8040000152587891, 0.7119999694824218)"
377551,LeftFoot,OpenPlay,SavedShot,0.057479117065668106,35,1,2,Edu Expósito,5081,a,Eibar,Villarreal,Recio,2020-09-19 14:00:00,14146,2020,"(0.81, 0.5059999847412109)"
377548,RightFoot,OpenPlay,SavedShot,0.21466419100761414,20,1,2,Takashi Inui,452,a,Eibar,Villarreal,Marko Dmitrovic,2020-09-19 14:00:00,14146,2020,"(0.885, 0.625999984741211)"
377559,LeftFoot,OpenPlay,MissedShots,0.09116267412900925,63,1,2,Kike García,5074,a,Eibar,Villarreal,,2020-09-19 14:00:00,14146,2020,"(0.9009999847412109, 0.40299999237060546)"
377565,RightFoot,OpenPlay,MissedShots,0.028713908046483994,82,1,2,Recio,2337,a,Eibar,Villarreal,,2020-09-19 14:00:00,14146,2020,"(0.8690000152587891, 0.255)"
377547,Head,OpenPlay,SavedShot,0.051030077040195465,13,1,2,Kike García,5074,a,Eibar,Villarreal,Rafa Soares,2020-09-19 14:00:00,14146,2020,"(0.899000015258789, 0.5129999923706055)"
377569,Head,OpenPlay,MissedShots,0.027507305145263672,92,1,2,Damian Kadzior,8707,a,Eibar,Villarreal,Edu Expósito,2020-09-19 14:00:00,14146,2020,"(0.8719999694824219, 0.580999984741211)"
377570,RightFoot,OpenPlay,BlockedShot,0.0434049591422081,92,1,2,Miguel Ángel Atienza,8209,a,Eibar,Villarreal,,2020-09-19 14:00:00,14146,2020,"(0.805, 0.4909999847412109)"
377561,RightFoot,OpenPlay,MissedShots,0.020234698429703712,67,1,2,Takashi Inui,452,a,Eibar,Villarreal,Rafa Soares,2020-09-19 14:00:00,14146,2020,"(0.789000015258789, 0.7869999694824219)"
377554,LeftFoot,OpenPlay,Goal,0.498686820268631,49,1,2,Kike García,5074,a,Eibar,Villarreal,Edu Expósito,2020-09-19 14:00:00,14146,2020,"(0.9180000305175782, 0.6880000305175781)"
379323,RightFoot,FromCorner,MissedShots,0.018667930737137794,83,1,2,Tejero,2519,h,Eibar,Athletic Club,,2020-09-27 12:00:00,14158,2020,"(0.795, 0.305)"
379314,Head,OpenPlay,MissedShots,0.010828429833054543,17,1,2,Takashi Inui,452,h,Eibar,Athletic Club,Damian Kadzior,2020-09-27 12:00:00,14158,2020,"(0.9819999694824219, 0.675)"
379319,Head,FromCorner,Goal,0.11248023062944412,47,1,2,Kike García,5074,h,Eibar,Athletic Club,Pedro León,2020-09-27 12:00:00,14158,2020,"(0.9290000152587891, 0.4540000152587891)"
379312,RightFoot,OpenPlay,MissedShots,0.10173791646957397,15,1,2,Kike García,5074,h,Eibar,Athletic Club,Takashi Inui,2020-09-27 12:00:00,14158,2020,"(0.91, 0.47299999237060547)"
379325,LeftFoot,OpenPlay,MissedShots,0.02068454958498478,93,1,2,Kévin Rodrigues,5153,h,Eibar,Athletic Club,Papakouly Diop,2020-09-27 12:00:00,14158,2020,"(0.745, 0.6020000076293945)"
379322,RightFoot,OpenPlay,MissedShots,0.015036018565297127,77,1,2,Papakouly Diop,2112,h,Eibar,Athletic Club,,2020-09-27 12:00:00,14158,2020,"(0.7730000305175782, 0.31)"
379320,LeftFoot,OpenPlay,MissedShots,0.04588093236088753,54,1,2,Edu Expósito,5081,h,Eibar,Athletic Club,Kike García,2020-09-27 12:00:00,14158,2020,"(0.8040000152587891, 0.4809999847412109)"
380210,Head,OpenPlay,MissedShots,0.03546220064163208,74,0,1,Quique González,4188,h,Eibar,Elche,Tejero,2020-09-30 19:30:00,14166,2020,"(0.9259999847412109, 0.4159999847412109)"
380208,RightFoot,OpenPlay,MissedShots,0.047881755977869034,56,0,1,Kike García,5074,h,Eibar,Elche,Tejero,2020-09-30 19:30:00,14166,2020,"(0.8369999694824218, 0.3579999923706055)"
380199,Head,OpenPlay,SavedShot,0.03191918134689331,25,0,1,Yoshinori Muto,47,h,Eibar,Elche,Tejero,2020-09-30 19:30:00,14166,2020,"(0.8880000305175781, 0.5120000076293946)"
380200,RightFoot,OpenPlay,MissedShots,0.01956246979534626,26,0,1,Takashi Inui,452,h,Eibar,Elche,Kévin Rodrigues,2020-09-30 19:30:00,14166,2020,"(0.7430000305175781, 0.7030000305175781)"
380207,RightFoot,Penalty,MissedShots,0.7432776093482971,51,0,1,Edu Expósito,5081,h,Eibar,Elche,,2020-09-30 19:30:00,14166,2020,"(0.885, 0.5)"
380203,LeftFoot,OpenPlay,MissedShots,0.021257003769278526,39,0,1,Kévin Rodrigues,5153,h,Eibar,Elche,Edu Expósito,2020-09-30 19:30:00,14166,2020,"(0.785, 0.705)"
380197,RightFoot,OpenPlay,SavedShot,0.012723172083497047,2,0,1,Tejero,2519,h,Eibar,Elche,Anaitz Arbilla,2020-09-30 19:30:00,14166,2020,"(0.6959999847412109, 0.17399999618530274)"
380206,Head,FromCorner,MissedShots,0.062228959053754807,48,0,1,Kike García,5074,h,Eibar,Elche,Pedro León,2020-09-30 19:30:00,14166,2020,"(0.924000015258789, 0.41200000762939454)"
380204,Head,OpenPlay,MissedShots,0.012641211040318012,43,0,1,Pedro León,2197,h,Eibar,Elche,Kévin Rodrigues,2020-09-30 19:30:00,14166,2020,"(0.93, 0.3609999847412109)"
380212,LeftFoot,OpenPlay,SavedShot,0.01142033003270626,90,0,1,Quique González,4188,h,Eibar,Elche,,2020-09-30 19:30:00,14166,2020,"(0.75, 0.49599998474121093)"
380211,LeftFoot,OpenPlay,BlockedShot,0.024305328726768494,78,0,1,Pedro León,2197,h,Eibar,Elche,Edu Expósito,2020-09-30 19:30:00,14166,2020,"(0.7819999694824219, 0.37900001525878907)"
380198,RightFoot,DirectFreekick,SavedShot,0.03784259781241417,12,0,1,Pedro León,2197,h,Eibar,Elche,,2020-09-30 19:30:00,14166,2020,"(0.7080000305175781, 0.669000015258789)"
380373,RightFoot,SetPiece,MissedShots,0.011050530709326267,30,2,1,Eñaut Mendía,8709,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.7269999694824218, 0.41)"
380370,RightFoot,OpenPlay,SavedShot,0.0150453494861722,16,2,1,Sergio Álvarez,2212,a,Eibar,Real Valladolid,Rafa Soares,2020-10-03 11:00:00,14823,2020,"(0.7069999694824218, 0.46599998474121096)"
380380,RightFoot,OpenPlay,MissedShots,0.08051705360412598,50,2,1,Yoshinori Muto,47,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.9130000305175782, 0.605999984741211)"
380386,Head,OpenPlay,Goal,0.4742932915687561,89,2,1,Kévin Rodrigues,5153,a,Eibar,Real Valladolid,Anaitz Arbilla,2020-10-03 11:00:00,14823,2020,"(0.9459999847412109, 0.46799999237060547)"
380382,LeftFoot,OpenPlay,MissedShots,0.027131903916597366,67,2,1,Rober Correa,2119,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.8080000305175781, 0.3220000076293945)"
380383,RightFoot,OpenPlay,MissedShots,0.01815774291753769,69,2,1,Papakouly Diop,2112,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.759000015258789, 0.605999984741211)"
380384,RightFoot,DirectFreekick,SavedShot,0.10096319764852524,80,2,1,Kike García,5074,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.805, 0.6459999847412109)"
380377,RightFoot,OpenPlay,SavedShot,0.08729379624128342,47,2,1,Yoshinori Muto,47,a,Eibar,Real Valladolid,Takashi Inui,2020-10-03 11:00:00,14823,2020,"(0.9640000152587891, 0.6020000076293945)"
380372,RightFoot,Penalty,Goal,0.7432776093482971,28,2,1,Esteban Burgos,8135,a,Eibar,Real Valladolid,,2020-10-03 11:00:00,14823,2020,"(0.885, 0.5)"
380379,RightFoot,OpenPlay,BlockedShot,0.010026725940406322,50,2,1,Takashi Inui,452,a,Eibar,Real Valladolid,Yoshinori Muto,2020-10-03 11:00:00,14823,2020,"(0.6890000152587891, 0.7559999847412109)"
380385,Head,FromCorner,MissedShots,0.12353982031345367,81,2,1,Sergio Álvarez,2212,a,Eibar,Real Valladolid,Kévin Rodrigues,2020-10-03 11:00:00,14823,2020,"(0.9430000305175781, 0.549000015258789)"
382251,LeftFoot,SetPiece,SavedShot,0.036787908524274826,92,0,0,Bryan Gil Salvatierra,7338,h,Eibar,Osasuna,,2020-10-18 10:00:00,14829,2020,"(0.8180000305175781, 0.3940000152587891)"
382245,RightFoot,OpenPlay,SavedShot,0.050673700869083405,53,0,0,Sergio Álvarez,2212,h,Eibar,Osasuna,Takashi Inui,2020-10-18 10:00:00,14829,2020,"(0.8480000305175781, 0.6569999694824219)"
382249,LeftFoot,OpenPlay,SavedShot,0.049239762127399445,74,0,0,Bryan Gil Salvatierra,7338,h,Eibar,Osasuna,Kike García,2020-10-18 10:00:00,14829,2020,"(0.88, 0.68)"
382246,LeftFoot,OpenPlay,BlockedShot,0.01593031920492649,54,0,0,Kévin Rodrigues,5153,h,Eibar,Osasuna,,2020-10-18 10:00:00,14829,2020,"(0.8090000152587891, 0.215)"
382238,RightFoot,DirectFreekick,BlockedShot,0.03684170916676521,18,0,0,Anaitz Arbilla,2586,h,Eibar,Osasuna,,2020-10-18 10:00:00,14829,2020,"(0.7090000152587891, 0.6840000152587891)"
382239,LeftFoot,OpenPlay,SavedShot,0.03467874228954315,20,0,0,Takashi Inui,452,h,Eibar,Osasuna,Yoshinori Muto,2020-10-18 10:00:00,14829,2020,"(0.8880000305175781, 0.7519999694824219)"
382244,LeftFoot,OpenPlay,MissedShots,0.03425402194261551,52,0,0,Kévin Rodrigues,5153,h,Eibar,Osasuna,,2020-10-18 10:00:00,14829,2020,"(0.865999984741211, 0.7280000305175781)"
382243,RightFoot,FromCorner,SavedShot,0.024340376257896423,52,0,0,Takashi Inui,452,h,Eibar,Osasuna,Kévin Rodrigues,2020-10-18 10:00:00,14829,2020,"(0.7969999694824219, 0.7180000305175781)"
382240,RightFoot,OpenPlay,SavedShot,0.07243076711893082,23,0,0,Takashi Inui,452,h,Eibar,Osasuna,Sergio Álvarez,2020-10-18 10:00:00,14829,2020,"(0.894000015258789, 0.6959999847412109)"
382250,RightFoot,OpenPlay,BlockedShot,0.016183272004127502,76,0,0,Anaitz Arbilla,2586,h,Eibar,Osasuna,Bryan Gil Salvatierra,2020-10-18 10:00:00,14829,2020,"(0.7809999847412109, 0.7440000152587891)"
383475,RightFoot,OpenPlay,MissedShots,0.0170290507376194,20,1,0,Anaitz Arbilla,2586,a,Eibar,Sevilla,Kike García,2020-10-24 16:30:00,14842,2020,"(0.730999984741211, 0.5329999923706055)"
383489,LeftFoot,OpenPlay,BlockedShot,0.07166407257318497,70,1,0,Kike García,5074,a,Eibar,Sevilla,Bryan Gil Salvatierra,2020-10-24 16:30:00,14842,2020,"(0.88, 0.6730000305175782)"
383479,RightFoot,OpenPlay,Goal,0.109674833714962,40,1,0,Kike García,5074,a,Eibar,Sevilla,Papakouly Diop,2020-10-24 16:30:00,14842,2020,"(0.8880000305175781, 0.36400001525878906)"
384340,RightFoot,OpenPlay,SavedShot,0.013453706167638302,32,0,2,Anaitz Arbilla,2586,h,Eibar,Cadiz,Bryan Gil Salvatierra,2020-10-30 20:00:00,14849,2020,"(0.7559999847412109, 0.7530000305175781)"
384344,RightFoot,OpenPlay,SavedShot,0.027645153924822807,48,0,2,Edu Expósito,5081,h,Eibar,Cadiz,Kévin Rodrigues,2020-10-30 20:00:00,14849,2020,"(0.7869999694824219, 0.37)"
384336,RightFoot,OpenPlay,MissedShots,0.05314439907670021,8,0,2,Kike García,5074,h,Eibar,Cadiz,Alejandro Pozo,2020-10-30 20:00:00,14849,2020,"(0.865, 0.5529999923706055)"
384347,Head,FromCorner,MissedShots,0.022720105946063995,78,0,2,Kike García,5074,h,Eibar,Cadiz,Bryan Gil Salvatierra,2020-10-30 20:00:00,14849,2020,"(0.89, 0.53)"
384349,RightFoot,FromCorner,BlockedShot,0.019267946481704712,92,0,2,Edu Expósito,5081,h,Eibar,Cadiz,,2020-10-30 20:00:00,14849,2020,"(0.7780000305175782, 0.35400001525878905)"
