,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14163,Elche,Real Sociedad,1.23661,3.3738,0,3,h,2020-09-26 16:30:00
14166,Elche,Eibar,0.378171,1.06052,1,0,a,2020-09-30 19:30:00
14824,Elche,SD Huesca,0.188885,1.70374,0,0,h,2020-10-03 16:30:00
14825,Elche,Alaves,0.902261,0.90822,2,0,a,2020-10-18 16:30:00
14844,Elche,Valencia,0.165573,1.23519,2,1,h,2020-10-23 19:00:00
14847,Elche,Real Betis,0.478252,3.06462,1,3,a,2020-11-01 13:00:00
14864,Elche,Celta Vigo,1.6055,2.15551,1,1,h,2020-11-06 20:00:00
14871,Elche,Levante,0.832435,0.902091,1,1,a,2020-11-21 13:00:00
14884,Elche,Cadiz,0.0867292,0.678171,1,1,h,2020-11-28 13:00:00
14890,Elche,Villarreal,0.0544723,0.520422,0,0,a,2020-12-06 17:30:00
14897,Elche,Granada,0.534289,1.40539,0,1,h,2020-12-13 17:30:00
14908,Elche,Atletico Madrid,0.522281,2.10005,1,3,a,2020-12-19 13:00:00
14922,Elche,Osasuna,1.25398,1.69506,2,2,h,2020-12-22 16:30:00
14934,Elche,Real Madrid,1.02416,1.55495,1,1,h,2020-12-30 20:30:00
14938,Elche,Athletic Club,0.137448,1.38777,0,1,a,2021-01-03 13:00:00
14957,Elche,Getafe,1.21278,3.17089,1,3,h,2021-01-11 18:00:00
14966,Elche,Real Valladolid,0.575886,1.02082,2,2,a,2021-01-19 18:00:00
14972,Elche,Barcelona,0.477298,3.12144,0,2,h,2021-01-24 15:15:00
14985,Elche,Valencia,0.328905,3.00838,0,1,a,2021-01-30 17:30:00
14997,Elche,Villarreal,1.13518,1.51126,2,2,h,2021-02-06 17:30:00
14999,Elche,Celta Vigo,0.836576,2.31967,1,3,a,2021-02-12 17:30:00
15017,Elche,Eibar,0.397175,1.66898,1,0,h,2021-02-20 13:00:00
14141,Elche,Barcelona,0.351113,2.66084,0,3,a,2021-02-24 20:00:00
15023,Elche,Granada,1.28521,1.45197,1,2,a,2021-02-28 17:30:00
15037,Elche,Sevilla,1.0131,0.964034,2,1,h,2021-03-06 15:15:00
15046,Elche,Real Madrid,0.726991,1.72628,1,2,a,2021-03-13 15:15:00
14150,Elche,Sevilla,0.612799,1.95263,0,2,a,2021-03-17 20:00:00
15052,Elche,Getafe,1.38712,1.79357,1,1,a,2021-03-21 13:00:00
15067,Elche,Real Betis,0.797759,1.90364,1,1,h,2021-04-04 14:15:00
15073,Elche,SD Huesca,0.880685,1.09388,1,3,a,2021-04-09 19:00:00
15106,Elche,Osasuna,0.699627,0.531975,0,2,a,2021-04-18 12:00:00
15087,Elche,Real Valladolid,1.33615,1.30359,1,1,h,2021-04-21 19:00:00
15097,Elche,Levante,0.43368,0.236951,1,0,h,2021-04-24 14:00:00
15112,Elche,Atletico Madrid,1.38118,1.01516,0,1,h,2021-05-01 14:15:00
15125,Elche,Real Sociedad,0.0778732,2.39443,0,2,a,2021-05-07 19:00:00
15137,Elche,Alaves,0.886211,1.66141,0,2,h,2021-05-11 18:00:00
15144,Elche,Cadiz,2.83914,1.07259,3,1,a,2021-05-16 16:30:00
15157,Elche,Athletic Club,1.33082,0.303264,2,0,h,2021-05-22 16:00:00
