,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
378966,RightFoot,OpenPlay,SavedShot,0.870376706123352,61,0,3,Pere Milla,4175,h,Elche,Real Sociedad,Nino,2020-09-26 16:30:00,14163,2020,"(0.9780000305175781, 0.4759999847412109)"
378950,RightFoot,OpenPlay,SavedShot,0.327462762594223,18,0,3,Josan,8893,h,Elche,Real Sociedad,Fidel,2020-09-26 16:30:00,14163,2020,"(0.919000015258789, 0.43099998474121093)"
378971,LeftFoot,SetPiece,BlockedShot,0.013397280126810074,83,0,3,Raúl Guti,8894,h,Elche,Real Sociedad,,2020-09-26 16:30:00,14163,2020,"(0.740999984741211, 0.539000015258789)"
378955,RightFoot,OpenPlay,MissedShots,0.01128403376787901,31,0,3,Raúl Guti,8894,h,Elche,Real Sociedad,,2020-09-26 16:30:00,14163,2020,"(0.7390000152587891, 0.4909999847412109)"
378946,RightFoot,OpenPlay,MissedShots,0.014085867442190647,11,0,3,Tete Morente,8895,h,Elche,Real Sociedad,Pere Milla,2020-09-26 16:30:00,14163,2020,"(0.750999984741211, 0.754000015258789)"
380196,RightFoot,OpenPlay,SavedShot,0.05681347846984863,1,1,0,Lucas Boyé,1189,a,Elche,Eibar,,2020-09-30 19:30:00,14166,2020,"(0.924000015258789, 0.3160000038146973)"
380201,RightFoot,OpenPlay,BlockedShot,0.06502348929643631,36,1,0,Tete Morente,8895,a,Elche,Eibar,Fidel,2020-09-30 19:30:00,14166,2020,"(0.885, 0.65)"
380205,Head,SetPiece,MissedShots,0.1307784765958786,47,1,0,Pere Milla,4175,a,Elche,Eibar,Fidel,2020-09-30 19:30:00,14166,2020,"(0.9280000305175782, 0.5540000152587891)"
380202,RightFoot,OpenPlay,Goal,0.056515470147132874,36,1,0,Lucas Boyé,1189,a,Elche,Eibar,,2020-09-30 19:30:00,14166,2020,"(0.8830000305175781, 0.34)"
380209,RightFoot,OpenPlay,BlockedShot,0.07271475344896317,59,1,0,Lucas Boyé,1189,a,Elche,Eibar,Pere Milla,2020-09-30 19:30:00,14166,2020,"(0.9, 0.3290000152587891)"
