,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376637,RightFoot,OpenPlay,Goal,0.07145867496728897,52,2,0,Luis Milla,8725,h,Granada,Athletic Club,,2020-09-12 16:30:00,14137,2020,"(0.8109999847412109, 0.5429999923706055)"
376632,RightFoot,SetPiece,MissedShots,0.03239819034934044,15,2,0,Darwin Machís,4226,h,Granada,Athletic Club,,2020-09-12 16:30:00,14137,2020,"(0.8640000152587891, 0.7)"
376636,RightFoot,OpenPlay,MissedShots,0.0367487370967865,52,2,0,Yangel Herrera,7350,h,Granada,Athletic Club,Darwin Machís,2020-09-12 16:30:00,14137,2020,"(0.784000015258789, 0.37099998474121093)"
376635,Head,OpenPlay,Goal,0.40453818440437317,48,2,0,Yangel Herrera,7350,h,Granada,Athletic Club,Montoro,2020-09-12 16:30:00,14137,2020,"(0.9269999694824219, 0.534000015258789)"
378273,LeftFoot,OpenPlay,Goal,0.7807092666625977,78,2,1,Darwin Machís,4226,h,Granada,Alaves,,2020-09-20 16:30:00,14151,2020,"(0.98, 0.46599998474121096)"
378272,Head,OpenPlay,SavedShot,0.47087568044662476,78,2,1,Darwin Machís,4226,h,Granada,Alaves,Montoro,2020-09-20 16:30:00,14151,2020,"(0.9469999694824218, 0.4540000152587891)"
378263,RightFoot,OpenPlay,Goal,0.32677051424980164,6,2,1,Roberto Soldado,2311,h,Granada,Alaves,Darwin Machís,2020-09-20 16:30:00,14151,2020,"(0.905, 0.6580000305175782)"
378269,RightFoot,SetPiece,BlockedShot,0.053821660578250885,70,2,1,Roberto Soldado,2311,h,Granada,Alaves,,2020-09-20 16:30:00,14151,2020,"(0.88, 0.6509999847412109)"
378270,Head,FromCorner,MissedShots,0.07226002961397171,70,2,1,Montoro,2368,h,Granada,Alaves,Darwin Machís,2020-09-20 16:30:00,14151,2020,"(0.9359999847412109, 0.48700000762939455)"
378267,RightFoot,OpenPlay,MissedShots,0.5760205388069153,35,2,1,Antonio Puertas,7863,h,Granada,Alaves,Darwin Machís,2020-09-20 16:30:00,14151,2020,"(0.9290000152587891, 0.509000015258789)"
378266,RightFoot,DirectFreekick,MissedShots,0.06741566210985184,33,2,1,Luis Milla,8725,h,Granada,Alaves,,2020-09-20 16:30:00,14151,2020,"(0.77, 0.6630000305175782)"
378274,LeftFoot,OpenPlay,MissedShots,0.045227013528347015,82,2,1,Kenedy,689,h,Granada,Alaves,,2020-09-20 16:30:00,14151,2020,"(0.8019999694824219, 0.654000015258789)"
378276,LeftFoot,SetPiece,BlockedShot,0.05576459690928459,89,2,1,Kenedy,689,h,Granada,Alaves,,2020-09-20 16:30:00,14151,2020,"(0.8490000152587891, 0.5940000152587891)"
378265,Head,FromCorner,MissedShots,0.37328392267227173,30,2,1,Yangel Herrera,7350,h,Granada,Alaves,Luis Milla,2020-09-20 16:30:00,14151,2020,"(0.9280000305175782, 0.515)"
379557,Head,OpenPlay,MissedShots,0.025550048798322678,21,1,6,Ramón Azeez,4051,a,Granada,Atletico Madrid,Víctor Díaz,2020-09-27 14:00:00,14155,2020,"(0.8340000152587891, 0.580999984741211)"
379559,LeftFoot,DirectFreekick,MissedShots,0.042735327035188675,28,1,6,Kenedy,689,a,Granada,Atletico Madrid,,2020-09-27 14:00:00,14155,2020,"(0.7369999694824219, 0.2879999923706055)"
379556,LeftFoot,SetPiece,BlockedShot,0.016995124518871307,19,1,6,Kenedy,689,a,Granada,Atletico Madrid,,2020-09-27 14:00:00,14155,2020,"(0.8830000305175781, 0.705)"
379569,RightFoot,OpenPlay,SavedShot,0.015690429136157036,52,1,6,Luis Milla,8725,a,Granada,Atletico Madrid,Dimitri Foulquier,2020-09-27 14:00:00,14155,2020,"(0.764000015258789, 0.6819999694824219)"
379560,Head,OpenPlay,MissedShots,0.05125490203499794,33,1,6,Jorge Molina,2155,a,Granada,Atletico Madrid,Víctor Díaz,2020-09-27 14:00:00,14155,2020,"(0.875999984741211, 0.525)"
379573,RightFoot,DirectFreekick,SavedShot,0.03785320743918419,74,1,6,Darwin Machís,4226,a,Granada,Atletico Madrid,,2020-09-27 14:00:00,14155,2020,"(0.7580000305175781, 0.79)"
379570,Head,OpenPlay,BlockedShot,0.055342428386211395,56,1,6,Ramón Azeez,4051,a,Granada,Atletico Madrid,,2020-09-27 14:00:00,14155,2020,"(0.9269999694824219, 0.43)"
379561,LeftFoot,SetPiece,SavedShot,0.4090682566165924,37,1,6,Víctor Díaz,5117,a,Granada,Atletico Madrid,Luis Milla,2020-09-27 14:00:00,14155,2020,"(0.955, 0.5740000152587891)"
379577,RightFoot,OpenPlay,SavedShot,0.020262714475393295,92,1,6,Darwin Machís,4226,a,Granada,Atletico Madrid,Jorge Molina,2020-09-27 14:00:00,14155,2020,"(0.835999984741211, 0.7569999694824219)"
379576,RightFoot,OpenPlay,Goal,0.5991015434265137,86,1,6,Jorge Molina,2155,a,Granada,Atletico Madrid,,2020-09-27 14:00:00,14155,2020,"(0.9640000152587891, 0.5059999847412109)"
379563,LeftFoot,OpenPlay,SavedShot,0.03129357099533081,44,1,6,Yangel Herrera,7350,a,Granada,Atletico Madrid,Víctor Díaz,2020-09-27 14:00:00,14155,2020,"(0.795, 0.39099998474121095)"
381438,Head,FromCorner,Goal,0.3302200138568878,26,1,1,Germán Sánchez,7861,a,Granada,Cadiz,Kenedy,2020-10-04 16:30:00,14818,2020,"(0.9209999847412109, 0.524000015258789)"
381435,RightFoot,OpenPlay,SavedShot,0.02315595932304859,14,1,1,Luis Milla,8725,a,Granada,Cadiz,Carlos Neva,2020-10-04 16:30:00,14818,2020,"(0.785, 0.6959999847412109)"
381439,LeftFoot,OpenPlay,ShotOnPost,0.03790140897035599,38,1,1,Antonio Puertas,7863,a,Granada,Cadiz,Luis Milla,2020-10-04 16:30:00,14818,2020,"(0.8059999847412109, 0.34200000762939453)"
381436,LeftFoot,OpenPlay,BlockedShot,0.07504581660032272,18,1,1,Yangel Herrera,7350,a,Granada,Cadiz,,2020-10-04 16:30:00,14818,2020,"(0.8109999847412109, 0.5790000152587891)"
381446,RightFoot,OpenPlay,SavedShot,0.021614041179418564,52,1,1,Antonio Puertas,7863,a,Granada,Cadiz,Luis Milla,2020-10-04 16:30:00,14818,2020,"(0.805, 0.25)"
381443,RightFoot,OpenPlay,BlockedShot,0.06986982375383377,45,1,1,Yangel Herrera,7350,a,Granada,Cadiz,Antonio Puertas,2020-10-04 16:30:00,14818,2020,"(0.81, 0.485)"
381453,Head,FromCorner,MissedShots,0.03835831955075264,69,1,1,Antonio Puertas,7863,a,Granada,Cadiz,Luis Milla,2020-10-04 16:30:00,14818,2020,"(0.8769999694824219, 0.48200000762939454)"
381456,LeftFoot,OpenPlay,SavedShot,0.04426506534218788,81,1,1,Darwin Machís,4226,a,Granada,Cadiz,,2020-10-04 16:30:00,14818,2020,"(0.8809999847412109, 0.7080000305175781)"
381454,RightFoot,FromCorner,BlockedShot,0.04004121199250221,69,1,1,Roberto Soldado,2311,a,Granada,Cadiz,,2020-10-04 16:30:00,14818,2020,"(0.889000015258789, 0.7419999694824219)"
381437,LeftFoot,OpenPlay,MissedShots,0.011559088714420795,18,1,1,Carlos Neva,7864,a,Granada,Cadiz,,2020-10-04 16:30:00,14818,2020,"(0.73, 0.6969999694824218)"
381452,LeftFoot,OpenPlay,SavedShot,0.05615923926234245,68,1,1,Darwin Machís,4226,a,Granada,Cadiz,Antonio Puertas,2020-10-04 16:30:00,14818,2020,"(0.855, 0.649000015258789)"
381440,LeftFoot,OpenPlay,ShotOnPost,0.019280657172203064,38,1,1,Kenedy,689,a,Granada,Cadiz,,2020-10-04 16:30:00,14818,2020,"(0.8209999847412109, 0.6819999694824219)"
381460,RightFoot,OpenPlay,BlockedShot,0.0554911345243454,94,1,1,Darwin Machís,4226,a,Granada,Cadiz,Roberto Soldado,2020-10-04 16:30:00,14818,2020,"(0.81, 0.5159999847412109)"
381662,RightFoot,OpenPlay,MissedShots,0.008985523134469986,40,1,0,Roberto Soldado,2311,h,Granada,Sevilla,,2020-10-17 11:00:00,14831,2020,"(0.71, 0.655)"
381669,RightFoot,OpenPlay,SavedShot,0.5820454955101013,65,1,0,Antonio Puertas,7863,h,Granada,Sevilla,Darwin Machís,2020-10-17 11:00:00,14831,2020,"(0.9419999694824219, 0.45799999237060546)"
381654,RightFoot,SetPiece,BlockedShot,0.04687749594449997,4,1,0,Luis Milla,8725,h,Granada,Sevilla,,2020-10-17 11:00:00,14831,2020,"(0.8240000152587891, 0.5659999847412109)"
381655,Head,FromCorner,BlockedShot,0.0683266744017601,5,1,0,Germán Sánchez,7861,h,Granada,Sevilla,Maxime Gonalons,2020-10-17 11:00:00,14831,2020,"(0.9269999694824219, 0.5029999923706054)"
381670,LeftFoot,OpenPlay,BlockedShot,0.05816923826932907,74,1,0,Darwin Machís,4226,h,Granada,Sevilla,Luis Milla,2020-10-17 11:00:00,14831,2020,"(0.8569999694824219, 0.3729999923706055)"
381659,RightFoot,OpenPlay,BlockedShot,0.010284418240189552,30,1,0,Montoro,2368,h,Granada,Sevilla,,2020-10-17 11:00:00,14831,2020,"(0.7069999694824218, 0.6020000076293945)"
381656,RightFoot,FromCorner,BlockedShot,0.12371611595153809,5,1,0,Montoro,2368,h,Granada,Sevilla,,2020-10-17 11:00:00,14831,2020,"(0.909000015258789, 0.44799999237060545)"
381668,LeftFoot,OpenPlay,BlockedShot,0.011969239450991154,63,1,0,Darwin Machís,4226,h,Granada,Sevilla,Dimitri Foulquier,2020-10-17 11:00:00,14831,2020,"(0.745, 0.22200000762939454)"
381671,LeftFoot,OpenPlay,BlockedShot,0.048951417207717896,78,1,0,Carlos Neva,7864,h,Granada,Sevilla,,2020-10-17 11:00:00,14831,2020,"(0.895, 0.700999984741211)"
381672,Head,OpenPlay,Goal,0.05771169438958168,81,1,0,Yangel Herrera,7350,h,Granada,Sevilla,Dimitri Foulquier,2020-10-17 11:00:00,14831,2020,"(0.9059999847412109, 0.5209999847412109)"
381663,RightFoot,OpenPlay,SavedShot,0.014967246912419796,46,1,0,Montoro,2368,h,Granada,Sevilla,Antonio Puertas,2020-10-17 11:00:00,14831,2020,"(0.725, 0.7959999847412109)"
381664,RightFoot,FromCorner,BlockedShot,0.043316550552845,47,1,0,Antonio Puertas,7863,h,Granada,Sevilla,Montoro,2020-10-17 11:00:00,14831,2020,"(0.879000015258789, 0.5929999923706055)"
381667,LeftFoot,OpenPlay,MissedShots,0.020339827984571457,56,1,0,Kenedy,689,h,Granada,Sevilla,Roberto Soldado,2020-10-17 11:00:00,14831,2020,"(0.7330000305175781, 0.539000015258789)"
384059,RightFoot,OpenPlay,BlockedShot,0.021523939445614815,21,1,0,Montoro,2368,a,Granada,Getafe,,2020-10-25 17:30:00,14837,2020,"(0.779000015258789, 0.3220000076293945)"
384060,LeftFoot,DirectFreekick,SavedShot,0.04297282546758652,23,1,0,Kenedy,689,a,Granada,Getafe,,2020-10-25 17:30:00,14837,2020,"(0.795, 0.185)"
384065,RightFoot,OpenPlay,MissedShots,0.11984714865684509,43,1,0,Kenedy,689,a,Granada,Getafe,Yangel Herrera,2020-10-25 17:30:00,14837,2020,"(0.9580000305175781, 0.4570000076293945)"
384066,RightFoot,Penalty,Goal,0.7432776093482971,47,1,0,Montoro,2368,a,Granada,Getafe,,2020-10-25 17:30:00,14837,2020,"(0.885, 0.5)"
384068,LeftFoot,OpenPlay,MissedShots,0.0221896693110466,53,1,0,Kenedy,689,a,Granada,Getafe,Luis Suárez,2020-10-25 17:30:00,14837,2020,"(0.5579999923706055, 0.73)"
385384,LeftFoot,OpenPlay,MissedShots,0.03736698254942894,24,1,1,Carlos Neva,7864,h,Granada,Levante,,2020-11-01 17:30:00,14850,2020,"(0.7659999847412109, 0.575999984741211)"
385394,RightFoot,OpenPlay,MissedShots,0.06631997227668762,63,1,1,Yangel Herrera,7350,h,Granada,Levante,Luis Milla,2020-11-01 17:30:00,14850,2020,"(0.8369999694824218, 0.6090000152587891)"
385382,RightFoot,OpenPlay,Goal,0.049457356333732605,7,1,1,Darwin Machís,4226,h,Granada,Levante,Maxime Gonalons,2020-11-01 17:30:00,14850,2020,"(0.865, 0.639000015258789)"
385389,RightFoot,SetPiece,SavedShot,0.07045362144708633,36,1,1,Antonio Puertas,7863,h,Granada,Levante,Germán Sánchez,2020-11-01 17:30:00,14850,2020,"(0.9, 0.6170000076293946)"
385402,LeftFoot,OpenPlay,MissedShots,0.007287627551704645,91,1,1,Luis Suárez,8978,h,Granada,Levante,,2020-11-01 17:30:00,14850,2020,"(0.6279999923706054, 0.28)"
386690,RightFoot,DirectFreekick,MissedShots,0.03775683045387268,87,0,2,Darwin Machís,4226,a,Granada,Real Sociedad,,2020-11-08 15:15:00,14860,2020,"(0.7080000305175781, 0.67)"
386691,RightFoot,Penalty,SavedShot,0.7428922057151794,94,0,2,Darwin Machís,4226,a,Granada,Real Sociedad,,2020-11-08 15:15:00,14860,2020,"(0.885, 0.5)"
388158,LeftFoot,OpenPlay,MissedShots,0.023526106029748917,60,1,3,Yangel Herrera,7350,h,Granada,Real Valladolid,Luis Suárez,2020-11-22 17:30:00,14870,2020,"(0.835999984741211, 0.6309999847412109)"
388168,RightFoot,OpenPlay,BlockedShot,0.02813754789531231,93,1,3,Darwin Machís,4226,h,Granada,Real Valladolid,Alberto Soro,2020-11-22 17:30:00,14870,2020,"(0.8219999694824218, 0.6880000305175781)"
388147,RightFoot,OpenPlay,BlockedShot,0.0213351771235466,13,1,3,Darwin Machís,4226,h,Granada,Real Valladolid,Montoro,2020-11-22 17:30:00,14870,2020,"(0.7769999694824219, 0.675)"
388162,RightFoot,OpenPlay,MissedShots,0.024500887840986252,66,1,3,Luis Milla,8725,h,Granada,Real Valladolid,,2020-11-22 17:30:00,14870,2020,"(0.795, 0.33099998474121095)"
388155,RightFoot,OpenPlay,MissedShots,0.011066549457609653,48,1,3,Carlos Neva,7864,h,Granada,Real Valladolid,,2020-11-22 17:30:00,14870,2020,"(0.774000015258789, 0.654000015258789)"
388148,RightFoot,OpenPlay,MissedShots,0.020266538485884666,21,1,3,Luis Milla,8725,h,Granada,Real Valladolid,Montoro,2020-11-22 17:30:00,14870,2020,"(0.7780000305175782, 0.33099998474121095)"
388163,RightFoot,OpenPlay,SavedShot,0.020334895700216293,69,1,3,Luis Suárez,8978,h,Granada,Real Valladolid,Montoro,2020-11-22 17:30:00,14870,2020,"(0.7780000305175782, 0.715)"
388152,RightFoot,SetPiece,MissedShots,0.5206633806228638,44,1,3,Germán Sánchez,7861,h,Granada,Real Valladolid,Montoro,2020-11-22 17:30:00,14870,2020,"(0.965999984741211, 0.44)"
388156,RightFoot,OpenPlay,SavedShot,0.015607979148626328,50,1,3,Darwin Machís,4226,h,Granada,Real Valladolid,Fede Vico,2020-11-22 17:30:00,14870,2020,"(0.7430000305175781, 0.35700000762939454)"
388161,RightFoot,OpenPlay,SavedShot,0.09166210889816284,64,1,3,Roberto Soldado,2311,h,Granada,Real Valladolid,Luis Suárez,2020-11-22 17:30:00,14870,2020,"(0.8669999694824219, 0.5359999847412109)"
388149,LeftFoot,OpenPlay,SavedShot,0.021950723603367805,32,1,3,Darwin Machís,4226,h,Granada,Real Valladolid,Dimitri Foulquier,2020-11-22 17:30:00,14870,2020,"(0.77, 0.29700000762939455)"
388165,RightFoot,OpenPlay,MissedShots,0.007307162508368492,79,1,3,Montoro,2368,h,Granada,Real Valladolid,,2020-11-22 17:30:00,14870,2020,"(0.5559999847412109, 0.685)"
