,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376674,RightFoot,OpenPlay,Goal,0.34907838702201843,9,2,0,Adrián,2305,a,Osasuna,Cadiz,Oier,2020-09-12 19:00:00,14138,2020,"(0.8640000152587891, 0.5709999847412109)"
376678,RightFoot,OpenPlay,SavedShot,0.050212543457746506,18,2,0,Nacho Vidal,5162,a,Osasuna,Cadiz,Jon Moncayola,2020-09-12 19:00:00,14138,2020,"(0.8859999847412109, 0.295)"
376688,LeftFoot,OpenPlay,Goal,0.11028795689344406,78,2,0,Rubén García,2183,a,Osasuna,Cadiz,Lucas Torró,2020-09-12 19:00:00,14138,2020,"(0.9069999694824219, 0.575999984741211)"
376680,RightFoot,FromCorner,MissedShots,0.013303409330546856,26,2,0,Jon Moncayola,7857,a,Osasuna,Cadiz,,2020-09-12 19:00:00,14138,2020,"(0.7330000305175781, 0.5179999923706055)"
376682,RightFoot,SetPiece,SavedShot,0.07612745463848114,52,2,0,David García,5090,a,Osasuna,Cadiz,Aridane Hernández,2020-09-12 19:00:00,14138,2020,"(0.895, 0.41900001525878905)"
376683,RightFoot,DirectFreekick,MissedShots,0.03427574038505554,55,2,0,Roberto Torres,5093,a,Osasuna,Cadiz,,2020-09-12 19:00:00,14138,2020,"(0.715, 0.73)"
377656,RightFoot,OpenPlay,MissedShots,0.05392094701528549,29,0,1,Adrián,2305,a,Osasuna,Getafe,,2020-09-19 16:30:00,14145,2020,"(0.9, 0.69)"
377654,LeftFoot,OpenPlay,SavedShot,0.03644188866019249,16,0,1,Roberto Torres,5093,a,Osasuna,Getafe,,2020-09-19 16:30:00,14145,2020,"(0.7919999694824219, 0.4209999847412109)"
377655,RightFoot,OpenPlay,MissedShots,0.005168297328054905,26,0,1,Roberto Torres,5093,a,Osasuna,Getafe,Facundo Roncaglia,2020-09-19 16:30:00,14145,2020,"(0.4640000152587891, 0.04699999809265137)"
377653,LeftFoot,OpenPlay,BlockedShot,0.009030256420373917,14,0,1,Rubén García,2183,a,Osasuna,Getafe,,2020-09-19 16:30:00,14145,2020,"(0.6530000305175782, 0.7319999694824219)"
377651,LeftFoot,OpenPlay,SavedShot,0.006601476576179266,0,0,1,Rubén García,2183,a,Osasuna,Getafe,,2020-09-19 16:30:00,14145,2020,"(0.3729999923706055, 0.39599998474121095)"
377665,RightFoot,OpenPlay,SavedShot,0.2578476667404175,84,0,1,Marc Cardona,5159,a,Osasuna,Getafe,Rubén García,2020-09-19 16:30:00,14145,2020,"(0.9469999694824218, 0.3629999923706055)"
