,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14140,Real Valladolid,Real Sociedad,0.858211,0.31178,1,1,h,2020-09-13 14:00:00
14153,Real Valladolid,Real Betis,0.290702,1.76775,0,2,a,2020-09-20 16:30:00
14162,Real Valladolid,Celta Vigo,1.52483,1.08307,1,1,h,2020-09-27 16:30:00
14169,Real Valladolid,Real Madrid,0.540187,2.64599,0,1,a,2020-09-30 19:30:00
14823,Real Valladolid,Eibar,1.09473,1.6913,1,2,h,2020-10-03 11:00:00
14832,Real Valladolid,SD Huesca,0.907963,1.25439,2,2,a,2020-10-18 16:30:00
14843,Real Valladolid,Alaves,0.305213,2.3128,0,2,h,2020-10-25 13:00:00
14854,Real Valladolid,Villarreal,0.793913,1.85014,0,2,a,2020-11-02 20:00:00
14863,Real Valladolid,Athletic Club,2.28498,1.57936,2,1,h,2020-11-08 17:30:00
14870,Real Valladolid,Granada,1.45546,1.40253,3,1,a,2020-11-22 17:30:00
14883,Real Valladolid,Levante,1.25969,1.11009,1,1,h,2020-11-27 20:00:00
14893,Real Valladolid,Atletico Madrid,0.440427,1.2755,0,2,a,2020-12-05 17:30:00
14896,Real Valladolid,Osasuna,1.87748,1.33403,3,2,h,2020-12-11 20:00:00
14916,Real Valladolid,Sevilla,0.878614,1.73966,1,1,a,2020-12-19 20:00:00
14924,Real Valladolid,Barcelona,0.499141,3.23865,0,3,h,2020-12-22 21:00:00
14932,Real Valladolid,Cadiz,0.299749,0.786846,0,0,a,2020-12-29 20:30:00
14941,Real Valladolid,Getafe,1.16924,0.768671,1,0,a,2021-01-02 17:30:00
14956,Real Valladolid,Valencia,0.562807,1.09369,0,1,h,2021-01-10 20:00:00
14966,Real Valladolid,Elche,1.02082,0.575886,2,2,h,2021-01-19 18:00:00
14976,Real Valladolid,Levante,0.631096,1.04736,2,2,a,2021-01-22 20:00:00
14986,Real Valladolid,SD Huesca,1.74924,1.18337,1,3,h,2021-01-29 20:00:00
14988,Real Valladolid,Alaves,0.0534012,1.60639,0,1,a,2021-02-05 20:00:00
15000,Real Valladolid,Eibar,0.968574,1.92231,1,1,a,2021-02-13 17:30:00
15016,Real Valladolid,Real Madrid,0.909714,1.30987,0,1,h,2021-02-20 20:00:00
15019,Real Valladolid,Celta Vigo,0.762391,0.86079,1,1,a,2021-02-28 13:00:00
15036,Real Valladolid,Getafe,1.31724,0.971736,2,1,h,2021-03-06 13:00:00
15045,Real Valladolid,Osasuna,0.891,0.467892,0,0,a,2021-03-13 17:30:00
15056,Real Valladolid,Sevilla,0.809957,1.11252,1,1,h,2021-03-20 20:00:00
15059,Real Valladolid,Barcelona,0.435921,1.68796,0,1,a,2021-04-05 19:00:00
15076,Real Valladolid,Granada,1.19214,1.22464,1,2,h,2021-04-11 16:30:00
15087,Real Valladolid,Elche,1.30359,1.33615,1,1,a,2021-04-21 19:00:00
15095,Real Valladolid,Cadiz,3.23903,1.55697,1,1,h,2021-04-24 14:15:00
15099,Real Valladolid,Athletic Club,0.640604,1.73076,2,2,a,2021-04-28 17:00:00
15110,Real Valladolid,Real Betis,0.76247,1.88115,1,1,h,2021-05-02 12:00:00
15126,Real Valladolid,Valencia,0.754813,1.26443,0,3,a,2021-05-09 14:15:00
15136,Real Valladolid,Villarreal,1.38976,0.600771,0,2,h,2021-05-13 17:00:00
15145,Real Valladolid,Real Sociedad,1.04641,1.67996,1,4,a,2021-05-16 16:30:00
15156,Real Valladolid,Atletico Madrid,0.995635,1.2916,1,2,h,2021-05-22 16:00:00
