,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14143,SD Huesca,Villarreal,0.556003,2.01913,1,1,a,2020-09-13 16:30:00
14148,SD Huesca,Cadiz,0.223846,1.50522,0,2,h,2020-09-20 14:00:00
14161,SD Huesca,Valencia,1.10618,0.306092,1,1,a,2020-09-26 14:00:00
14168,SD Huesca,Atletico Madrid,0.631932,1.79241,0,0,h,2020-09-30 17:00:00
14824,SD Huesca,Elche,1.70374,0.188885,0,0,a,2020-10-03 16:30:00
14832,SD Huesca,Real Valladolid,1.25439,0.907963,2,2,h,2020-10-18 16:30:00
14841,SD Huesca,Real Sociedad,0.591473,1.79773,1,4,a,2020-10-25 20:00:00
14852,SD Huesca,Real Madrid,0.79915,2.23898,1,4,a,2020-10-31 13:00:00
14858,SD Huesca,Eibar,2.23211,0.839508,1,1,h,2020-11-07 13:00:00
14872,SD Huesca,Osasuna,0.807899,0.878778,1,1,a,2020-11-20 20:00:00
14879,SD Huesca,Sevilla,0.167609,1.69981,0,1,h,2020-11-28 17:30:00
14886,SD Huesca,Granada,1.68663,1.82994,3,3,a,2020-12-06 13:00:00
14902,SD Huesca,Alaves,0.380766,0.171439,1,0,h,2020-12-12 17:30:00
14907,SD Huesca,Athletic Club,0.182818,1.51945,0,2,a,2020-12-18 20:00:00
14920,SD Huesca,Levante,1.36969,0.581363,1,1,h,2020-12-22 18:45:00
14933,SD Huesca,Celta Vigo,1.0513,2.85208,1,2,a,2020-12-30 18:15:00
14942,SD Huesca,Barcelona,0.259005,3.21201,0,1,h,2021-01-03 20:00:00
14952,SD Huesca,Real Betis,1.15245,2.98435,0,2,h,2021-01-11 20:00:00
14963,SD Huesca,Getafe,0.712964,0.656624,0,1,a,2021-01-20 18:00:00
14975,SD Huesca,Villarreal,0.177253,0.484831,0,0,h,2021-01-23 13:00:00
14986,SD Huesca,Real Valladolid,1.18337,1.74924,3,1,a,2021-01-29 20:00:00
14992,SD Huesca,Real Madrid,0.920971,3.53921,1,2,h,2021-02-06 15:15:00
15006,SD Huesca,Sevilla,1.39522,1.329,0,1,a,2021-02-13 15:15:00
15012,SD Huesca,Granada,2.47156,0.854609,3,2,h,2021-02-21 17:30:00
15020,SD Huesca,Eibar,0.480747,1.79661,1,1,a,2021-02-27 13:00:00
15032,SD Huesca,Celta Vigo,3.13618,0.655624,3,4,h,2021-03-07 13:00:00
15039,SD Huesca,Barcelona,2.19819,1.52419,1,4,a,2021-03-15 20:00:00
15053,SD Huesca,Osasuna,0.89442,0.734886,0,0,h,2021-03-20 17:30:00
15062,SD Huesca,Levante,0.857773,0.462819,2,0,a,2021-04-02 19:00:00
15073,SD Huesca,Elche,1.09388,0.880685,3,1,h,2021-04-09 19:00:00
15098,SD Huesca,Alaves,0.747867,0.316991,0,1,a,2021-04-18 14:15:00
15079,SD Huesca,Atletico Madrid,1.40665,2.32831,0,2,a,2021-04-22 17:00:00
15091,SD Huesca,Getafe,0.472579,0.711933,0,2,h,2021-04-25 12:00:00
15116,SD Huesca,Real Sociedad,0.446278,0.298366,1,0,h,2021-05-01 16:30:00
15123,SD Huesca,Cadiz,0.43525,0.990604,1,2,a,2021-05-08 16:30:00
15132,SD Huesca,Athletic Club,1.56368,0.401551,1,0,h,2021-05-12 18:00:00
15142,SD Huesca,Real Betis,0.249221,1.17298,0,1,a,2021-05-16 16:30:00
15151,SD Huesca,Valencia,0.974788,0.421299,0,0,h,2021-05-22 16:00:00
