,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376997,Head,SetPiece,MissedShots,0.013994961977005005,34,1,1,Shinji Okazaki,754,a,SD Huesca,Villarreal,David Ferreiro,2020-09-13 16:30:00,14143,2020,"(0.8830000305175781, 0.5570000076293945)"
377002,Head,OpenPlay,MissedShots,0.019187703728675842,53,1,1,Shinji Okazaki,754,a,SD Huesca,Villarreal,David Ferreiro,2020-09-13 16:30:00,14143,2020,"(0.9059999847412109, 0.655)"
377000,LeftFoot,OpenPlay,MissedShots,0.023670988157391548,50,1,1,Rafa Mir,2589,a,SD Huesca,Villarreal,Pedro Mosquera,2020-09-13 16:30:00,14143,2020,"(0.769000015258789, 0.24100000381469727)"
377012,Head,FromCorner,BlockedShot,0.1057717576622963,93,1,1,Pablo Insúa,4037,a,SD Huesca,Villarreal,Eugeni,2020-09-13 16:30:00,14143,2020,"(0.9180000305175782, 0.4779999923706055)"
376999,RightFoot,OpenPlay,SavedShot,0.02884337678551674,48,1,1,Rafa Mir,2589,a,SD Huesca,Villarreal,David Ferreiro,2020-09-13 16:30:00,14143,2020,"(0.850999984741211, 0.21)"
377003,RightFoot,OpenPlay,BlockedShot,0.08250350505113602,55,1,1,Juan Carlos,4219,a,SD Huesca,Villarreal,,2020-09-13 16:30:00,14143,2020,"(0.925, 0.34200000762939453)"
376996,LeftFoot,OpenPlay,BlockedShot,0.021501393988728523,29,1,1,Pablo Maffeo,1003,a,SD Huesca,Villarreal,Mikel Rico,2020-09-13 16:30:00,14143,2020,"(0.7930000305175782, 0.2610000038146973)"
376998,LeftFoot,OpenPlay,Goal,0.26052919030189514,41,1,1,Pablo Maffeo,1003,a,SD Huesca,Villarreal,Juan Carlos,2020-09-13 16:30:00,14143,2020,"(0.874000015258789, 0.38299999237060545)"
378144,RightFoot,OpenPlay,BlockedShot,0.023257721215486526,93,0,2,Jorge Pulido,6950,h,SD Huesca,Cadiz,,2020-09-20 14:00:00,14148,2020,"(0.7780000305175782, 0.40799999237060547)"
378138,Head,FromCorner,MissedShots,0.10318843275308609,32,0,2,Jorge Pulido,6950,h,SD Huesca,Cadiz,David Ferreiro,2020-09-20 14:00:00,14148,2020,"(0.9169999694824219, 0.5220000076293946)"
378145,LeftFoot,OpenPlay,MissedShots,0.011362191289663315,95,0,2,Sergio Gómez,6656,h,SD Huesca,Cadiz,Joaquín Muñoz,2020-09-20 14:00:00,14148,2020,"(0.7619999694824219, 0.23600000381469727)"
378137,Head,OpenPlay,MissedShots,0.08603759855031967,22,0,2,Rafa Mir,2589,h,SD Huesca,Cadiz,Pedro Mosquera,2020-09-20 14:00:00,14148,2020,"(0.9159999847412109, 0.43099998474121093)"
378866,RightFoot,OpenPlay,MissedShots,0.02164500020444393,57,1,1,Shinji Okazaki,754,a,SD Huesca,Valencia,Javi Galán,2020-09-26 14:00:00,14161,2020,"(0.775, 0.6890000152587891)"
