,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6187,Evian Thonon Gaillard,Caen,0.813737,1.23869,0,3,h,2014-08-09 20:00:00
6197,Evian Thonon Gaillard,Rennes,1.06246,1.81988,2,6,a,2014-08-16 19:00:00
6205,Evian Thonon Gaillard,Paris Saint Germain,0.632883,0.388902,0,0,h,2014-08-22 19:30:00
6218,Evian Thonon Gaillard,Toulouse,0.710663,0.851431,0,1,a,2014-08-30 19:00:00
6154,Evian Thonon Gaillard,Marseille,0.912171,1.12115,1,3,h,2014-09-14 20:00:00
6155,Evian Thonon Gaillard,Bordeaux,0.365111,0.539429,1,2,a,2014-09-19 19:30:00
6167,Evian Thonon Gaillard,Lens,0.96835,0.860457,2,1,h,2014-09-24 18:00:00
6180,Evian Thonon Gaillard,Lorient,0.834365,0.791519,2,0,a,2014-09-27 19:00:00
6119,Evian Thonon Gaillard,Metz,1.25083,0.334334,3,0,h,2014-10-04 19:00:00
6128,Evian Thonon Gaillard,Monaco,1.3361,2.44399,0,2,a,2014-10-18 19:00:00
6139,Evian Thonon Gaillard,Nantes,0.258938,2.12732,0,2,h,2014-10-25 19:00:00
6080,Evian Thonon Gaillard,Montpellier,0.196777,2.13023,0,2,a,2014-11-01 19:00:00
6090,Evian Thonon Gaillard,Nice,1.37071,1.13378,1,0,h,2014-11-08 19:00:00
6112,Evian Thonon Gaillard,Guingamp,0.910803,0.583473,2,0,h,2014-11-30 16:00:00
6042,Evian Thonon Gaillard,SC Bastia,1.15876,1.69568,2,1,a,2014-12-03 18:00:00
6052,Evian Thonon Gaillard,Lyon,0.973267,2.92037,2,3,h,2014-12-07 13:00:00
6059,Evian Thonon Gaillard,Reims,0.810448,1.86473,2,3,a,2014-12-13 19:00:00
6074,Evian Thonon Gaillard,Saint-Etienne,0.321493,1.3033,0,3,a,2014-12-21 16:00:00
5998,Evian Thonon Gaillard,Lille,0.749129,0.437156,0,1,a,2015-01-07 19:30:00
6001,Evian Thonon Gaillard,Rennes,1.16628,2.1526,1,1,h,2015-01-10 19:00:00
6016,Evian Thonon Gaillard,Paris Saint Germain,0.39894,3.42779,2,4,a,2015-01-18 13:00:00
6024,Evian Thonon Gaillard,Toulouse,0.438885,1.3373,1,0,h,2015-01-25 13:00:00
6030,Evian Thonon Gaillard,Marseille,0.0877751,2.36677,0,1,a,2015-01-31 15:30:00
5968,Evian Thonon Gaillard,Bordeaux,0.363124,0.188163,0,1,h,2015-02-07 19:00:00
5977,Evian Thonon Gaillard,Lens,0.81777,1.38094,2,0,a,2015-02-14 19:00:00
5996,Evian Thonon Gaillard,Metz,0.917162,0.769832,2,1,a,2015-02-28 19:00:00
5929,Evian Thonon Gaillard,Lorient,0.550926,0.561594,1,0,h,2015-03-04 18:00:00
5933,Evian Thonon Gaillard,Monaco,1.24794,1.68478,1,3,h,2015-03-07 19:00:00
5945,Evian Thonon Gaillard,Nantes,0.788056,1.36711,1,2,a,2015-03-14 19:00:00
5956,Evian Thonon Gaillard,Montpellier,1.34575,0.230609,1,0,h,2015-03-21 19:00:00
5891,Evian Thonon Gaillard,Nice,1.60029,1.28484,2,2,a,2015-04-04 19:00:00
5901,Evian Thonon Gaillard,Lille,1.17213,1.77445,0,1,h,2015-04-12 16:00:00
5910,Evian Thonon Gaillard,Guingamp,0.997207,1.42866,1,1,a,2015-04-18 19:00:00
5920,Evian Thonon Gaillard,SC Bastia,1.49347,1.35755,1,2,h,2015-04-25 19:00:00
5846,Evian Thonon Gaillard,Lyon,0.657208,2.65856,0,2,a,2015-05-02 16:00:00
5857,Evian Thonon Gaillard,Reims,1.13016,2.18633,2,3,h,2015-05-09 19:00:00
5867,Evian Thonon Gaillard,Saint-Etienne,1.24292,1.84086,1,2,h,2015-05-16 20:00:00
5876,Evian Thonon Gaillard,Caen,1.84486,2.02955,2,3,a,2015-05-23 20:00:00
