,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
62,RightFoot,OpenPlay,MissedShots,0.007703367155045271,56,0,3,Cédric Cambon,4719,h,Evian Thonon Gaillard,Caen,Daniel Wass,2014-08-09 20:00:00,6187,2014,"(0.66, 0.4779999923706055)"
64,Head,OpenPlay,BlockedShot,0.03302716836333275,66,0,3,Nicolas Benezet,3574,h,Evian Thonon Gaillard,Caen,,2014-08-09 20:00:00,6187,2014,"(0.875999984741211, 0.45799999237060546)"
53,LeftFoot,FromCorner,MissedShots,0.04075495898723602,20,0,3,Nicolas Benezet,3574,h,Evian Thonon Gaillard,Caen,,2014-08-09 20:00:00,6187,2014,"(0.8169999694824219, 0.525)"
52,RightFoot,OpenPlay,MissedShots,0.03613674268126488,16,0,3,Nicolas Benezet,3574,h,Evian Thonon Gaillard,Caen,Gianni Bruno,2014-08-09 20:00:00,6187,2014,"(0.7969999694824219, 0.5020000076293946)"
55,RightFoot,OpenPlay,BlockedShot,0.015588594600558281,26,0,3,Fabien Camus,3441,h,Evian Thonon Gaillard,Caen,Cédric Cambon,2014-08-09 20:00:00,6187,2014,"(0.7019999694824218, 0.49400001525878906)"
67,LeftFoot,OpenPlay,MissedShots,0.5466616153717041,81,0,3,Gianni Bruno,2999,h,Evian Thonon Gaillard,Caen,Nicki Bille Nielsen,2014-08-09 20:00:00,6187,2014,"(0.9469999694824218, 0.4879999923706055)"
68,LeftFoot,OpenPlay,SavedShot,0.02179146371781826,83,0,3,Nicki Bille Nielsen,4718,h,Evian Thonon Gaillard,Caen,Gianni Bruno,2014-08-09 20:00:00,6187,2014,"(0.745999984741211, 0.4520000076293945)"
54,RightFoot,OpenPlay,MissedShots,0.022778257727622986,22,0,3,Gianni Bruno,2999,h,Evian Thonon Gaillard,Caen,Fabien Camus,2014-08-09 20:00:00,6187,2014,"(0.749000015258789, 0.54)"
66,RightFoot,OpenPlay,SavedShot,0.08929499983787537,80,0,3,Djakaridja Koné,4712,h,Evian Thonon Gaillard,Caen,Gianni Bruno,2014-08-09 20:00:00,6187,2014,"(0.8719999694824219, 0.37099998474121093)"
393,RightFoot,OpenPlay,MissedShots,0.013187216594815254,84,2,6,Clarck N&#039;Sikulu,4716,a,Evian Thonon Gaillard,Rennes,Cédric Cambon,2014-08-16 19:00:00,6197,2014,"(0.705, 0.6469999694824219)"
386,RightFoot,OpenPlay,SavedShot,0.00853606779128313,54,2,6,Fabien Camus,3441,a,Evian Thonon Gaillard,Rennes,Nicolas Benezet,2014-08-16 19:00:00,6197,2014,"(0.7169999694824218, 0.705999984741211)"
385,LeftFoot,SetPiece,BlockedShot,0.02498244307935238,50,2,6,Cédric Cambon,4719,a,Evian Thonon Gaillard,Rennes,,2014-08-16 19:00:00,6197,2014,"(0.8480000305175781, 0.71)"
380,Head,FromCorner,Goal,0.29329460859298706,34,2,6,Daniel Wass,2284,a,Evian Thonon Gaillard,Rennes,Gianni Bruno,2014-08-16 19:00:00,6197,2014,"(0.9219999694824219, 0.46)"
388,RightFoot,OpenPlay,MissedShots,0.09149331599473953,59,2,6,Gianni Bruno,2999,a,Evian Thonon Gaillard,Rennes,Kassim Abdallah,2014-08-16 19:00:00,6197,2014,"(0.9419999694824219, 0.4520000076293945)"
389,RightFoot,OpenPlay,MissedShots,0.009198884479701519,63,2,6,Daniel Wass,2284,a,Evian Thonon Gaillard,Rennes,Nicki Bille Nielsen,2014-08-16 19:00:00,6197,2014,"(0.7030000305175781, 0.38)"
392,RightFoot,OpenPlay,Goal,0.07128217071294785,82,2,6,Daniel Wass,2284,a,Evian Thonon Gaillard,Rennes,,2014-08-16 19:00:00,6197,2014,"(0.8530000305175781, 0.5070000076293946)"
378,RightFoot,OpenPlay,MissedShots,0.030997702851891518,16,2,6,Gianni Bruno,2999,a,Evian Thonon Gaillard,Rennes,Nicolas Benezet,2014-08-16 19:00:00,6197,2014,"(0.8980000305175782, 0.76)"
381,RightFoot,OpenPlay,MissedShots,0.5194841623306274,36,2,6,Gianni Bruno,2999,a,Evian Thonon Gaillard,Rennes,,2014-08-16 19:00:00,6197,2014,"(0.9169999694824219, 0.5029999923706054)"
483,RightFoot,OpenPlay,SavedShot,0.08942721784114838,91,0,0,Nicolas Benezet,3574,h,Evian Thonon Gaillard,Paris Saint Germain,Daniel Wass,2014-08-22 19:30:00,6205,2014,"(0.815, 0.500999984741211)"
481,RightFoot,OpenPlay,BlockedShot,0.0559181310236454,86,0,0,Nicolas Benezet,3574,h,Evian Thonon Gaillard,Paris Saint Germain,Daniel Wass,2014-08-22 19:30:00,6205,2014,"(0.7919999694824219, 0.39599998474121095)"
474,RightFoot,DirectFreekick,SavedShot,0.027013404294848442,23,0,0,Daniel Wass,2284,h,Evian Thonon Gaillard,Paris Saint Germain,,2014-08-22 19:30:00,6205,2014,"(0.6630000305175782, 0.35900001525878905)"
487,RightFoot,FromCorner,MissedShots,0.1110801100730896,92,0,0,Daniel Wass,2284,h,Evian Thonon Gaillard,Paris Saint Germain,Aldo Angoula,2014-08-22 19:30:00,6205,2014,"(0.9169999694824219, 0.48700000762939455)"
484,Head,FromCorner,BlockedShot,0.0460968092083931,91,0,0,Aldo Angoula,4798,h,Evian Thonon Gaillard,Paris Saint Germain,Daniel Wass,2014-08-22 19:30:00,6205,2014,"(0.9180000305175782, 0.515)"
477,RightFoot,OpenPlay,BlockedShot,0.09076438844203949,65,0,0,Nicki Bille Nielsen,4718,h,Evian Thonon Gaillard,Paris Saint Germain,Clarck N&#039;Sikulu,2014-08-22 19:30:00,6205,2014,"(0.845, 0.4520000076293945)"
486,RightFoot,OpenPlay,BlockedShot,0.0712701603770256,91,0,0,Jonathan Mensah,2952,h,Evian Thonon Gaillard,Paris Saint Germain,,2014-08-22 19:30:00,6205,2014,"(0.8009999847412109, 0.5109999847412109)"
485,LeftFoot,FromCorner,BlockedShot,0.08465048670768738,91,0,0,Jonathan Mensah,2952,h,Evian Thonon Gaillard,Paris Saint Germain,,2014-08-22 19:30:00,6205,2014,"(0.879000015258789, 0.4329999923706055)"
482,RightFoot,DirectFreekick,MissedShots,0.060564495623111725,89,0,0,Cédric Barbosa,4786,h,Evian Thonon Gaillard,Paris Saint Germain,,2014-08-22 19:30:00,6205,2014,"(0.874000015258789, 0.19)"
1044,LeftFoot,OpenPlay,BlockedShot,0.08765445649623871,41,0,1,Youssouf Sabaly,3399,a,Evian Thonon Gaillard,Toulouse,Clarck N&#039;Sikulu,2014-08-30 19:00:00,6218,2014,"(0.9209999847412109, 0.7069999694824218)"
1052,RightFoot,OpenPlay,SavedShot,0.040008820593357086,85,0,1,Nicolas Benezet,3574,a,Evian Thonon Gaillard,Toulouse,Djakaridja Koné,2014-08-30 19:00:00,6218,2014,"(0.78, 0.664000015258789)"
1053,RightFoot,OpenPlay,BlockedShot,0.03102308139204979,91,0,1,Youssouf Sabaly,3399,a,Evian Thonon Gaillard,Toulouse,,2014-08-30 19:00:00,6218,2014,"(0.8219999694824218, 0.674000015258789)"
1041,RightFoot,OpenPlay,MissedShots,0.014909922145307064,27,0,1,Djakaridja Koné,4712,a,Evian Thonon Gaillard,Toulouse,Olivier Sorlin,2014-08-30 19:00:00,6218,2014,"(0.6890000152587891, 0.39299999237060546)"
1045,RightFoot,OpenPlay,SavedShot,0.3693264126777649,42,0,1,Daniel Wass,2284,a,Evian Thonon Gaillard,Toulouse,,2014-08-30 19:00:00,6218,2014,"(0.8680000305175781, 0.4470000076293945)"
1039,Head,FromCorner,MissedShots,0.12694615125656128,13,0,1,Aldo Angoula,4798,a,Evian Thonon Gaillard,Toulouse,Fabien Camus,2014-08-30 19:00:00,6218,2014,"(0.9369999694824219, 0.4929999923706055)"
1048,LeftFoot,OpenPlay,MissedShots,0.04079469293355942,63,0,1,Clarck N&#039;Sikulu,4716,a,Evian Thonon Gaillard,Toulouse,Youssouf Sabaly,2014-08-30 19:00:00,6218,2014,"(0.8959999847412109, 0.735999984741211)"
1168,Head,OpenPlay,Goal,0.29690486192703247,90,1,3,Clarck N&#039;Sikulu,4716,h,Evian Thonon Gaillard,Marseille,Kassim Abdallah,2014-09-14 20:00:00,6154,2014,"(0.935, 0.5709999847412109)"
1157,Head,FromCorner,MissedShots,0.043477967381477356,36,1,3,Jonathan Mensah,2952,h,Evian Thonon Gaillard,Marseille,Fabien Camus,2014-09-14 20:00:00,6154,2014,"(0.9169999694824219, 0.4829999923706055)"
1152,LeftFoot,OpenPlay,MissedShots,0.03060021437704563,3,1,3,Fabien Camus,3441,h,Evian Thonon Gaillard,Marseille,Gianni Bruno,2014-09-14 20:00:00,6154,2014,"(0.845999984741211, 0.629000015258789)"
1154,LeftFoot,OpenPlay,MissedShots,0.019820544868707657,19,1,3,Fabien Camus,3441,h,Evian Thonon Gaillard,Marseille,Daniel Wass,2014-09-14 20:00:00,6154,2014,"(0.7340000152587891, 0.5609999847412109)"
1158,LeftFoot,FromCorner,BlockedShot,0.042046912014484406,39,1,3,Fabien Camus,3441,h,Evian Thonon Gaillard,Marseille,Djakaridja Koné,2014-09-14 20:00:00,6154,2014,"(0.9419999694824219, 0.674000015258789)"
1160,Head,OpenPlay,OwnGoal,0.0,43,1,3,Jonathan Mensah,2952,h,Evian Thonon Gaillard,Marseille,,2014-09-14 20:00:00,6154,2014,"(0.185, 0.49900001525878906)"
