,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6191,Lens,Nantes,0.167128,1.025,0,1,a,2014-08-09 20:00:00
6199,Lens,Guingamp,0.908766,1.00409,0,1,h,2014-08-16 19:00:00
6212,Lens,Lyon,1.83188,0.907071,1,0,a,2014-08-24 13:00:00
6220,Lens,Reims,2.67759,1.28585,4,2,h,2014-08-30 19:00:00
6151,Lens,SC Bastia,0.302581,0.689205,1,1,a,2014-09-13 19:00:00
6162,Lens,Saint-Etienne,0.880858,1.03801,0,1,h,2014-09-21 16:00:00
6167,Lens,Evian Thonon Gaillard,0.860457,0.96835,1,2,a,2014-09-24 18:00:00
6182,Lens,Caen,0.518773,0.375391,0,0,h,2014-09-28 16:00:00
6118,Lens,Rennes,0.191323,2.26447,0,2,a,2014-10-04 19:00:00
6124,Lens,Paris Saint Germain,0.887858,2.32314,1,3,h,2014-10-17 19:30:00
6134,Lens,Toulouse,1.22242,0.868458,2,0,a,2014-10-24 19:30:00
6084,Lens,Marseille,1.10067,1.5579,1,2,a,2014-11-02 20:00:00
6086,Lens,Bordeaux,1.04227,1.51927,1,2,h,2014-11-08 16:00:00
6098,Lens,Lorient,0.382214,2.00993,0,1,a,2014-11-22 19:00:00
6109,Lens,Metz,1.52799,0.819458,2,0,h,2014-11-29 19:00:00
6038,Lens,Monaco,1.29348,1.07556,0,2,a,2014-12-02 20:00:00
6053,Lens,Lille,1.18959,0.723394,1,1,h,2014-12-07 16:00:00
6058,Lens,Montpellier,1.3397,2.02229,3,3,a,2014-12-13 19:00:00
6066,Lens,Nice,1.45073,0.639666,2,0,h,2014-12-19 19:30:00
6002,Lens,Guingamp,0.493296,2.27563,0,2,a,2015-01-10 19:00:00
6010,Lens,Lyon,0.971433,1.1716,0,2,h,2015-01-17 16:00:00
6027,Lens,Reims,2.56238,0.962133,0,0,a,2015-01-25 16:00:00
6031,Lens,SC Bastia,2.08817,0.854747,1,1,h,2015-01-31 19:00:00
5963,Lens,Saint-Etienne,1.66725,1.53111,3,3,a,2015-02-06 19:30:00
5977,Lens,Evian Thonon Gaillard,1.38094,0.81777,0,2,h,2015-02-14 19:00:00
5986,Lens,Caen,1.37945,1.84709,1,4,a,2015-02-21 19:00:00
5995,Lens,Rennes,0.982123,1.3562,0,1,h,2015-02-28 19:00:00
5931,Lens,Paris Saint Germain,0.623449,4.74794,1,4,a,2015-03-07 16:00:00
5946,Lens,Toulouse,0.674633,0.61914,1,0,h,2015-03-14 19:00:00
5959,Lens,Marseille,0.345633,0.383233,0,4,h,2015-03-22 20:00:00
5892,Lens,Bordeaux,1.43634,1.84297,1,2,a,2015-04-05 13:00:00
5902,Lens,Lorient,0.711634,0.487375,0,0,h,2015-04-12 16:00:00
5908,Lens,Metz,0.263045,3.00002,1,3,a,2015-04-18 19:00:00
5923,Lens,Monaco,0.484653,2.34357,0,3,h,2015-04-26 16:00:00
5852,Lens,Lille,0.378157,2.55504,1,3,a,2015-05-03 13:00:00
5862,Lens,Montpellier,0.264804,1.72574,0,1,h,2015-05-10 13:00:00
5865,Lens,Nice,0.971766,2.68396,1,2,a,2015-05-16 20:00:00
5877,Lens,Nantes,0.955303,1.00195,1,0,h,2015-05-23 20:00:00
