,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1875,GFC Ajaccio,Troyes,1.05977,0.394458,0,0,a,2015-08-08 23:00:00
1888,GFC Ajaccio,Paris Saint Germain,0.150143,1.58401,0,2,a,2015-08-16 23:00:00
1895,GFC Ajaccio,Angers,0.384935,1.15678,0,2,h,2015-08-22 22:00:00
1901,GFC Ajaccio,Lille,0.397943,0.756427,0,1,a,2015-08-29 22:00:00
1916,GFC Ajaccio,Monaco,0.970684,2.98213,0,1,h,2015-09-13 16:00:00
1924,GFC Ajaccio,Guingamp,0.222122,1.31453,1,2,a,2015-09-19 22:00:00
1935,GFC Ajaccio,Rennes,0.502333,1.6963,1,1,h,2015-09-23 21:00:00
1943,GFC Ajaccio,Caen,0.270893,2.22963,0,2,a,2015-09-26 22:00:00
1953,GFC Ajaccio,Toulouse,0.807682,0.647119,2,2,h,2015-10-03 22:00:00
1962,GFC Ajaccio,Saint-Etienne,0.0897244,0.616442,0,2,a,2015-10-17 22:00:00
1971,GFC Ajaccio,Nice,0.65245,0.265865,3,1,h,2015-10-24 22:00:00
1981,GFC Ajaccio,Bordeaux,0.269548,0.285349,2,0,h,2015-10-31 23:00:00
1995,GFC Ajaccio,Reims,0.900066,1.40753,2,1,a,2015-11-07 23:00:00
2005,GFC Ajaccio,SC Bastia,1.91295,0.561993,2,1,a,2015-11-22 17:00:00
2012,GFC Ajaccio,Lorient,1.09623,0.987739,1,1,h,2015-11-28 23:00:00
2024,GFC Ajaccio,Montpellier,0.968115,1.46601,2,0,a,2015-12-02 22:00:00
2035,GFC Ajaccio,Nantes,1.34719,1.36347,1,1,h,2015-12-05 23:00:00
2046,GFC Ajaccio,Marseille,1.17612,1.22681,1,1,a,2015-12-13 20:00:00
2057,GFC Ajaccio,Lyon,1.49393,1.1915,2,1,h,2015-12-20 20:00:00
2065,GFC Ajaccio,Monaco,0.452751,1.85303,2,2,a,2016-01-09 23:00:00
2072,GFC Ajaccio,Reims,2.46114,0.653273,2,2,h,2016-01-16 23:00:00
2079,GFC Ajaccio,Rennes,0.354163,1.43229,0,1,a,2016-01-22 23:30:00
2093,GFC Ajaccio,Montpellier,0.930389,1.64948,0,4,h,2016-01-30 23:00:00
2104,GFC Ajaccio,Nantes,0.515582,1.88702,1,3,a,2016-02-03 22:00:00
2112,GFC Ajaccio,Guingamp,0.838579,0.0436037,0,0,h,2016-02-06 23:00:00
2125,GFC Ajaccio,Troyes,2.27489,0.7699,2,3,h,2016-02-13 23:00:00
2132,GFC Ajaccio,Toulouse,1.10248,1.21292,1,1,a,2016-02-20 23:00:00
2151,GFC Ajaccio,Bordeaux,0.182807,1.96034,1,1,a,2016-03-05 23:00:00
2158,GFC Ajaccio,Marseille,1.35918,1.1007,1,1,h,2016-03-09 21:30:00
2161,GFC Ajaccio,Caen,1.1599,0.901377,1,0,h,2016-03-12 23:00:00
2177,GFC Ajaccio,Nice,0.436238,1.96796,0,3,a,2016-03-20 20:00:00
2181,GFC Ajaccio,Saint-Etienne,0.920517,0.56491,0,2,h,2016-04-02 22:00:00
2191,GFC Ajaccio,Angers,0.190747,0.183063,0,0,a,2016-04-09 22:00:00
2204,GFC Ajaccio,Lille,1.06386,1.40357,2,4,h,2016-04-16 22:00:00
2215,GFC Ajaccio,SC Bastia,1.52838,1.71155,3,2,h,2016-04-24 19:00:00
2226,GFC Ajaccio,Lyon,0.252836,0.492569,1,2,a,2016-04-30 23:00:00
2232,GFC Ajaccio,Paris Saint Germain,0.360549,2.04865,0,4,h,2016-05-07 23:00:00
2243,GFC Ajaccio,Lorient,1.46352,1.28701,0,1,a,2016-05-14 23:00:00
