,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
69492,LeftFoot,OpenPlay,MissedShots,0.007956795394420624,72,0,0,Issiaga Sylla,3370,a,GFC Ajaccio,Troyes,Amos Youga,2015-08-08 23:00:00,1875,2015,"(0.725, 0.25799999237060545)"
69491,RightFoot,OpenPlay,MissedShots,0.1052677258849144,62,0,0,Mohamed Larbi,3377,a,GFC Ajaccio,Troyes,Grégory Pujol,2015-08-08 23:00:00,1875,2015,"(0.840999984741211, 0.54)"
69484,RightFoot,Penalty,MissedShots,0.7600951194763184,44,0,0,Mohamed Larbi,3377,a,GFC Ajaccio,Troyes,,2015-08-08 23:00:00,1875,2015,"(0.885, 0.5)"
69489,Head,FromCorner,MissedShots,0.10865838825702667,59,0,0,John Tshibumbu,3379,a,GFC Ajaccio,Troyes,Damjan Djokovic,2015-08-08 23:00:00,1875,2015,"(0.925, 0.53)"
69483,RightFoot,OpenPlay,SavedShot,0.01626574620604515,34,0,0,David Ducourtioux,3376,a,GFC Ajaccio,Troyes,Issiaga Sylla,2015-08-08 23:00:00,1875,2015,"(0.7659999847412109, 0.27)"
69497,Head,FromCorner,MissedShots,0.03517124801874161,90,0,0,Jerome Le Moigne,3374,a,GFC Ajaccio,Troyes,Damjan Djokovic,2015-08-08 23:00:00,1875,2015,"(0.909000015258789, 0.595)"
69479,RightFoot,FromCorner,BlockedShot,0.026359613984823227,7,0,0,Grégory Pujol,3614,a,GFC Ajaccio,Troyes,,2015-08-08 23:00:00,1875,2015,"(0.84, 0.3139999961853027)"
61685,RightFoot,OpenPlay,SavedShot,0.005119591485708952,67,0,2,David Ducourtioux,3376,a,GFC Ajaccio,Paris Saint Germain,,2015-08-16 23:00:00,1888,2015,"(0.544000015258789, 0.26799999237060546)"
61704,LeftFoot,OpenPlay,MissedShots,0.016142601147294044,93,0,2,Khalid Boutaib,3380,a,GFC Ajaccio,Paris Saint Germain,Clément Maury,2015-08-16 23:00:00,1888,2015,"(0.76, 0.669000015258789)"
61668,RightFoot,OpenPlay,BlockedShot,0.02116374857723713,24,0,2,Damjan Djokovic,3375,a,GFC Ajaccio,Paris Saint Germain,Jerome Le Moigne,2015-08-16 23:00:00,1888,2015,"(0.7440000152587891, 0.495)"
61701,RightFoot,OpenPlay,SavedShot,0.01253992784768343,90,0,2,Kévin Mayi,3383,a,GFC Ajaccio,Paris Saint Germain,,2015-08-16 23:00:00,1888,2015,"(0.7180000305175781, 0.49900001525878906)"
61664,Head,OpenPlay,MissedShots,0.032425738871097565,16,0,2,Grégory Pujol,3614,a,GFC Ajaccio,Paris Saint Germain,Damjan Djokovic,2015-08-16 23:00:00,1888,2015,"(0.889000015258789, 0.585)"
61676,RightFoot,OpenPlay,MissedShots,0.020010555163025856,39,0,2,Grégory Pujol,3614,a,GFC Ajaccio,Paris Saint Germain,,2015-08-16 23:00:00,1888,2015,"(0.754000015258789, 0.415)"
61679,Head,FromCorner,BlockedShot,0.026437347754836082,58,0,2,Roderic Filippi,3371,a,GFC Ajaccio,Paris Saint Germain,Damjan Djokovic,2015-08-16 23:00:00,1888,2015,"(0.8969999694824219, 0.40299999237060546)"
61666,LeftFoot,OpenPlay,MissedShots,0.01630377396941185,22,0,2,Jacques Zoua,3378,a,GFC Ajaccio,Paris Saint Germain,Amos Youga,2015-08-16 23:00:00,1888,2015,"(0.74, 0.37799999237060544)"
61805,Head,FromCorner,MissedShots,0.04368549957871437,3,0,2,John Tshibumbu,3379,h,GFC Ajaccio,Angers,Damjan Djokovic,2015-08-22 22:00:00,1895,2015,"(0.9019999694824219, 0.41900001525878905)"
61822,RightFoot,OpenPlay,BlockedShot,0.033626165241003036,73,0,2,Kévin Mayi,3383,h,GFC Ajaccio,Angers,Grégory Pujol,2015-08-22 22:00:00,1895,2015,"(0.7919999694824219, 0.610999984741211)"
61828,RightFoot,OpenPlay,SavedShot,0.04888765513896942,84,0,2,Kévin Mayi,3383,h,GFC Ajaccio,Angers,Jacques Zoua,2015-08-22 22:00:00,1895,2015,"(0.8280000305175781, 0.445)"
61811,RightFoot,OpenPlay,MissedShots,0.013011462986469269,42,0,2,John Tshibumbu,3379,h,GFC Ajaccio,Angers,David Ducourtioux,2015-08-22 22:00:00,1895,2015,"(0.7480000305175781, 0.715)"
61809,Head,OpenPlay,SavedShot,0.12891356647014618,26,0,2,Jacques Zoua,3378,h,GFC Ajaccio,Angers,Damjan Djokovic,2015-08-22 22:00:00,1895,2015,"(0.915, 0.485)"
61808,Head,OpenPlay,MissedShots,0.057475507259368896,23,0,2,Damjan Djokovic,3375,h,GFC Ajaccio,Angers,Alexandre Coeff,2015-08-22 22:00:00,1895,2015,"(0.909000015258789, 0.534000015258789)"
61812,RightFoot,OpenPlay,MissedShots,0.0069625782780349255,57,0,2,Amos Youga,3613,h,GFC Ajaccio,Angers,Alexandre Coeff,2015-08-22 22:00:00,1895,2015,"(0.6469999694824219, 0.355)"
61823,RightFoot,OpenPlay,SavedShot,0.0523725189268589,82,0,2,Grégory Pujol,3614,h,GFC Ajaccio,Angers,Amos Youga,2015-08-22 22:00:00,1895,2015,"(0.8680000305175781, 0.39299999237060546)"
62746,LeftFoot,OpenPlay,MissedShots,0.011105016805231571,68,0,1,Damjan Djokovic,3375,a,GFC Ajaccio,Lille,Khalid Boutaib,2015-08-29 22:00:00,1901,2015,"(0.695, 0.6309999847412109)"
62730,LeftFoot,OpenPlay,BlockedShot,0.01347307302057743,29,0,1,David Ducourtioux,3376,a,GFC Ajaccio,Lille,,2015-08-29 22:00:00,1901,2015,"(0.725, 0.5829999923706055)"
62758,Head,FromCorner,SavedShot,0.05375001206994057,86,0,1,Pablo Martinez,3373,a,GFC Ajaccio,Lille,Damjan Djokovic,2015-08-29 22:00:00,1901,2015,"(0.9130000305175782, 0.5770000076293945)"
62749,LeftFoot,OpenPlay,SavedShot,0.048716913908720016,77,0,1,Issiaga Sylla,3370,a,GFC Ajaccio,Lille,David Ducourtioux,2015-08-29 22:00:00,1901,2015,"(0.89, 0.295)"
62752,LeftFoot,SetPiece,MissedShots,0.03534373268485069,79,0,1,Khalid Boutaib,3380,a,GFC Ajaccio,Lille,Damjan Djokovic,2015-08-29 22:00:00,1901,2015,"(0.9069999694824219, 0.24200000762939453)"
62737,Head,FromCorner,BlockedShot,0.02967408485710621,62,0,1,Kader Mangane,3372,a,GFC Ajaccio,Lille,Damjan Djokovic,2015-08-29 22:00:00,1901,2015,"(0.8859999847412109, 0.43099998474121093)"
62755,RightFoot,OpenPlay,BlockedShot,0.02152794972062111,84,0,1,Khalid Boutaib,3380,a,GFC Ajaccio,Lille,Issiaga Sylla,2015-08-29 22:00:00,1901,2015,"(0.8130000305175781, 0.26600000381469724)"
62732,LeftFoot,DirectFreekick,MissedShots,0.039207421243190765,39,0,1,Damjan Djokovic,3375,a,GFC Ajaccio,Lille,,2015-08-29 22:00:00,1901,2015,"(0.7090000152587891, 0.38799999237060545)"
62748,RightFoot,OpenPlay,SavedShot,0.027594106271862984,71,0,1,Jacques Zoua,3378,a,GFC Ajaccio,Lille,,2015-08-29 22:00:00,1901,2015,"(0.7809999847412109, 0.4)"
62740,RightFoot,OpenPlay,SavedShot,0.02070414088666439,66,0,1,Grégory Pujol,3614,a,GFC Ajaccio,Lille,Jerome Le Moigne,2015-08-29 22:00:00,1901,2015,"(0.7390000152587891, 0.49900001525878906)"
62727,Head,SetPiece,SavedShot,0.04734323173761368,26,0,1,Roderic Filippi,3371,a,GFC Ajaccio,Lille,Damjan Djokovic,2015-08-29 22:00:00,1901,2015,"(0.875999984741211, 0.5220000076293946)"
62731,RightFoot,OpenPlay,MissedShots,0.016727015376091003,34,0,1,Jacques Zoua,3378,a,GFC Ajaccio,Lille,Jerome Le Moigne,2015-08-29 22:00:00,1901,2015,"(0.7130000305175781, 0.415)"
62728,RightFoot,OpenPlay,SavedShot,0.03277594968676567,27,0,1,Jacques Zoua,3378,a,GFC Ajaccio,Lille,Kader Mangane,2015-08-29 22:00:00,1901,2015,"(0.8630000305175781, 0.28)"
62266,RightFoot,OpenPlay,MissedShots,0.014602003619074821,36,0,1,David Ducourtioux,3376,h,GFC Ajaccio,Monaco,Khalid Boutaib,2015-09-13 16:00:00,1916,2015,"(0.7119999694824218, 0.39799999237060546)"
62285,LeftFoot,OpenPlay,MissedShots,0.03074607625603676,65,0,1,Khalid Boutaib,3380,h,GFC Ajaccio,Monaco,Jacques Zoua,2015-09-13 16:00:00,1916,2015,"(0.7780000305175782, 0.48900001525878906)"
62256,LeftFoot,OpenPlay,SavedShot,0.04058537632226944,14,0,1,Damjan Djokovic,3375,h,GFC Ajaccio,Monaco,Khalid Boutaib,2015-09-13 16:00:00,1916,2015,"(0.8680000305175781, 0.6329999923706054)"
62260,LeftFoot,OpenPlay,BlockedShot,0.015030140988528728,18,0,1,Damjan Djokovic,3375,h,GFC Ajaccio,Monaco,Grégory Pujol,2015-09-13 16:00:00,1916,2015,"(0.7069999694824218, 0.5529999923706055)"
62264,LeftFoot,OpenPlay,MissedShots,0.013660282827913761,33,0,1,Damjan Djokovic,3375,h,GFC Ajaccio,Monaco,Grégory Pujol,2015-09-13 16:00:00,1916,2015,"(0.720999984741211, 0.705)"
62288,RightFoot,FromCorner,MissedShots,0.06731235235929489,69,0,1,Issiaga Sylla,3370,h,GFC Ajaccio,Monaco,,2015-09-13 16:00:00,1916,2015,"(0.8780000305175781, 0.5920000076293945)"
62274,LeftFoot,OpenPlay,SavedShot,0.09506727010011673,47,0,1,Damjan Djokovic,3375,h,GFC Ajaccio,Monaco,Jacques Zoua,2015-09-13 16:00:00,1916,2015,"(0.8619999694824219, 0.4929999923706055)"
62290,LeftFoot,OpenPlay,MissedShots,0.028554989024996758,70,0,1,Damjan Djokovic,3375,h,GFC Ajaccio,Monaco,Jacques Zoua,2015-09-13 16:00:00,1916,2015,"(0.7680000305175781, 0.5259999847412109)"
62287,LeftFoot,FromCorner,MissedShots,0.012362714856863022,68,0,1,Issiaga Sylla,3370,h,GFC Ajaccio,Monaco,Kader Mangane,2015-09-13 16:00:00,1916,2015,"(0.79, 0.665)"
62277,LeftFoot,OpenPlay,MissedShots,0.01542346179485321,52,0,1,Issiaga Sylla,3370,h,GFC Ajaccio,Monaco,Damjan Djokovic,2015-09-13 16:00:00,1916,2015,"(0.8009999847412109, 0.3029999923706055)"
62262,LeftFoot,OpenPlay,BlockedShot,0.02323429472744465,28,0,1,Issiaga Sylla,3370,h,GFC Ajaccio,Monaco,David Ducourtioux,2015-09-13 16:00:00,1916,2015,"(0.759000015258789, 0.43900001525878907)"
62252,RightFoot,FromCorner,BlockedShot,0.01910705678164959,3,0,1,David Ducourtioux,3376,h,GFC Ajaccio,Monaco,,2015-09-13 16:00:00,1916,2015,"(0.7440000152587891, 0.5359999847412109)"
