,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
61517,LeftFoot,OpenPlay,SavedShot,0.03099663369357586,72,0,1,Dorian Lévêque,3654,a,Guingamp,Nantes,Thibault Giresse,2015-08-08 23:00:00,1873,2015,"(0.879000015258789, 0.754000015258789)"
61509,LeftFoot,OpenPlay,MissedShots,0.04964056611061096,32,0,1,Yannis Salibur,3473,a,Guingamp,Nantes,,2015-08-08 23:00:00,1873,2015,"(0.9159999847412109, 0.700999984741211)"
61522,LeftFoot,OpenPlay,MissedShots,0.017006205394864082,91,0,1,Yannis Salibur,3473,a,Guingamp,Nantes,Younousse Sankhare,2015-08-08 23:00:00,1873,2015,"(0.7480000305175781, 0.29100000381469726)"
61519,LeftFoot,OpenPlay,MissedShots,0.06558305025100708,81,0,1,Sloan Privat,3478,a,Guingamp,Nantes,Nicolas Benezet,2015-08-08 23:00:00,1873,2015,"(0.865, 0.435)"
61520,LeftFoot,OpenPlay,BlockedShot,0.03999098017811775,82,0,1,Sloan Privat,3478,a,Guingamp,Nantes,Nicolas Benezet,2015-08-08 23:00:00,1873,2015,"(0.89, 0.725999984741211)"
61504,LeftFoot,OpenPlay,SavedShot,0.018731387332081795,7,0,1,Yannis Salibur,3473,a,Guingamp,Nantes,,2015-08-08 23:00:00,1873,2015,"(0.7480000305175781, 0.5220000076293946)"
61513,Head,FromCorner,SavedShot,0.11206156760454178,56,0,1,Moustapha Diallo,3575,a,Guingamp,Nantes,Thibault Giresse,2015-08-08 23:00:00,1873,2015,"(0.935, 0.5459999847412109)"
61508,LeftFoot,OpenPlay,SavedShot,0.016984712332487106,28,0,1,Nill de Pauw,3702,a,Guingamp,Nantes,,2015-08-08 23:00:00,1873,2015,"(0.8180000305175781, 0.24799999237060547)"
61516,RightFoot,OpenPlay,MissedShots,0.021519994363188744,69,0,1,Nill de Pauw,3702,a,Guingamp,Nantes,Younousse Sankhare,2015-08-08 23:00:00,1873,2015,"(0.815, 0.24200000762939453)"
61521,RightFoot,OpenPlay,OwnGoal,0.0,88,0,1,Jérémy Sorbon,3618,a,Guingamp,Nantes,,2015-08-08 23:00:00,1873,2015,"(0.06400000095367432, 0.4470000076293945)"
61512,LeftFoot,OpenPlay,BlockedShot,0.03424980491399765,55,0,1,Younousse Sankhare,3474,a,Guingamp,Nantes,Thibault Giresse,2015-08-08 23:00:00,1873,2015,"(0.8190000152587891, 0.6759999847412109)"
