,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
61428,RightFoot,OpenPlay,SavedShot,0.1489756852388382,11,0,0,Raphael Guerreiro,3455,a,Lorient,Lyon,,2015-08-09 23:00:00,1878,2015,"(0.93, 0.48700000762939455)"
61451,LeftFoot,OpenPlay,SavedShot,0.019725393503904343,92,0,0,Maxime Barthelme,3459,a,Lorient,Lyon,Lamine Gassama,2015-08-09 23:00:00,1878,2015,"(0.7709999847412109, 0.3120000076293945)"
61418,RightFoot,OpenPlay,SavedShot,0.012786392122507095,1,0,0,Benjamin Jeannot,3460,a,Lorient,Lyon,Benjamin Lecomte,2015-08-09 23:00:00,1878,2015,"(0.7419999694824219, 0.6430000305175781)"
61433,RightFoot,OpenPlay,BlockedShot,0.020134907215833664,19,0,0,Benjamin Jeannot,3460,a,Lorient,Lyon,,2015-08-09 23:00:00,1878,2015,"(0.74, 0.3990000152587891)"
61435,RightFoot,OpenPlay,BlockedShot,0.02598516270518303,22,0,0,Benjamin Jeannot,3460,a,Lorient,Lyon,Raphael Guerreiro,2015-08-09 23:00:00,1878,2015,"(0.8230000305175781, 0.2929999923706055)"
61439,LeftFoot,OpenPlay,BlockedShot,0.4492626488208771,36,0,0,Raphael Guerreiro,3455,a,Lorient,Lyon,Walid Mesloub,2015-08-09 23:00:00,1878,2015,"(0.9690000152587891, 0.700999984741211)"
61440,Head,OpenPlay,SavedShot,0.07723960280418396,39,0,0,Benjamin Moukandjo,3570,a,Lorient,Lyon,,2015-08-09 23:00:00,1878,2015,"(0.8919999694824219, 0.4540000152587891)"
61450,RightFoot,OpenPlay,BlockedShot,0.014378281310200691,89,0,0,Romain Philippoteaux,3463,a,Lorient,Lyon,,2015-08-09 23:00:00,1878,2015,"(0.730999984741211, 0.495)"
61625,LeftFoot,DirectFreekick,BlockedShot,0.053318239748477936,16,1,1,Raphael Guerreiro,3455,h,Lorient,SC Bastia,,2015-08-16 19:00:00,1887,2015,"(0.764000015258789, 0.3110000038146973)"
61630,LeftFoot,OpenPlay,BlockedShot,0.016545437276363373,52,1,1,Raphael Guerreiro,3455,h,Lorient,SC Bastia,Vincent Le Goff,2015-08-16 19:00:00,1887,2015,"(0.7380000305175781, 0.5320000076293945)"
61628,RightFoot,OpenPlay,SavedShot,0.0707387775182724,45,1,1,Majeed Waris,3461,h,Lorient,SC Bastia,Benjamin Moukandjo,2015-08-16 19:00:00,1887,2015,"(0.8630000305175781, 0.40099998474121096)"
61635,LeftFoot,OpenPlay,MissedShots,0.3085109293460846,73,1,1,Majeed Waris,3461,h,Lorient,SC Bastia,Raphael Guerreiro,2015-08-16 19:00:00,1887,2015,"(0.9619999694824218, 0.5979999923706054)"
61640,RightFoot,OpenPlay,MissedShots,0.011791191063821316,86,1,1,Majeed Waris,3461,h,Lorient,SC Bastia,Walid Mesloub,2015-08-16 19:00:00,1887,2015,"(0.730999984741211, 0.39)"
61644,RightFoot,OpenPlay,MissedShots,0.027355486527085304,87,1,1,Majeed Waris,3461,h,Lorient,SC Bastia,Moryke Fofana,2015-08-16 19:00:00,1887,2015,"(0.8419999694824218, 0.725999984741211)"
61627,LeftFoot,OpenPlay,SavedShot,0.007876611314713955,31,1,1,Vincent Le Goff,3464,h,Lorient,SC Bastia,,2015-08-16 19:00:00,1887,2015,"(0.7090000152587891, 0.7190000152587891)"
61632,Head,OpenPlay,MissedShots,0.36352673172950745,59,1,1,Majeed Waris,3461,h,Lorient,SC Bastia,Wesley Lautoa,2015-08-16 19:00:00,1887,2015,"(0.924000015258789, 0.46)"
61647,RightFoot,Penalty,Goal,0.7600951194763184,90,1,1,Benjamin Moukandjo,3570,h,Lorient,SC Bastia,,2015-08-16 19:00:00,1887,2015,"(0.885, 0.5)"
61626,RightFoot,OpenPlay,MissedShots,0.01300059538334608,25,1,1,Didier Ndong,1720,h,Lorient,SC Bastia,Benjamin Jeannot,2015-08-16 19:00:00,1887,2015,"(0.6819999694824219, 0.4929999923706055)"
61633,Head,OpenPlay,MissedShots,0.059167176485061646,70,1,1,Benjamin Moukandjo,3570,h,Lorient,SC Bastia,Lamine Gassama,2015-08-16 19:00:00,1887,2015,"(0.93, 0.49700000762939456)"
61637,RightFoot,OpenPlay,SavedShot,0.025150155648589134,74,1,1,Benjamin Moukandjo,3570,h,Lorient,SC Bastia,Walid Mesloub,2015-08-16 19:00:00,1887,2015,"(0.754000015258789, 0.505)"
61851,LeftFoot,OpenPlay,SavedShot,0.03430520370602608,25,0,1,Raphael Guerreiro,3455,h,Lorient,Saint-Etienne,Francois Bellugou,2015-08-23 19:00:00,1897,2015,"(0.8590000152587891, 0.72)"
61856,RightFoot,SetPiece,MissedShots,0.06264389306306839,44,0,1,Raphael Guerreiro,3455,h,Lorient,Saint-Etienne,,2015-08-23 19:00:00,1897,2015,"(0.845, 0.5220000076293946)"
61863,LeftFoot,DirectFreekick,MissedShots,0.03944772854447365,71,0,1,Raphael Guerreiro,3455,h,Lorient,Saint-Etienne,,2015-08-23 19:00:00,1897,2015,"(0.7290000152587891, 0.3129999923706055)"
61858,Head,OpenPlay,MissedShots,0.13329844176769257,45,0,1,Benjamin Moukandjo,3570,h,Lorient,Saint-Etienne,Lamine Gassama,2015-08-23 19:00:00,1897,2015,"(0.9309999847412109, 0.5279999923706055)"
61861,LeftFoot,OpenPlay,BlockedShot,0.03211802989244461,58,0,1,Vincent Le Goff,3464,h,Lorient,Saint-Etienne,Walid Mesloub,2015-08-23 19:00:00,1897,2015,"(0.8480000305175781, 0.715)"
61868,RightFoot,OpenPlay,BlockedShot,0.03498481959104538,90,0,1,Benjamin Jeannot,3460,h,Lorient,Saint-Etienne,Wesley Lautoa,2015-08-23 19:00:00,1897,2015,"(0.7759999847412109, 0.5670000076293945)"
61860,LeftFoot,OpenPlay,MissedShots,0.11498284339904785,56,0,1,Didier Ndong,1720,h,Lorient,Saint-Etienne,Raphael Guerreiro,2015-08-23 19:00:00,1897,2015,"(0.915, 0.5070000076293946)"
61869,LeftFoot,OpenPlay,BlockedShot,0.015152291394770145,90,0,1,Vincent Le Goff,3464,h,Lorient,Saint-Etienne,,2015-08-23 19:00:00,1897,2015,"(0.71, 0.5129999923706055)"
61857,RightFoot,SetPiece,BlockedShot,0.050166595727205276,44,0,1,Didier Ndong,1720,h,Lorient,Saint-Etienne,,2015-08-23 19:00:00,1897,2015,"(0.8280000305175781, 0.48700000762939455)"
61855,Head,SetPiece,SavedShot,0.03513392433524132,42,0,1,Lamine Koné,728,h,Lorient,Saint-Etienne,Walid Mesloub,2015-08-23 19:00:00,1897,2015,"(0.96, 0.37400001525878906)"
62096,RightFoot,OpenPlay,MissedShots,0.019224822521209717,63,1,4,Benjamin Jeannot,3460,a,Lorient,Reims,Lamine Gassama,2015-08-29 22:00:00,1904,2015,"(0.7669999694824219, 0.2989999961853027)"
62098,RightFoot,OpenPlay,MissedShots,0.014726933091878891,64,1,4,Benjamin Jeannot,3460,a,Lorient,Reims,Denis Bouanga,2015-08-29 22:00:00,1904,2015,"(0.73, 0.46599998474121096)"
62109,RightFoot,OpenPlay,SavedShot,0.013239584863185883,80,1,4,Benjamin Jeannot,3460,a,Lorient,Reims,,2015-08-29 22:00:00,1904,2015,"(0.7619999694824219, 0.375)"
62088,RightFoot,OpenPlay,SavedShot,0.017724717035889626,47,1,4,Benjamin Moukandjo,3570,a,Lorient,Reims,Vincent Le Goff,2015-08-29 22:00:00,1904,2015,"(0.75, 0.6919999694824219)"
62060,RightFoot,DirectFreekick,BlockedShot,0.0400666818022728,14,1,4,Denis Bouanga,3781,a,Lorient,Reims,,2015-08-29 22:00:00,1904,2015,"(0.710999984741211, 0.61)"
62085,RightFoot,OpenPlay,MissedShots,0.02183406986296177,41,1,4,Walid Mesloub,3458,a,Lorient,Reims,Vincent Le Goff,2015-08-29 22:00:00,1904,2015,"(0.754000015258789, 0.595999984741211)"
62080,RightFoot,OpenPlay,BlockedShot,0.02609807439148426,38,1,4,Walid Mesloub,3458,a,Lorient,Reims,Denis Bouanga,2015-08-29 22:00:00,1904,2015,"(0.789000015258789, 0.34099998474121096)"
