,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1871,Marseille,Caen,2.17995,0.945659,0,1,h,2015-08-08 23:00:00
1886,Marseille,Reims,0.398183,0.941285,0,1,a,2015-08-16 16:00:00
1898,Marseille,Troyes,3.2103,0.267975,6,0,h,2015-08-23 23:00:00
1899,Marseille,Guingamp,0.910693,1.78623,0,2,a,2015-08-28 22:30:00
1918,Marseille,SC Bastia,1.62468,0.490543,4,1,h,2015-09-13 23:00:00
1928,Marseille,Lyon,1.04752,2.16016,1,1,h,2015-09-20 23:00:00
1936,Marseille,Toulouse,0.649146,0.863681,1,1,a,2015-09-23 23:00:00
1944,Marseille,Angers,1.57087,1.09501,1,2,h,2015-09-27 16:00:00
1957,Marseille,Paris Saint Germain,1.77639,3.63872,1,2,a,2015-10-04 23:00:00
1965,Marseille,Lorient,1.64811,0.513929,1,1,h,2015-10-18 16:00:00
1975,Marseille,Lille,1.30852,0.975881,2,1,a,2015-10-25 20:00:00
1987,Marseille,Nantes,0.538246,0.376484,1,0,a,2015-11-02 00:00:00
1996,Marseille,Nice,0.631141,0.414738,0,1,h,2015-11-08 20:00:00
2008,Marseille,Saint-Etienne,1.77851,0.711899,2,0,a,2015-11-23 00:00:00
2018,Marseille,Monaco,1.78687,1.82368,3,3,h,2015-11-30 00:00:00
2028,Marseille,Rennes,0.823838,1.06062,1,0,a,2015-12-04 00:00:00
2036,Marseille,Montpellier,1.5439,0.840059,2,2,h,2015-12-06 17:00:00
2046,Marseille,GFC Ajaccio,1.22681,1.17612,1,1,h,2015-12-13 20:00:00
2058,Marseille,Bordeaux,0.318664,1.39029,1,1,a,2015-12-21 00:00:00
2068,Marseille,Guingamp,1.01882,0.492774,0,0,h,2016-01-11 00:00:00
2077,Marseille,Caen,1.98866,0.710914,3,1,a,2016-01-17 20:00:00
2088,Marseille,Lyon,0.872984,2.48082,1,1,a,2016-01-25 00:00:00
2089,Marseille,Lille,1.78823,1.50673,1,1,h,2016-01-29 23:30:00
2100,Marseille,Montpellier,0.141059,0.509503,1,0,a,2016-02-03 00:00:00
2118,Marseille,Paris Saint Germain,0.985051,1.74708,1,2,h,2016-02-08 00:00:00
2128,Marseille,Nice,2.12875,0.82826,1,1,a,2016-02-15 00:00:00
2135,Marseille,Saint-Etienne,0.839334,0.984151,1,1,h,2016-02-21 17:00:00
2154,Marseille,Toulouse,1.60371,1.57247,1,1,h,2016-03-06 17:00:00
2158,Marseille,GFC Ajaccio,1.1007,1.35918,1,1,a,2016-03-09 21:30:00
2160,Marseille,Lorient,1.26139,1.56973,1,1,a,2016-03-12 20:00:00
2169,Marseille,Rennes,2.00585,1.82004,2,5,h,2016-03-18 23:30:00
2187,Marseille,SC Bastia,0.534944,0.967693,1,2,a,2016-04-03 19:00:00
2198,Marseille,Bordeaux,0.37461,0.547844,0,0,h,2016-04-10 23:00:00
2208,Marseille,Monaco,0.469578,1.0442,1,2,a,2016-04-17 23:00:00
2211,Marseille,Nantes,0.795714,0.205873,1,1,h,2016-04-24 16:00:00
2227,Marseille,Angers,1.40152,0.464125,1,0,a,2016-05-01 19:00:00
2229,Marseille,Reims,2.14991,1.64589,1,0,h,2016-05-07 23:00:00
2242,Marseille,Troyes,2.45564,0.737584,1,1,a,2016-05-14 23:00:00
