,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
61523,RightFoot,OpenPlay,Goal,0.10003240406513214,6,1,2,Valère Germain,3309,h,Nice,Monaco,Alassane Pléa,2015-08-08 23:00:00,1874,2015,"(0.9, 0.534000015258789)"
61542,RightFoot,OpenPlay,BlockedShot,0.06657153367996216,72,1,2,Nampalys Mendy,1785,h,Nice,Monaco,,2015-08-08 23:00:00,1874,2015,"(0.87, 0.5609999847412109)"
61529,LeftFoot,DirectFreekick,MissedShots,0.03139779716730118,41,1,2,Hatem Ben Arfa,3638,h,Nice,Monaco,,2015-08-08 23:00:00,1874,2015,"(0.8819999694824219, 0.06)"
61524,RightFoot,OpenPlay,MissedShots,0.014277994632720947,21,1,2,Alassane Pléa,3310,h,Nice,Monaco,Vincent Koziello,2015-08-08 23:00:00,1874,2015,"(0.7080000305175781, 0.3609999847412109)"
61549,LeftFoot,OpenPlay,MissedShots,0.11351136863231659,90,1,2,Alassane Pléa,3310,h,Nice,Monaco,Valère Germain,2015-08-08 23:00:00,1874,2015,"(0.9330000305175781, 0.5529999923706055)"
61530,RightFoot,OpenPlay,SavedShot,0.13408319652080536,46,1,2,Valère Germain,3309,h,Nice,Monaco,Jean Michael Seri,2015-08-08 23:00:00,1874,2015,"(0.895, 0.5629999923706055)"
61761,Head,FromCorner,Goal,0.45316722989082336,41,3,3,Maxime Le Marchand,3304,a,Nice,Troyes,Alassane Pléa,2015-08-15 22:00:00,1881,2015,"(0.9530000305175781, 0.54)"
61801,RightFoot,OpenPlay,MissedShots,0.04427007958292961,90,3,3,Jean Michael Seri,3312,a,Nice,Troyes,Alassane Pléa,2015-08-15 22:00:00,1881,2015,"(0.7909999847412109, 0.55)"
61798,RightFoot,OpenPlay,BlockedShot,0.02360553853213787,83,3,3,Jean Michael Seri,3312,a,Nice,Troyes,Kevin Gomis,2015-08-15 22:00:00,1881,2015,"(0.750999984741211, 0.3270000076293945)"
61760,Head,FromCorner,SavedShot,0.2885247468948364,40,3,3,Paul Baysse,3305,a,Nice,Troyes,,2015-08-15 22:00:00,1881,2015,"(0.919000015258789, 0.52)"
