,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1869,Paris Saint Germain,Lille,1.33457,0.914879,1,0,a,2015-08-07 22:30:00
1888,Paris Saint Germain,GFC Ajaccio,1.58401,0.150143,2,0,h,2015-08-16 23:00:00
1889,Paris Saint Germain,Montpellier,0.755727,0.372892,1,0,a,2015-08-21 22:30:00
1908,Paris Saint Germain,Monaco,2.13619,0.13557,3,0,a,2015-08-30 23:00:00
1909,Paris Saint Germain,Bordeaux,1.55094,0.858052,2,2,h,2015-09-11 22:30:00
1920,Paris Saint Germain,Reims,1.48008,0.871294,1,1,a,2015-09-19 19:30:00
1930,Paris Saint Germain,Guingamp,3.11111,0.415048,3,0,h,2015-09-22 23:00:00
1939,Paris Saint Germain,Nantes,1.86069,0.54464,4,1,a,2015-09-26 19:30:00
1957,Paris Saint Germain,Marseille,3.63872,1.77639,2,1,h,2015-10-04 23:00:00
1959,Paris Saint Germain,SC Bastia,1.78051,0.631104,2,0,a,2015-10-17 19:00:00
1977,Paris Saint Germain,Saint-Etienne,4.46576,0.565349,4,1,h,2015-10-26 00:00:00
1978,Paris Saint Germain,Rennes,0.699325,0.185016,1,0,a,2015-10-30 23:30:00
1990,Paris Saint Germain,Toulouse,2.03364,0.218218,5,0,h,2015-11-07 20:00:00
2000,Paris Saint Germain,Lorient,1.66927,1.05284,2,1,a,2015-11-21 20:00:00
2010,Paris Saint Germain,Troyes,3.14432,0.294756,4,1,h,2015-11-28 20:00:00
2019,Paris Saint Germain,Angers,0.653705,0.589837,0,0,a,2015-12-01 22:00:00
2029,Paris Saint Germain,Nice,3.77388,0.562786,3,0,a,2015-12-04 23:30:00
2048,Paris Saint Germain,Lyon,2.93193,0.19264,5,1,h,2015-12-14 00:00:00
2050,Paris Saint Germain,Caen,2.46206,1.11522,3,0,a,2015-12-19 20:00:00
2059,Paris Saint Germain,SC Bastia,2.58941,0.227448,2,0,h,2016-01-08 23:30:00
2070,Paris Saint Germain,Toulouse,0.851646,0.672012,1,0,a,2016-01-16 20:00:00
2080,Paris Saint Germain,Angers,2.62942,0.338627,5,1,h,2016-01-23 20:00:00
2098,Paris Saint Germain,Saint-Etienne,2.05075,0.66288,2,0,a,2016-02-01 00:00:00
2107,Paris Saint Germain,Lorient,2.60881,0.513408,3,1,h,2016-02-04 00:00:00
2118,Paris Saint Germain,Marseille,1.74708,0.985051,2,1,a,2016-02-08 00:00:00
2120,Paris Saint Germain,Lille,1.71392,0.0978456,0,0,h,2016-02-13 20:00:00
2130,Paris Saint Germain,Reims,2.123,0.678292,4,1,h,2016-02-20 20:00:00
2146,Paris Saint Germain,Lyon,0.341938,1.44709,1,2,a,2016-02-29 00:00:00
2148,Paris Saint Germain,Montpellier,1.58349,0.238527,0,0,h,2016-03-05 20:00:00
2166,Paris Saint Germain,Troyes,4.30333,1.37172,9,0,a,2016-03-13 17:00:00
2178,Paris Saint Germain,Monaco,2.31249,1.90627,0,2,h,2016-03-21 00:00:00
2180,Paris Saint Germain,Nice,2.07953,0.571402,4,1,h,2016-04-02 19:00:00
2190,Paris Saint Germain,Guingamp,2.09637,0.381495,2,0,a,2016-04-09 19:00:00
2200,Paris Saint Germain,Caen,3.92379,0.801306,6,0,h,2016-04-16 19:00:00
2218,Paris Saint Germain,Rennes,3.8578,0.233848,4,0,h,2016-04-29 22:30:00
2232,Paris Saint Germain,GFC Ajaccio,2.04865,0.360549,4,0,a,2016-05-07 23:00:00
2238,Paris Saint Germain,Bordeaux,2.09697,0.869861,1,1,a,2016-05-11 22:30:00
2244,Paris Saint Germain,Nantes,4.17612,0.561186,4,0,h,2016-05-14 23:00:00
