,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
61328,LeftFoot,OpenPlay,SavedShot,0.034440044313669205,84,1,2,Ola Toivonen,739,a,Rennes,SC Bastia,,2015-08-08 23:00:00,1870,2015,"(0.7930000305175782, 0.57)"
61305,RightFoot,OpenPlay,MissedShots,0.01596206985414028,27,1,2,Pedro Henrique,3225,a,Rennes,SC Bastia,Gelson Fernandes,2015-08-08 23:00:00,1870,2015,"(0.7019999694824218, 0.405)"
61317,RightFoot,OpenPlay,SavedShot,0.10537894815206528,45,1,2,Pedro Henrique,3225,a,Rennes,SC Bastia,,2015-08-08 23:00:00,1870,2015,"(0.89, 0.45)"
61309,Head,OpenPlay,Goal,0.5788865685462952,38,1,2,Giovanni Sio,3228,a,Rennes,SC Bastia,Ludovic Baal,2015-08-08 23:00:00,1870,2015,"(0.9569999694824218, 0.46799999237060547)"
61333,RightFoot,OpenPlay,BlockedShot,0.043210938572883606,92,1,2,Pedro Mendes,3221,a,Rennes,SC Bastia,,2015-08-08 23:00:00,1870,2015,"(0.8059999847412109, 0.5179999923706055)"
61299,RightFoot,OpenPlay,MissedShots,0.020861567929387093,22,1,2,Pedro Henrique,3225,a,Rennes,SC Bastia,Pedro Mendes,2015-08-08 23:00:00,1870,2015,"(0.799000015258789, 0.575)"
61725,RightFoot,OpenPlay,Goal,0.01781778782606125,84,1,0,Kamil Grosicki,3231,h,Rennes,Montpellier,Ludovic Baal,2015-08-15 22:00:00,1882,2015,"(0.79, 0.8340000152587891)"
61717,Head,FromCorner,MissedShots,0.026151342317461967,45,1,0,Mexer,3626,h,Rennes,Montpellier,Pedro Henrique,2015-08-15 22:00:00,1882,2015,"(0.9159999847412109, 0.4420000076293945)"
61721,LeftFoot,OpenPlay,MissedShots,0.02257034182548523,55,1,0,Pedro Henrique,3225,h,Rennes,Montpellier,Pedro Mendes,2015-08-15 22:00:00,1882,2015,"(0.750999984741211, 0.47900001525878905)"
61715,RightFoot,DirectFreekick,MissedShots,0.057018864899873734,9,1,0,Pedro Henrique,3225,h,Rennes,Montpellier,,2015-08-15 22:00:00,1882,2015,"(0.754000015258789, 0.64)"
