,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1876,Toulouse,Saint-Etienne,0.483519,0.928139,2,1,h,2015-08-09 19:00:00
1884,Toulouse,Caen,1.12809,1.53584,0,1,a,2015-08-15 22:00:00
1893,Toulouse,Monaco,2.0162,1.42714,1,1,h,2015-08-22 22:00:00
1905,Toulouse,Rennes,1.40577,1.91483,1,3,a,2015-08-29 22:00:00
1913,Toulouse,Reims,2.22332,0.742111,2,2,h,2015-09-12 22:00:00
1925,Toulouse,Bordeaux,1.57594,2.15522,1,1,a,2015-09-20 16:00:00
1936,Toulouse,Marseille,0.863681,0.649146,1,1,h,2015-09-23 23:00:00
1941,Toulouse,SC Bastia,1.182,1.8254,0,3,a,2015-09-26 22:00:00
1953,Toulouse,GFC Ajaccio,0.647119,0.807682,2,2,a,2015-10-03 22:00:00
1963,Toulouse,Angers,1.66935,0.362657,1,2,h,2015-10-17 22:00:00
1969,Toulouse,Lyon,0.726184,2.27945,0,3,a,2015-10-23 22:30:00
1984,Toulouse,Montpellier,0.709547,0.356524,1,1,h,2015-10-31 23:00:00
1990,Toulouse,Paris Saint Germain,0.218218,2.03364,0,5,a,2015-11-07 20:00:00
2001,Toulouse,Guingamp,0.978971,1.40676,0,2,a,2015-11-21 23:00:00
2013,Toulouse,Nice,2.32171,0.369796,2,0,h,2015-11-28 23:00:00
2022,Toulouse,Troyes,2.22313,1.02724,3,0,a,2015-12-02 22:00:00
2032,Toulouse,Lorient,2.28205,1.01913,2,3,h,2015-12-05 23:00:00
2041,Toulouse,Nantes,0.663031,1.06156,1,1,a,2015-12-12 23:00:00
2054,Toulouse,Lille,1.09533,1.53278,1,1,h,2015-12-19 23:00:00
2062,Toulouse,Reims,1.79276,0.663137,3,1,a,2016-01-09 23:00:00
2070,Toulouse,Paris Saint Germain,0.672012,0.851646,0,1,h,2016-01-16 20:00:00
2086,Toulouse,Monaco,1.39268,3.0319,0,4,a,2016-01-24 17:00:00
2095,Toulouse,Guingamp,2.35913,1.18688,1,2,h,2016-01-30 23:00:00
2101,Toulouse,Nice,0.736535,1.26807,0,1,a,2016-02-03 22:00:00
2115,Toulouse,Nantes,0.560312,0.793973,0,0,h,2016-02-06 23:00:00
2124,Toulouse,Montpellier,0.508883,1.1956,0,2,a,2016-02-13 23:00:00
2132,Toulouse,GFC Ajaccio,1.21292,1.10248,1,1,h,2016-02-20 23:00:00
2141,Toulouse,Rennes,0.489643,1.31675,1,2,h,2016-02-27 23:00:00
2154,Toulouse,Marseille,1.57247,1.60371,1,1,a,2016-03-06 17:00:00
2165,Toulouse,Bordeaux,3.99474,0.551943,4,0,h,2016-03-12 23:00:00
2172,Toulouse,Lille,0.904971,0.263497,0,1,a,2016-03-19 23:00:00
2185,Toulouse,Caen,0.871213,0.241685,2,0,h,2016-04-02 22:00:00
2195,Toulouse,SC Bastia,1.24664,0.0534995,4,0,h,2016-04-09 22:00:00
2203,Toulouse,Lorient,0.739061,0.358837,1,1,a,2016-04-16 22:00:00
2210,Toulouse,Lyon,1.50107,1.08627,2,3,h,2016-04-23 19:30:00
2220,Toulouse,Saint-Etienne,2.18848,0.43469,0,0,a,2016-04-30 19:00:00
2235,Toulouse,Troyes,1.04631,0.142776,1,0,h,2016-05-07 23:00:00
2248,Toulouse,Angers,2.12896,0.21944,3,2,a,2016-05-14 23:00:00
