,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
69485,RightFoot,OpenPlay,MissedShots,0.02493366226553917,47,0,0,Lossemy Karaboue,3434,h,Troyes,GFC Ajaccio,Corentin Jean,2015-08-08 23:00:00,1875,2015,"(0.8380000305175781, 0.765)"
69493,LeftFoot,OpenPlay,MissedShots,0.03330371156334877,77,0,0,Henri Bienvenu,3612,h,Troyes,GFC Ajaccio,Chaouki Ben Saada,2015-08-08 23:00:00,1875,2015,"(0.904000015258789, 0.735999984741211)"
69481,RightFoot,SetPiece,MissedShots,0.01398434117436409,19,0,0,Jessy Pi,3439,h,Troyes,GFC Ajaccio,Yoann Court,2015-08-08 23:00:00,1875,2015,"(0.7290000152587891, 0.25)"
69486,LeftFoot,OpenPlay,MissedShots,0.06343955546617508,53,0,0,Jessy Pi,3439,h,Troyes,GFC Ajaccio,Fabien Camus,2015-08-08 23:00:00,1875,2015,"(0.825, 0.544000015258789)"
69490,RightFoot,OpenPlay,MissedShots,0.015134201385080814,60,0,0,Jessy Pi,3439,h,Troyes,GFC Ajaccio,,2015-08-08 23:00:00,1875,2015,"(0.7340000152587891, 0.4909999847412109)"
69487,RightFoot,OpenPlay,SavedShot,0.05287008360028267,55,0,0,Fabien Camus,3441,h,Troyes,GFC Ajaccio,Corentin Jean,2015-08-08 23:00:00,1875,2015,"(0.9130000305175782, 0.35400001525878905)"
69494,LeftFoot,OpenPlay,MissedShots,0.011776743456721306,78,0,0,Chaouki Ben Saada,3442,h,Troyes,GFC Ajaccio,Jonathan Pereira,2015-08-08 23:00:00,1875,2015,"(0.735, 0.17200000762939452)"
69488,RightFoot,OpenPlay,SavedShot,0.058345165103673935,55,0,0,Corentin Jean,3445,h,Troyes,GFC Ajaccio,Benjamin Nivet,2015-08-08 23:00:00,1875,2015,"(0.9680000305175781, 0.33299999237060546)"
69482,RightFoot,OpenPlay,BlockedShot,0.029470030218362808,32,0,0,Corentin Jean,3445,h,Troyes,GFC Ajaccio,Lossemy Karaboue,2015-08-08 23:00:00,1875,2015,"(0.8130000305175781, 0.674000015258789)"
69496,RightFoot,OpenPlay,MissedShots,0.010567382909357548,89,0,0,Lossemy Karaboue,3434,h,Troyes,GFC Ajaccio,Jessy Pi,2015-08-08 23:00:00,1875,2015,"(0.68, 0.62)"
69495,RightFoot,OpenPlay,SavedShot,0.06375235319137573,87,0,0,Jimmy Cabot,3456,h,Troyes,GFC Ajaccio,Jonathan Pereira,2015-08-08 23:00:00,1875,2015,"(0.945, 0.3029999923706055)"
69480,LeftFoot,OpenPlay,SavedShot,0.016880998387932777,13,0,0,Yoann Court,3446,h,Troyes,GFC Ajaccio,Fabien Camus,2015-08-08 23:00:00,1875,2015,"(0.740999984741211, 0.4540000152587891)"
61794,RightFoot,OpenPlay,Goal,0.009542570449411869,76,3,3,Fabien Camus,3441,h,Troyes,Nice,Lossemy Karaboue,2015-08-15 22:00:00,1881,2015,"(0.7090000152587891, 0.5029999923706054)"
61802,RightFoot,SetPiece,ShotOnPost,0.3269599676132202,92,3,3,Thiago Xavier,3447,h,Troyes,Nice,Fabien Camus,2015-08-15 22:00:00,1881,2015,"(0.9309999847412109, 0.5129999923706055)"
61792,RightFoot,OpenPlay,MissedShots,0.009471536614000797,75,3,3,Jessy Pi,3439,h,Troyes,Nice,Corentin Jean,2015-08-15 22:00:00,1881,2015,"(0.745, 0.22700000762939454)"
61788,RightFoot,OpenPlay,SavedShot,0.08210199326276779,62,3,3,Thomas Ayasse,3611,h,Troyes,Nice,Lossemy Karaboue,2015-08-15 22:00:00,1881,2015,"(0.915, 0.655)"
61803,LeftFoot,SetPiece,Goal,0.5893000364303589,92,3,3,Thiago Xavier,3447,h,Troyes,Nice,,2015-08-15 22:00:00,1881,2015,"(0.97, 0.555)"
61773,LeftFoot,DirectFreekick,MissedShots,0.03426892310380936,45,3,3,Stéphane Darbion,3438,h,Troyes,Nice,,2015-08-15 22:00:00,1881,2015,"(0.71, 0.3170000076293945)"
61757,LeftFoot,OpenPlay,BlockedShot,0.00787857361137867,29,3,3,Yoann Court,3446,h,Troyes,Nice,Jessy Pi,2015-08-15 22:00:00,1881,2015,"(0.7369999694824219, 0.7669999694824219)"
61774,LeftFoot,DirectFreekick,SavedShot,0.058445222675800323,47,3,3,Stéphane Darbion,3438,h,Troyes,Nice,,2015-08-15 22:00:00,1881,2015,"(0.795, 0.27)"
61752,RightFoot,OpenPlay,Goal,0.05138138309121132,2,3,3,Corentin Jean,3445,h,Troyes,Nice,Mory Kone,2015-08-15 22:00:00,1881,2015,"(0.9359999847412109, 0.3120000076293945)"
61755,RightFoot,OpenPlay,SavedShot,0.09715956449508667,23,3,3,Corentin Jean,3445,h,Troyes,Nice,Lossemy Karaboue,2015-08-15 22:00:00,1881,2015,"(0.8969999694824219, 0.30100000381469727)"
61914,RightFoot,OpenPlay,SavedShot,0.01710287109017372,72,0,6,Fabien Camus,3441,a,Troyes,Marseille,Benjamin Nivet,2015-08-23 23:00:00,1898,2015,"(0.8190000152587891, 0.2539999961853027)"
