,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103109,LeftFoot,FromCorner,Goal,0.044905465096235275,31,3,2,Ronny Rodelin,3526,h,Caen,Lorient,,2016-08-13 22:00:00,2253,2016,"(0.845, 0.33599998474121096)"
103118,LeftFoot,OpenPlay,MissedShots,0.05084225907921791,81,3,2,Vincent Bessat,3525,h,Caen,Lorient,Steed Malbranque,2016-08-13 22:00:00,2253,2016,"(0.879000015258789, 0.6780000305175782)"
103107,LeftFoot,OpenPlay,BlockedShot,0.053178902715444565,31,3,2,Ronny Rodelin,3526,h,Caen,Lorient,,2016-08-13 22:00:00,2253,2016,"(0.8219999694824218, 0.5690000152587891)"
103115,RightFoot,OpenPlay,MissedShots,0.020659051835536957,53,3,2,Damien Da Silva,3542,h,Caen,Lorient,Ronny Rodelin,2016-08-13 22:00:00,2253,2016,"(0.749000015258789, 0.515)"
103108,RightFoot,FromCorner,BlockedShot,0.06527375429868698,31,3,2,Damien Da Silva,3542,h,Caen,Lorient,,2016-08-13 22:00:00,2253,2016,"(0.8969999694824219, 0.3940000152587891)"
103105,RightFoot,OpenPlay,ShotOnPost,0.05885058268904686,27,3,2,Ronny Rodelin,3526,h,Caen,Lorient,Julien Féret,2016-08-13 22:00:00,2253,2016,"(0.8090000152587891, 0.5129999923706055)"
103113,LeftFoot,FromCorner,MissedShots,0.06796051561832428,47,3,2,Julien Féret,3527,h,Caen,Lorient,Syam Ben Youssef,2016-08-13 22:00:00,2253,2016,"(0.8859999847412109, 0.6029999923706054)"
103121,RightFoot,OpenPlay,Goal,0.6931300163269043,86,3,2,Ivan Santini,5701,h,Caen,Lorient,Vincent Bessat,2016-08-13 22:00:00,2253,2016,"(0.9640000152587891, 0.500999984741211)"
103114,LeftFoot,OpenPlay,SavedShot,0.1093711107969284,47,3,2,Ivan Santini,5701,h,Caen,Lorient,Herve Bazile,2016-08-13 22:00:00,2253,2016,"(0.9030000305175782, 0.615999984741211)"
103111,Head,FromCorner,Goal,0.5051398873329163,42,3,2,Ivan Santini,5701,h,Caen,Lorient,Herve Bazile,2016-08-13 22:00:00,2253,2016,"(0.96, 0.48)"
103110,Head,OpenPlay,SavedShot,0.021863002330064774,34,3,2,Ivan Santini,5701,h,Caen,Lorient,Mouhamadou Dabo,2016-08-13 22:00:00,2253,2016,"(0.8959999847412109, 0.5709999847412109)"
103120,LeftFoot,OpenPlay,BlockedShot,0.07242297381162643,86,3,2,Steed Malbranque,3569,h,Caen,Lorient,Yann Karamoh,2016-08-13 22:00:00,2253,2016,"(0.8480000305175781, 0.3920000076293945)"
103122,RightFoot,OpenPlay,MissedShots,0.07184448093175888,89,3,2,Steed Malbranque,3569,h,Caen,Lorient,Yann Karamoh,2016-08-13 22:00:00,2253,2016,"(0.8440000152587891, 0.3890000152587891)"
103106,LeftFoot,OpenPlay,SavedShot,0.06312859058380127,27,3,2,Julien Féret,3527,h,Caen,Lorient,,2016-08-13 22:00:00,2253,2016,"(0.8590000152587891, 0.5479999923706055)"
103104,LeftFoot,DirectFreekick,BlockedShot,0.09690643101930618,27,3,2,Herve Bazile,3532,h,Caen,Lorient,,2016-08-13 22:00:00,2253,2016,"(0.7919999694824219, 0.605)"
103112,LeftFoot,OpenPlay,SavedShot,0.2840043306350708,46,3,2,Jonathan Delaplace,3668,h,Caen,Lorient,Julien Féret,2016-08-13 22:00:00,2253,2016,"(0.9269999694824219, 0.669000015258789)"
103240,Head,SetPiece,MissedShots,0.1340070515871048,69,0,2,Alaeddine Yahia,3524,a,Caen,Lyon,Julien Féret,2016-08-19 22:45:00,2259,2016,"(0.925, 0.47)"
103234,RightFoot,OpenPlay,ShotOnPost,0.05940530449151993,47,0,2,Yann Karamoh,5700,a,Caen,Lyon,Julien Féret,2016-08-19 22:45:00,2259,2016,"(0.96, 0.32)"
103245,RightFoot,OpenPlay,MissedShots,0.08757425844669342,91,0,2,Ivan Santini,5701,a,Caen,Lyon,Yann Karamoh,2016-08-19 22:45:00,2259,2016,"(0.905, 0.4370000076293945)"
103244,RightFoot,OpenPlay,SavedShot,0.024433553218841553,88,0,2,Steed Malbranque,3569,a,Caen,Lyon,Yann Karamoh,2016-08-19 22:45:00,2259,2016,"(0.82, 0.28299999237060547)"
103235,RightFoot,OpenPlay,MissedShots,0.04905979335308075,55,0,2,Ronny Rodelin,3526,a,Caen,Lyon,Julien Féret,2016-08-19 22:45:00,2259,2016,"(0.8469999694824218, 0.5359999847412109)"
103237,RightFoot,OpenPlay,MissedShots,0.03452615067362785,64,0,2,Ronny Rodelin,3526,a,Caen,Lyon,Yann Karamoh,2016-08-19 22:45:00,2259,2016,"(0.8180000305175781, 0.5720000076293945)"
103243,RightFoot,DirectFreekick,MissedShots,0.06933954358100891,83,0,2,Ronny Rodelin,3526,a,Caen,Lyon,,2016-08-19 22:45:00,2259,2016,"(0.779000015258789, 0.6569999694824219)"
103814,RightFoot,OpenPlay,BlockedShot,0.07064711302518845,76,2,0,Ivan Santini,5701,h,Caen,SC Bastia,Ronny Rodelin,2016-08-27 22:00:00,2271,2016,"(0.8140000152587891, 0.46)"
103818,RightFoot,SetPiece,MissedShots,0.0532890222966671,86,2,0,Ivan Santini,5701,h,Caen,SC Bastia,Vincent Bessat,2016-08-27 22:00:00,2271,2016,"(0.8190000152587891, 0.5379999923706055)"
