,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2250,Guingamp,Monaco,0.699022,2.49641,2,2,a,2016-08-12 22:30:00
2266,Guingamp,Marseille,1.24688,0.719975,2,1,h,2016-08-21 17:00:00
2273,Guingamp,Nancy,1.59434,1.42221,2,0,a,2016-08-27 22:00:00
2285,Guingamp,Montpellier,0.703262,0.161811,1,1,h,2016-09-10 22:00:00
2293,Guingamp,Toulouse,0.921267,1.70053,1,2,a,2016-09-17 22:00:00
2304,Guingamp,Lorient,1.63848,0.765705,1,0,h,2016-09-21 21:00:00
2314,Guingamp,SC Bastia,0.0771213,0.98055,0,1,a,2016-09-24 22:00:00
2319,Guingamp,Rennes,0.397185,1.63564,0,1,a,2016-09-30 22:45:00
2335,Guingamp,Lille,1.8024,0.605277,1,0,h,2016-10-15 22:00:00
2340,Guingamp,Lyon,1.2213,1.84645,3,1,a,2016-10-22 19:00:00
3321,Guingamp,Angers,1.14355,1.1945,1,0,h,2016-10-29 22:00:00
2837,Guingamp,Dijon,0.556753,2.31365,3,3,a,2016-11-05 23:00:00
2850,Guingamp,Bordeaux,1.55541,1.21317,1,1,h,2016-11-20 18:00:00
2856,Guingamp,Caen,1.04415,1.09524,1,1,a,2016-11-26 23:00:00
2868,Guingamp,Nice,0.589566,0.893454,0,1,h,2016-11-30 22:00:00
3233,Guingamp,Nantes,1.41031,0.491439,2,0,h,2016-12-03 23:00:00
3247,Guingamp,Saint-Etienne,1.5297,0.62768,0,1,a,2016-12-11 20:00:00
3250,Guingamp,Paris Saint Germain,0.914417,1.69325,2,1,h,2016-12-17 20:00:00
3268,Guingamp,Metz,1.6707,1.11607,2,2,a,2016-12-21 23:50:00
4111,Guingamp,Lorient,0.829481,2.30164,1,3,a,2017-01-14 23:00:00
4118,Guingamp,Rennes,1.25686,0.234038,1,1,h,2017-01-21 22:00:00
4131,Guingamp,Nice,0.890076,1.64493,1,3,a,2017-01-29 17:00:00
4143,Guingamp,Caen,1.04587,1.02871,0,1,h,2017-02-04 19:00:00
4148,Guingamp,Marseille,0.741991,1.77041,0,2,a,2017-02-08 23:00:00
4164,Guingamp,Lyon,1.3139,1.65117,2,1,h,2017-02-11 16:00:00
4166,Guingamp,Bordeaux,0.851591,2.51269,0,3,a,2017-02-19 14:00:00
4184,Guingamp,Monaco,0.312198,2.07192,1,2,h,2017-02-25 16:00:00
4187,Guingamp,Montpellier,0.90611,0.699091,1,1,a,2017-03-04 19:00:00
4197,Guingamp,SC Bastia,3.28474,0.0781356,5,0,h,2017-03-11 19:00:00
4210,Guingamp,Angers,1.62869,2.3846,0,3,a,2017-03-18 19:00:00
4224,Guingamp,Nancy,2.84931,0.0776049,1,0,h,2017-03-31 18:00:00
4229,Guingamp,Paris Saint Germain,0.592491,2.70624,0,4,a,2017-04-09 20:00:00
4243,Guingamp,Toulouse,2.1061,1.05121,2,1,h,2017-04-15 19:00:00
4254,Guingamp,Lille,1.35626,3.54802,0,3,a,2017-04-22 19:00:00
4264,Guingamp,Saint-Etienne,0.804806,2.86852,0,2,h,2017-04-29 19:00:00
4274,Guingamp,Dijon,2.96505,0.870304,4,0,h,2017-05-06 19:00:00
4282,Guingamp,Nantes,0.938703,1.53743,1,4,a,2017-05-14 20:00:00
4294,Guingamp,Metz,1.74895,0.297072,1,0,h,2017-05-20 20:00:00
