,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103125,RightFoot,OpenPlay,BlockedShot,0.031668197363615036,6,2,3,Eder,963,a,Lille,Metz,Morgan Amalfitano,2016-08-13 22:00:00,2254,2016,"(0.915, 0.24700000762939453)"
103141,LeftFoot,OpenPlay,SavedShot,0.021474240347743034,60,2,3,Rony Lopes,3362,a,Lille,Metz,Éric Bautheac,2016-08-13 22:00:00,2254,2016,"(0.7369999694824219, 0.425)"
103133,LeftFoot,OpenPlay,MissedShots,0.04709962382912636,40,2,3,Rony Lopes,3362,a,Lille,Metz,Mounir Obbadi,2016-08-13 22:00:00,2254,2016,"(0.7759999847412109, 0.45099998474121095)"
103131,RightFoot,OpenPlay,Goal,0.5727053880691528,34,2,3,Rony Lopes,3362,a,Lille,Metz,Julian Palmieri,2016-08-13 22:00:00,2254,2016,"(0.9540000152587891, 0.5309999847412109)"
103130,LeftFoot,OpenPlay,MissedShots,0.02214197814464569,31,2,3,Rony Lopes,3362,a,Lille,Metz,Morgan Amalfitano,2016-08-13 22:00:00,2254,2016,"(0.7369999694824219, 0.5059999847412109)"
103124,LeftFoot,OpenPlay,MissedShots,0.031285420060157776,1,2,3,Rony Lopes,3362,a,Lille,Metz,Morgan Amalfitano,2016-08-13 22:00:00,2254,2016,"(0.805, 0.3370000076293945)"
103139,LeftFoot,OpenPlay,MissedShots,0.11399484425783157,56,2,3,Éric Bautheac,3361,a,Lille,Metz,Morgan Amalfitano,2016-08-13 22:00:00,2254,2016,"(0.9590000152587891, 0.5820000076293945)"
103144,RightFoot,OpenPlay,Goal,0.59858238697052,69,2,3,Rony Lopes,3362,a,Lille,Metz,Eder,2016-08-13 22:00:00,2254,2016,"(0.9680000305175781, 0.5420000076293945)"
103132,LeftFoot,OpenPlay,MissedShots,0.029281575232744217,36,2,3,Éric Bautheac,3361,a,Lille,Metz,Rony Lopes,2016-08-13 22:00:00,2254,2016,"(0.8109999847412109, 0.7290000152587891)"
103129,LeftFoot,OpenPlay,BlockedShot,0.021514415740966797,23,2,3,Mounir Obbadi,3360,a,Lille,Metz,Morgan Amalfitano,2016-08-13 22:00:00,2254,2016,"(0.795, 0.7230000305175781)"
103134,Head,SetPiece,SavedShot,0.06438792496919632,46,2,3,Adama Soumaoro,3356,a,Lille,Metz,Mounir Obbadi,2016-08-13 22:00:00,2254,2016,"(0.914000015258789, 0.5929999923706055)"
103137,Head,FromCorner,ShotOnPost,0.03397040069103241,49,2,3,Renato Civelli,3355,a,Lille,Metz,Éric Bautheac,2016-08-13 22:00:00,2254,2016,"(0.8930000305175781, 0.5720000076293945)"
