,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2256,Lyon,Nancy,2.32475,0.378703,3,0,a,2016-08-14 17:00:00
2259,Lyon,Caen,2.84412,0.458346,2,0,h,2016-08-19 22:45:00
2270,Lyon,Dijon,2.38079,1.99507,2,4,a,2016-08-27 19:00:00
2280,Lyon,Bordeaux,0.993332,1.5749,1,3,h,2016-09-10 19:00:00
2298,Lyon,Marseille,0.980569,0.793567,0,0,a,2016-09-18 22:45:00
2307,Lyon,Montpellier,2.33108,0.510154,5,1,h,2016-09-21 21:00:00
2310,Lyon,Lorient,1.41603,1.51128,0,1,a,2016-09-24 19:00:00
2328,Lyon,Saint-Etienne,1.74626,1.07715,2,0,h,2016-10-02 22:45:00
2330,Lyon,Nice,0.232951,1.67971,0,2,a,2016-10-14 22:45:00
2340,Lyon,Guingamp,1.84645,1.2213,1,3,h,2016-10-22 19:00:00
3319,Lyon,Toulouse,1.78097,0.994552,2,1,a,2016-10-29 19:00:00
2836,Lyon,SC Bastia,2.8154,0.643765,2,1,h,2016-11-05 23:00:00
2844,Lyon,Lille,1.57175,0.517087,1,0,a,2016-11-18 23:45:00
2862,Lyon,Paris Saint Germain,0.869106,2.29947,1,2,h,2016-11-27 23:45:00
2867,Lyon,Nantes,4.07778,0.936737,6,0,a,2016-11-30 22:00:00
3246,Lyon,Rennes,0.899201,0.844759,1,0,h,2016-12-11 18:00:00
3258,Lyon,Monaco,1.81087,1.27883,3,1,a,2016-12-18 23:45:00
3262,Lyon,Angers,1.4366,0.762376,2,0,h,2016-12-21 23:50:00
4113,Lyon,Caen,2.07985,1.77199,2,3,a,2017-01-15 20:00:00
4124,Lyon,Marseille,1.98362,0.923398,3,1,h,2017-01-22 23:00:00
4133,Lyon,Lille,1.93973,1.63684,1,2,h,2017-01-28 19:00:00
4135,Lyon,Saint-Etienne,1.44291,1.50077,0,2,a,2017-02-05 20:00:00
4149,Lyon,Nancy,3.17148,0.320627,4,0,h,2017-02-08 21:00:00
4164,Lyon,Guingamp,1.65117,1.3139,1,2,a,2017-02-11 16:00:00
4169,Lyon,Dijon,5.08781,0.339918,4,2,h,2017-02-19 16:00:00
4180,Lyon,Metz,3.37742,0.387516,5,0,h,2017-02-26 16:00:00
4186,Lyon,Bordeaux,1.68123,1.10352,1,1,a,2017-03-03 19:45:00
4203,Lyon,Toulouse,1.38503,0.918752,4,0,h,2017-03-12 16:00:00
4213,Lyon,Paris Saint Germain,1.2114,1.4683,1,2,a,2017-03-19 20:00:00
4220,Lyon,Rennes,2.55248,0.864423,1,1,a,2017-04-02 14:00:00
3231,Lyon,Metz,2.62115,0.539316,3,0,a,2017-04-05 18:00:00
4230,Lyon,Lorient,1.14119,1.79205,1,4,h,2017-04-08 19:00:00
4238,Lyon,SC Bastia,0.0,0.0,3,0,a,2017-04-16 00:00:00
4249,Lyon,Monaco,0.633767,1.58331,1,2,h,2017-04-23 20:15:00
4259,Lyon,Angers,0.58407,1.55303,2,1,a,2017-04-28 19:45:00
4270,Lyon,Nantes,2.56423,0.276977,3,2,h,2017-05-07 16:00:00
4277,Lyon,Montpellier,2.08055,1.23563,3,1,a,2017-05-14 20:00:00
4289,Lyon,Nice,1.58219,2.01991,3,3,h,2017-05-20 20:00:00
