,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103127,RightFoot,OpenPlay,BlockedShot,0.050403378903865814,14,3,2,Mevlüt Erdinc,104,h,Metz,Lille,,2016-08-13 22:00:00,2254,2016,"(0.8119999694824219, 0.4909999847412109)"
103146,LeftFoot,Penalty,Goal,0.7600951194763184,87,3,2,Yann Jouffre,3629,h,Metz,Lille,,2016-08-13 22:00:00,2254,2016,"(0.885, 0.5)"
103145,RightFoot,Penalty,Goal,0.7600951194763184,75,3,2,Mevlüt Erdinc,104,h,Metz,Lille,,2016-08-13 22:00:00,2254,2016,"(0.885, 0.5)"
103143,RightFoot,FromCorner,MissedShots,0.048190005123615265,66,3,2,Renaud Cohade,3560,h,Metz,Lille,Florent Mollet,2016-08-13 22:00:00,2254,2016,"(0.874000015258789, 0.3659999847412109)"
103138,RightFoot,OpenPlay,Goal,0.576492965221405,55,3,2,Mevlüt Erdinc,104,h,Metz,Lille,Iván Balliu,2016-08-13 22:00:00,2254,2016,"(0.9540000152587891, 0.49700000762939456)"
103142,LeftFoot,OpenPlay,MissedShots,0.06380797922611237,62,3,2,Mevlüt Erdinc,104,h,Metz,Lille,Florent Mollet,2016-08-13 22:00:00,2254,2016,"(0.9009999847412109, 0.669000015258789)"
103135,RightFoot,OpenPlay,MissedShots,0.05797755718231201,48,3,2,Mevlüt Erdinc,104,h,Metz,Lille,Opa Nguette,2016-08-13 22:00:00,2254,2016,"(0.8680000305175781, 0.36700000762939455)"
103273,RightFoot,OpenPlay,BlockedShot,0.014946705661714077,64,0,3,Renaud Cohade,3560,a,Metz,Paris Saint Germain,,2016-08-21 22:45:00,2268,2016,"(0.735, 0.42200000762939455)"
103276,Head,FromCorner,SavedShot,0.011950645595788956,70,0,3,Habib Diallo,5769,a,Metz,Paris Saint Germain,Yann Jouffre,2016-08-21 22:45:00,2268,2016,"(0.9069999694824219, 0.6270000076293946)"
103259,RightFoot,OpenPlay,MissedShots,0.017898552119731903,36,0,3,Cheick Doukoure,4741,a,Metz,Paris Saint Germain,Jonathan Rivierez,2016-08-21 22:45:00,2268,2016,"(0.745, 0.3120000076293945)"
103270,Head,SetPiece,SavedShot,0.4011384844779968,55,0,3,Simon Falette,5673,a,Metz,Paris Saint Germain,Georges Mandjeck,2016-08-21 22:45:00,2268,2016,"(0.9390000152587891, 0.43099998474121093)"
103271,RightFoot,OpenPlay,SavedShot,0.03489517793059349,59,0,3,Renaud Cohade,3560,a,Metz,Paris Saint Germain,Cheick Doukoure,2016-08-21 22:45:00,2268,2016,"(0.779000015258789, 0.5420000076293945)"
103253,LeftFoot,OpenPlay,BlockedShot,0.03058670647442341,17,0,3,Yann Jouffre,3629,a,Metz,Paris Saint Germain,Opa Nguette,2016-08-21 22:45:00,2268,2016,"(0.795, 0.6179999923706054)"
103252,RightFoot,OpenPlay,MissedShots,0.09578970819711685,17,0,3,Mevlüt Erdinc,104,a,Metz,Paris Saint Germain,Renaud Cohade,2016-08-21 22:45:00,2268,2016,"(0.9230000305175782, 0.43099998474121093)"
103285,LeftFoot,OpenPlay,MissedShots,0.01516756508499384,92,0,3,Florent Mollet,5677,a,Metz,Paris Saint Germain,Georges Mandjeck,2016-08-21 22:45:00,2268,2016,"(0.749000015258789, 0.6969999694824218)"
103272,LeftFoot,OpenPlay,SavedShot,0.2846302092075348,62,0,3,Mevlüt Erdinc,104,a,Metz,Paris Saint Germain,Renaud Cohade,2016-08-21 22:45:00,2268,2016,"(0.889000015258789, 0.725999984741211)"
103283,RightFoot,OpenPlay,SavedShot,0.019073165953159332,88,0,3,Ismaila Sarr,5675,a,Metz,Paris Saint Germain,Franck Signorino,2016-08-21 22:45:00,2268,2016,"(0.774000015258789, 0.5920000076293945)"
103267,RightFoot,OpenPlay,SavedShot,0.07036063820123672,51,0,3,Opa Nguette,5676,a,Metz,Paris Saint Germain,Georges Mandjeck,2016-08-21 22:45:00,2268,2016,"(0.9130000305175782, 0.6509999847412109)"
103843,LeftFoot,OpenPlay,BlockedShot,0.030727287754416466,11,2,0,Mevlüt Erdinc,104,h,Metz,Angers,Jonathan Rivierez,2016-08-27 22:00:00,2272,2016,"(0.759000015258789, 0.3139999961853027)"
103844,LeftFoot,OpenPlay,MissedShots,0.018862107768654823,13,2,0,Florent Mollet,5677,h,Metz,Angers,Opa Nguette,2016-08-27 22:00:00,2272,2016,"(0.7440000152587891, 0.5459999847412109)"
103865,Head,SetPiece,Goal,0.27826932072639465,88,2,0,Guido Milan,4734,h,Metz,Angers,Renaud Cohade,2016-08-27 22:00:00,2272,2016,"(0.9130000305175782, 0.48200000762939454)"
103848,RightFoot,OpenPlay,MissedShots,0.017454924061894417,32,2,0,Georges Mandjeck,5674,h,Metz,Angers,Opa Nguette,2016-08-27 22:00:00,2272,2016,"(0.7809999847412109, 0.33599998474121096)"
103850,Head,SetPiece,Goal,0.028032764792442322,41,2,0,Simon Falette,5673,h,Metz,Angers,Florent Mollet,2016-08-27 22:00:00,2272,2016,"(0.855999984741211, 0.5479999923706055)"
103845,LeftFoot,OpenPlay,BlockedShot,0.028666149824857712,16,2,0,Cheick Doukoure,4741,h,Metz,Angers,Mevlüt Erdinc,2016-08-27 22:00:00,2272,2016,"(0.91, 0.754000015258789)"
103859,LeftFoot,OpenPlay,BlockedShot,0.045988861471414566,59,2,0,Mevlüt Erdinc,104,h,Metz,Angers,Simon Falette,2016-08-27 22:00:00,2272,2016,"(0.7580000305175781, 0.445)"
103686,RightFoot,OpenPlay,SavedShot,0.09215137362480164,47,3,0,Ismaila Sarr,5675,a,Metz,Nantes,Mevlüt Erdinc,2016-09-11 17:00:00,2286,2016,"(0.865, 0.6229999923706054)"
103689,RightFoot,OpenPlay,MissedShots,0.09729169309139252,51,3,0,Ismaila Sarr,5675,a,Metz,Nantes,Mevlüt Erdinc,2016-09-11 17:00:00,2286,2016,"(0.8290000152587891, 0.500999984741211)"
103693,Head,FromCorner,BlockedShot,0.016566677019000053,61,3,0,Georges Mandjeck,5674,a,Metz,Nantes,Renaud Cohade,2016-09-11 17:00:00,2286,2016,"(0.8630000305175781, 0.5670000076293945)"
103681,LeftFoot,OpenPlay,BlockedShot,0.017435859888792038,35,3,0,Jonathan Rivierez,4744,a,Metz,Nantes,Mevlüt Erdinc,2016-09-11 17:00:00,2286,2016,"(0.7709999847412109, 0.24799999237060547)"
103678,LeftFoot,OpenPlay,Goal,0.06100545823574066,17,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,Opa Nguette,2016-09-11 17:00:00,2286,2016,"(0.8119999694824219, 0.4640000152587891)"
103682,LeftFoot,OpenPlay,MissedShots,0.054249297827482224,36,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,Georges Mandjeck,2016-09-11 17:00:00,2286,2016,"(0.855, 0.33099998474121095)"
103683,RightFoot,OpenPlay,MissedShots,0.0966137945652008,38,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,Ismaila Sarr,2016-09-11 17:00:00,2286,2016,"(0.845, 0.49900001525878906)"
103687,LeftFoot,OpenPlay,Goal,0.09155458956956863,47,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,,2016-09-11 17:00:00,2286,2016,"(0.8780000305175781, 0.39799999237060546)"
103692,RightFoot,OpenPlay,BlockedShot,0.03533099964261055,61,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,Guido Milan,2016-09-11 17:00:00,2286,2016,"(0.7480000305175781, 0.5770000076293945)"
103697,RightFoot,Penalty,Goal,0.7600951194763184,77,3,0,Mevlüt Erdinc,104,a,Metz,Nantes,,2016-09-11 17:00:00,2286,2016,"(0.885, 0.5)"
103975,Head,FromCorner,SavedShot,0.04343007132411003,44,0,0,Mevlüt Erdinc,104,a,Metz,Dijon,Renaud Cohade,2016-09-17 22:00:00,2292,2016,"(0.9369999694824219, 0.3940000152587891)"
103967,Head,OpenPlay,MissedShots,0.019661471247673035,3,0,0,Cheick Doukoure,4741,a,Metz,Dijon,Jonathan Rivierez,2016-09-17 22:00:00,2292,2016,"(0.8680000305175781, 0.40299999237060546)"
103977,RightFoot,SetPiece,MissedShots,0.016808517277240753,46,0,0,Renaud Cohade,3560,a,Metz,Dijon,Cheick Doukoure,2016-09-17 22:00:00,2292,2016,"(0.8209999847412109, 0.8)"
103976,Head,FromCorner,SavedShot,0.04216405749320984,44,0,0,Georges Mandjeck,5674,a,Metz,Dijon,Renaud Cohade,2016-09-17 22:00:00,2292,2016,"(0.885, 0.53)"
103973,Head,OpenPlay,MissedShots,0.018349045887589455,41,0,0,Mevlüt Erdinc,104,a,Metz,Dijon,Jonathan Rivierez,2016-09-17 22:00:00,2292,2016,"(0.905, 0.38599998474121094)"
103972,RightFoot,SetPiece,SavedShot,0.07318103313446045,40,0,0,Mevlüt Erdinc,104,a,Metz,Dijon,Ismaila Sarr,2016-09-17 22:00:00,2292,2016,"(0.860999984741211, 0.47400001525878904)"
103969,RightFoot,Penalty,ShotOnPost,0.7600951194763184,7,0,0,Mevlüt Erdinc,104,a,Metz,Dijon,,2016-09-17 22:00:00,2292,2016,"(0.885, 0.5)"
104658,RightFoot,OpenPlay,MissedShots,0.017564095556735992,0,0,3,Ismaila Sarr,5675,h,Metz,Bordeaux,,2016-09-21 21:00:00,2305,2016,"(0.754000015258789, 0.39799999237060546)"
104664,RightFoot,OpenPlay,MissedShots,0.02906164713203907,28,0,3,Ismaila Sarr,5675,h,Metz,Bordeaux,Florent Mollet,2016-09-21 21:00:00,2305,2016,"(0.8830000305175781, 0.750999984741211)"
104677,Head,OpenPlay,MissedShots,0.11960738152265549,60,0,3,Mevlüt Erdinc,104,h,Metz,Bordeaux,Ismaila Sarr,2016-09-21 21:00:00,2305,2016,"(0.9269999694824219, 0.4)"
104684,Head,OpenPlay,SavedShot,0.08224135637283325,78,0,3,Habib Diallo,5769,h,Metz,Bordeaux,Gauthier Hein,2016-09-21 21:00:00,2305,2016,"(0.935, 0.5940000152587891)"
104662,LeftFoot,OpenPlay,SavedShot,0.024350540712475777,19,0,3,Florent Mollet,5677,h,Metz,Bordeaux,Ismaila Sarr,2016-09-21 21:00:00,2305,2016,"(0.8380000305175781, 0.740999984741211)"
104672,LeftFoot,OpenPlay,MissedShots,0.023328768089413643,47,0,3,Gauthier Hein,5727,h,Metz,Bordeaux,Renaud Cohade,2016-09-21 21:00:00,2305,2016,"(0.8069999694824219, 0.3089999961853027)"
104683,LeftFoot,OpenPlay,BlockedShot,0.030256099998950958,76,0,3,Gauthier Hein,5727,h,Metz,Bordeaux,Habib Diallo,2016-09-21 21:00:00,2305,2016,"(0.8640000152587891, 0.255)"
104687,LeftFoot,OpenPlay,BlockedShot,0.01970423012971878,90,0,3,Vincent Thill,5746,h,Metz,Bordeaux,Gauthier Hein,2016-09-21 21:00:00,2305,2016,"(0.750999984741211, 0.455)"
104663,RightFoot,OpenPlay,SavedShot,0.023099545389413834,25,0,3,Renaud Cohade,3560,h,Metz,Bordeaux,Ismaila Sarr,2016-09-21 21:00:00,2305,2016,"(0.7759999847412109, 0.36900001525878906)"
104660,RightFoot,OpenPlay,SavedShot,0.06041562184691429,16,0,3,Florent Mollet,5677,h,Metz,Bordeaux,Mevlüt Erdinc,2016-09-21 21:00:00,2305,2016,"(0.7930000305175782, 0.5159999847412109)"
104678,LeftFoot,OpenPlay,BlockedShot,0.016863714903593063,69,0,3,Habib Diallo,5769,h,Metz,Bordeaux,Renaud Cohade,2016-09-21 21:00:00,2305,2016,"(0.7280000305175781, 0.3970000076293945)"
104140,RightFoot,Penalty,Goal,0.7600951194763184,46,1,0,Mevlüt Erdinc,104,a,Metz,Montpellier,,2016-09-24 22:00:00,2312,2016,"(0.885, 0.5)"
104148,RightFoot,OpenPlay,SavedShot,0.018837008625268936,76,1,0,Ismaila Sarr,5675,a,Metz,Montpellier,Renaud Cohade,2016-09-24 22:00:00,2312,2016,"(0.745, 0.7730000305175782)"
104149,RightFoot,OpenPlay,SavedShot,0.29916033148765564,77,1,0,Ismaila Sarr,5675,a,Metz,Montpellier,Gauthier Hein,2016-09-24 22:00:00,2312,2016,"(0.8959999847412109, 0.645)"
104144,LeftFoot,OpenPlay,MissedShots,0.014286517165601254,65,1,0,Mevlüt Erdinc,104,a,Metz,Montpellier,Ismaila Sarr,2016-09-24 22:00:00,2312,2016,"(0.7330000305175781, 0.720999984741211)"
104757,RightFoot,OpenPlay,SavedShot,0.012228263542056084,47,0,7,Cheick Doukoure,4741,h,Metz,Monaco,,2016-10-01 22:00:00,2325,2016,"(0.7630000305175781, 0.33599998474121096)"
104746,RightFoot,FromCorner,BlockedShot,0.021716834977269173,13,0,7,Cheick Doukoure,4741,h,Metz,Monaco,,2016-10-01 22:00:00,2325,2016,"(0.8059999847412109, 0.33599998474121096)"
104754,Head,FromCorner,MissedShots,0.01600201055407524,40,0,7,Simon Falette,5673,h,Metz,Monaco,Renaud Cohade,2016-10-01 22:00:00,2325,2016,"(0.9069999694824219, 0.36)"
104764,RightFoot,SetPiece,MissedShots,0.021570879966020584,74,0,7,Florent Mollet,5677,h,Metz,Monaco,Renaud Cohade,2016-10-01 22:00:00,2325,2016,"(0.8030000305175782, 0.7340000152587891)"
104755,Head,FromCorner,MissedShots,0.015112086199223995,42,0,7,Simon Falette,5673,h,Metz,Monaco,Renaud Cohade,2016-10-01 22:00:00,2325,2016,"(0.8919999694824219, 0.44299999237060544)"
104756,Head,SetPiece,MissedShots,0.010974409990012646,45,0,7,Simon Falette,5673,h,Metz,Monaco,Renaud Cohade,2016-10-01 22:00:00,2325,2016,"(0.885, 0.5829999923706055)"
104752,LeftFoot,OpenPlay,BlockedShot,0.08259682357311249,38,0,7,Mevlüt Erdinc,104,h,Metz,Monaco,Simon Falette,2016-10-01 22:00:00,2325,2016,"(0.935, 0.5659999847412109)"
104749,LeftFoot,OpenPlay,MissedShots,0.0418456494808197,25,0,7,Mevlüt Erdinc,104,h,Metz,Monaco,Simon Falette,2016-10-01 22:00:00,2325,2016,"(0.9159999847412109, 0.30700000762939456)"
104747,RightFoot,OpenPlay,MissedShots,0.054704368114471436,21,0,7,Renaud Cohade,3560,h,Metz,Monaco,Franck Signorino,2016-10-01 22:00:00,2325,2016,"(0.8719999694824219, 0.6790000152587891)"
