,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2250,Monaco,Guingamp,2.49641,0.699022,2,2,h,2016-08-12 22:30:00
2260,Monaco,Nantes,0.545027,0.322377,1,0,a,2016-08-20 19:00:00
2278,Monaco,Paris Saint Germain,1.20927,1.11721,3,1,h,2016-08-28 22:45:00
2284,Monaco,Lille,1.48764,0.67898,4,1,a,2016-09-10 22:00:00
2290,Monaco,Rennes,1.85529,0.207382,3,0,h,2016-09-17 19:00:00
2306,Monaco,Nice,1.1718,2.20155,0,4,a,2016-09-21 21:00:00
2315,Monaco,Angers,1.21319,1.75544,2,1,h,2016-09-24 22:00:00
2325,Monaco,Metz,3.13454,0.342435,7,0,a,2016-10-01 22:00:00
2329,Monaco,Toulouse,0.294757,1.39766,1,3,a,2016-10-14 21:00:00
2339,Monaco,Montpellier,2.8994,1.21149,6,2,h,2016-10-21 22:45:00
3323,Monaco,Saint-Etienne,1.24441,0.299166,1,1,a,2016-10-29 22:00:00
2834,Monaco,Nancy,4.50655,0.327456,6,0,h,2016-11-05 20:00:00
2843,Monaco,Lorient,1.59088,1.14162,3,0,a,2016-11-18 22:00:00
2854,Monaco,Marseille,2.36362,0.724288,4,0,h,2016-11-26 20:10:00
2865,Monaco,Dijon,1.12554,1.17295,1,1,a,2016-11-30 00:00:00
3234,Monaco,SC Bastia,1.76729,0.311538,5,0,h,2016-12-03 23:00:00
3240,Monaco,Bordeaux,2.86318,0.672017,4,0,a,2016-12-10 20:30:00
3258,Monaco,Lyon,1.27883,1.81087,1,3,h,2016-12-18 23:45:00
3266,Monaco,Caen,3.35275,2.02367,2,1,h,2016-12-21 23:50:00
4114,Monaco,Marseille,2.1894,1.56833,4,1,a,2017-01-16 00:00:00
4122,Monaco,Lorient,2.50542,0.202056,4,0,h,2017-01-22 17:00:00
4134,Monaco,Paris Saint Germain,0.567186,1.34725,1,1,a,2017-01-29 23:00:00
4141,Monaco,Nice,1.86607,1.28992,3,0,h,2017-02-04 16:00:00
4146,Monaco,Montpellier,1.44159,1.18513,2,1,a,2017-02-07 21:00:00
4162,Monaco,Metz,2.37565,0.332997,5,0,h,2017-02-11 19:00:00
4171,Monaco,SC Bastia,1.23642,0.63905,1,1,a,2017-02-17 19:45:00
4184,Monaco,Guingamp,2.07192,0.312198,2,1,a,2017-02-25 16:00:00
4192,Monaco,Nantes,2.48684,0.49137,4,0,h,2017-03-05 20:00:00
4198,Monaco,Bordeaux,0.67835,0.731056,2,1,h,2017-03-11 15:45:00
4206,Monaco,Caen,2.96012,0.246966,3,0,a,2017-03-19 14:00:00
4233,Monaco,Angers,1.74598,1.50404,1,0,a,2017-04-08 16:00:00
4241,Monaco,Dijon,2.11783,1.30171,2,1,h,2017-04-15 20:00:00
4249,Monaco,Lyon,1.58331,0.633767,2,1,a,2017-04-23 20:15:00
4260,Monaco,Toulouse,2.80202,0.974737,3,1,h,2017-04-29 16:00:00
4265,Monaco,Nancy,3.36313,0.500579,3,0,a,2017-05-06 19:00:00
4281,Monaco,Lille,2.29095,0.609542,4,0,h,2017-05-14 20:00:00
4221,Monaco,Saint-Etienne,2.75951,0.354639,2,0,h,2017-05-17 20:00:00
4293,Monaco,Rennes,2.59491,2.25117,3,2,a,2017-05-20 20:00:00
