,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103083,LeftFoot,OpenPlay,MissedShots,0.06739502400159836,44,2,2,Bernardo Silva,3635,h,Monaco,Guingamp,,2016-08-12 22:30:00,2250,2016,"(0.8819999694824219, 0.425)"
103089,Head,FromCorner,SavedShot,0.06383253633975983,67,2,2,Kamil Glik,1800,h,Monaco,Guingamp,Thomas Lemar,2016-08-12 22:30:00,2250,2016,"(0.9009999847412109, 0.5309999847412109)"
103098,LeftFoot,OpenPlay,Goal,0.4525910019874573,83,2,2,Bernardo Silva,3635,h,Monaco,Guingamp,Nabil Dirar,2016-08-12 22:30:00,2250,2016,"(0.8930000305175781, 0.475)"
103095,LeftFoot,OpenPlay,BlockedShot,0.06098833680152893,81,2,2,Bernardo Silva,3635,h,Monaco,Guingamp,Djibril Sidibe,2016-08-12 22:30:00,2250,2016,"(0.8669999694824219, 0.38599998474121094)"
103088,LeftFoot,OpenPlay,SavedShot,0.02706993743777275,59,2,2,Bernardo Silva,3635,h,Monaco,Guingamp,Fabinho,2016-08-12 22:30:00,2250,2016,"(0.845999984741211, 0.2670000076293945)"
103078,RightFoot,OpenPlay,MissedShots,0.5445942878723145,26,2,2,Guido Carrillo,3424,h,Monaco,Guingamp,Nabil Dirar,2016-08-12 22:30:00,2250,2016,"(0.94, 0.5540000152587891)"
103082,RightFoot,OpenPlay,MissedShots,0.010629844851791859,42,2,2,Nabil Dirar,3634,h,Monaco,Guingamp,Fabinho,2016-08-12 22:30:00,2250,2016,"(0.735999984741211, 0.31)"
103097,RightFoot,OpenPlay,BlockedShot,0.04467466473579407,82,2,2,Ivan Cavaleiro,3683,h,Monaco,Guingamp,Djibril Sidibe,2016-08-12 22:30:00,2250,2016,"(0.8040000152587891, 0.629000015258789)"
103080,RightFoot,OpenPlay,BlockedShot,0.009547525085508823,34,2,2,Tiemoué Bakayoko,3429,h,Monaco,Guingamp,,2016-08-12 22:30:00,2250,2016,"(0.6890000152587891, 0.34200000762939453)"
103093,RightFoot,DirectFreekick,MissedShots,0.06949112564325333,76,2,2,Djibril Sidibe,3357,h,Monaco,Guingamp,,2016-08-12 22:30:00,2250,2016,"(0.765, 0.610999984741211)"
103085,LeftFoot,OpenPlay,MissedShots,0.012423760257661343,48,2,2,Benjamin Mendy,3389,h,Monaco,Guingamp,Guido Carrillo,2016-08-12 22:30:00,2250,2016,"(0.7619999694824219, 0.7269999694824218)"
103084,RightFoot,OpenPlay,BlockedShot,0.05420316755771637,47,2,2,Fabinho,3420,h,Monaco,Guingamp,Djibril Sidibe,2016-08-12 22:30:00,2250,2016,"(0.845999984741211, 0.3270000076293945)"
103090,RightFoot,Penalty,Goal,0.7600951194763184,70,2,2,Fabinho,3420,h,Monaco,Guingamp,,2016-08-12 22:30:00,2250,2016,"(0.885, 0.5)"
103087,LeftFoot,DirectFreekick,BlockedShot,0.05883805453777313,57,2,2,Thomas Lemar,3425,h,Monaco,Guingamp,,2016-08-12 22:30:00,2250,2016,"(0.7580000305175781, 0.35700000762939454)"
103096,Head,OpenPlay,MissedShots,0.038596346974372864,81,2,2,Guido Carrillo,3424,h,Monaco,Guingamp,Djibril Sidibe,2016-08-12 22:30:00,2250,2016,"(0.9080000305175782, 0.49)"
103091,RightFoot,OpenPlay,BlockedShot,0.05741872265934944,72,2,2,Djibril Sidibe,3357,h,Monaco,Guingamp,Nabil Dirar,2016-08-12 22:30:00,2250,2016,"(0.9080000305175782, 0.33299999237060546)"
103099,RightFoot,OpenPlay,MissedShots,0.13994742929935455,90,2,2,Ivan Cavaleiro,3683,h,Monaco,Guingamp,Nabil Dirar,2016-08-12 22:30:00,2250,2016,"(0.950999984741211, 0.4209999847412109)"
103076,Head,OpenPlay,MissedShots,0.024069268256425858,9,2,2,Guido Carrillo,3424,h,Monaco,Guingamp,Benjamin Mendy,2016-08-12 22:30:00,2250,2016,"(0.8859999847412109, 0.5870000076293945)"
103373,RightFoot,OpenPlay,SavedShot,0.017127806320786476,90,1,0,Tiemoué Bakayoko,3429,a,Monaco,Nantes,Valère Germain,2016-08-20 19:00:00,2260,2016,"(0.715, 0.485)"
103359,LeftFoot,OpenPlay,MissedShots,0.015828752890229225,19,1,0,Boschilia,3747,a,Monaco,Nantes,Ivan Cavaleiro,2016-08-20 19:00:00,2260,2016,"(0.7419999694824219, 0.68)"
