,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2252,Montpellier,Angers,0.879179,0.49342,1,0,h,2016-08-13 22:00:00
2267,Montpellier,Saint-Etienne,1.46843,1.58901,1,3,a,2016-08-21 19:00:00
2274,Montpellier,Rennes,0.999105,1.0107,1,1,h,2016-08-27 22:00:00
2285,Montpellier,Guingamp,0.161811,0.703262,1,1,a,2016-09-10 22:00:00
2296,Montpellier,Nice,2.32844,1.08766,1,1,h,2016-09-18 17:00:00
2307,Montpellier,Lyon,0.510154,2.33108,1,5,a,2016-09-21 21:00:00
2312,Montpellier,Metz,1.55117,1.09238,0,1,h,2016-09-24 22:00:00
2321,Montpellier,Dijon,1.40043,0.539549,3,3,a,2016-10-01 22:00:00
2333,Montpellier,Caen,1.31867,1.30379,3,2,h,2016-10-15 22:00:00
2339,Montpellier,Monaco,1.21149,2.8994,2,6,a,2016-10-21 22:45:00
3324,Montpellier,Lorient,1.3536,1.51804,2,2,a,2016-10-29 22:00:00
2833,Montpellier,Marseille,1.74085,1.46558,3,1,h,2016-11-04 23:45:00
2846,Montpellier,SC Bastia,1.42011,0.701853,1,1,a,2016-11-19 23:00:00
2859,Montpellier,Nancy,0.642833,0.3552,0,0,h,2016-11-26 23:00:00
2866,Montpellier,Toulouse,0.338433,0.829543,0,1,a,2016-11-30 22:00:00
3230,Montpellier,Paris Saint Germain,0.537489,1.2177,3,0,h,2016-12-03 20:00:00
3241,Montpellier,Lille,1.33351,1.71742,1,2,a,2016-12-10 23:00:00
3255,Montpellier,Bordeaux,2.31433,0.52356,4,0,h,2016-12-17 23:00:00
3267,Montpellier,Nantes,1.3653,0.920305,0,1,a,2016-12-21 23:50:00
4107,Montpellier,Dijon,1.00063,0.952638,1,1,h,2017-01-14 23:00:00
4119,Montpellier,Metz,1.09603,1.25494,0,2,a,2017-01-21 22:00:00
4132,Montpellier,Marseille,0.852527,3.57029,1,5,a,2017-01-27 22:45:00
4138,Montpellier,SC Bastia,1.61454,0.902962,2,1,h,2017-02-04 19:00:00
4146,Montpellier,Monaco,1.18513,1.44159,1,2,h,2017-02-07 21:00:00
4155,Montpellier,Nancy,1.68431,0.919617,3,0,a,2017-02-11 19:00:00
4167,Montpellier,Saint-Etienne,1.44407,0.371081,2,1,h,2017-02-19 16:00:00
4178,Montpellier,Nice,1.25788,1.12386,1,2,a,2017-02-24 19:45:00
4187,Montpellier,Guingamp,0.699091,0.90611,1,1,h,2017-03-04 19:00:00
4200,Montpellier,Nantes,1.34214,2.59914,2,3,h,2017-03-11 19:00:00
4207,Montpellier,Bordeaux,1.19541,3.40561,1,5,a,2017-03-18 19:00:00
4216,Montpellier,Toulouse,1.08844,0.847595,0,1,h,2017-04-02 16:00:00
4234,Montpellier,Caen,0.989452,1.33697,2,0,a,2017-04-08 19:00:00
4235,Montpellier,Lorient,1.12102,0.761605,2,0,h,2017-04-15 19:00:00
4250,Montpellier,Paris Saint Germain,1.00547,2.8096,0,2,a,2017-04-22 16:00:00
4255,Montpellier,Lille,1.64103,2.02182,0,3,h,2017-04-29 19:00:00
4273,Montpellier,Rennes,0.350343,0.867351,0,1,a,2017-05-07 14:00:00
4277,Montpellier,Lyon,1.23563,2.08055,1,3,h,2017-05-14 20:00:00
4292,Montpellier,Angers,0.520709,1.55289,0,2,a,2017-05-20 20:00:00
