,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2256,Nancy,Lyon,0.378703,2.32475,0,3,h,2016-08-14 17:00:00
2263,Nancy,Rennes,0.968592,0.457521,0,2,a,2016-08-20 22:00:00
2273,Nancy,Guingamp,1.42221,1.59434,0,2,h,2016-08-27 22:00:00
2283,Nancy,Lorient,0.737229,1.09603,2,0,a,2016-09-10 22:00:00
2291,Nancy,Nantes,0.329901,1.52308,1,1,h,2016-09-17 22:00:00
2301,Nancy,SC Bastia,0.0748124,0.319514,0,0,a,2016-09-21 21:00:00
2317,Nancy,Nice,1.33737,0.831812,0,1,h,2016-09-25 19:00:00
2322,Nancy,Lille,0.256363,1.8156,0,1,a,2016-10-01 22:00:00
2331,Nancy,Paris Saint Germain,0.203584,0.603299,1,2,h,2016-10-15 19:00:00
2342,Nancy,Bordeaux,1.05802,1.27082,1,1,a,2016-10-22 22:00:00
3322,Nancy,Caen,1.86121,1.13534,2,0,h,2016-10-29 22:00:00
2834,Nancy,Monaco,0.327456,4.50655,0,6,a,2016-11-05 20:00:00
2848,Nancy,Dijon,1.12749,1.17526,1,0,h,2016-11-19 23:00:00
2859,Nancy,Montpellier,0.3552,0.642833,0,0,a,2016-11-26 23:00:00
2870,Nancy,Metz,0.936859,0.325539,4,0,h,2016-11-30 22:00:00
3237,Nancy,Marseille,0.701109,0.977434,0,3,a,2016-12-04 20:00:00
3242,Nancy,Angers,1.69532,0.33593,2,0,h,2016-12-10 23:00:00
3252,Nancy,Toulouse,0.407775,0.552439,1,1,a,2016-12-17 23:00:00
3259,Nancy,Saint-Etienne,0.16258,1.38219,0,0,a,2016-12-21 23:50:00
4110,Nancy,SC Bastia,2.04745,0.829962,1,0,h,2017-01-14 23:00:00
4129,Nancy,Bordeaux,1.02531,1.11632,0,2,h,2017-01-28 22:00:00
4142,Nancy,Nantes,0.423067,0.90967,2,0,a,2017-02-05 16:00:00
4149,Nancy,Lyon,0.320627,3.17148,0,4,a,2017-02-08 21:00:00
4155,Nancy,Montpellier,0.919617,1.68431,0,3,h,2017-02-11 19:00:00
4172,Nancy,Angers,0.695219,1.28764,0,1,a,2017-02-18 19:00:00
4117,Nancy,Caen,0.672166,1.92684,0,1,a,2017-02-21 17:30:00
4175,Nancy,Toulouse,0.625172,1.24905,0,0,h,2017-02-25 19:00:00
4188,Nancy,Paris Saint Germain,0.583319,3.26565,0,1,a,2017-03-04 16:00:00
4195,Nancy,Lille,0.982705,1.28734,1,2,h,2017-03-11 19:00:00
4208,Nancy,Lorient,1.86956,1.57221,2,3,h,2017-03-18 19:00:00
4224,Nancy,Guingamp,0.0776049,2.84931,0,1,a,2017-03-31 18:00:00
4225,Nancy,Rennes,1.25012,0.701898,3,0,h,2017-04-08 19:00:00
4236,Nancy,Nice,1.42075,2.57126,1,3,a,2017-04-15 16:00:00
4245,Nancy,Marseille,0.754671,0.710922,0,0,h,2017-04-21 19:45:00
4263,Nancy,Metz,0.682625,1.65516,1,2,a,2017-04-29 19:00:00
4265,Nancy,Monaco,0.500579,3.36313,0,3,h,2017-05-06 19:00:00
4280,Nancy,Dijon,1.40415,0.87338,0,2,a,2017-05-14 20:00:00
4285,Nancy,Saint-Etienne,1.98055,0.552326,3,1,h,2017-05-20 20:00:00
