,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
102938,RightFoot,OpenPlay,MissedShots,0.012327552773058414,56,0,3,Youssef Ait Bennasser,5633,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.7269999694824218, 0.5879999923706055)"
102926,Head,FromCorner,SavedShot,0.04490675404667854,11,0,3,Modou Diagne,5629,h,Nancy,Lyon,Serge N&#039;Guessan,2016-08-14 17:00:00,2256,2016,"(0.8880000305175781, 0.53)"
102929,RightFoot,OpenPlay,MissedShots,0.00840357132256031,22,0,3,Benoit Pedretti,5697,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.6609999847412109, 0.355)"
102931,Head,SetPiece,MissedShots,0.11104094237089157,29,0,3,Junior Dalé,5637,h,Nancy,Lyon,Benoit Pedretti,2016-08-14 17:00:00,2256,2016,"(0.9069999694824219, 0.48900001525878906)"
102941,RightFoot,FromCorner,BlockedShot,0.04597736895084381,81,0,3,Joffrey Cuffaut,5628,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.8530000305175781, 0.67)"
102925,RightFoot,SetPiece,MissedShots,0.020407631993293762,5,0,3,Anthony Koura,5636,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.7519999694824219, 0.38799999237060545)"
102924,LeftFoot,SetPiece,BlockedShot,0.03680643066763878,5,0,3,Antony Robic,5634,h,Nancy,Lyon,Benoit Pedretti,2016-08-14 17:00:00,2256,2016,"(0.8059999847412109, 0.6480000305175782)"
102928,Head,SetPiece,MissedShots,0.04263372719287872,12,0,3,Clement Lenglet,5050,h,Nancy,Lyon,Benoit Pedretti,2016-08-14 17:00:00,2256,2016,"(0.865, 0.47299999237060547)"
102927,RightFoot,FromCorner,MissedShots,0.018361017107963562,11,0,3,Antony Robic,5634,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.7240000152587891, 0.5129999923706055)"
102939,RightFoot,FromCorner,MissedShots,0.019400373101234436,59,0,3,Serge N&#039;Guessan,5739,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.8090000152587891, 0.3039999961853027)"
102940,RightFoot,FromCorner,BlockedShot,0.020189983770251274,81,0,3,Antony Robic,5634,h,Nancy,Lyon,,2016-08-14 17:00:00,2256,2016,"(0.8159999847412109, 0.5459999847412109)"
103346,LeftFoot,OpenPlay,MissedShots,0.017586806789040565,37,0,2,Vincent Muratori,5720,a,Nancy,Rennes,Junior Dalé,2016-08-20 22:00:00,2263,2016,"(0.749000015258789, 0.6790000152587891)"
103347,RightFoot,OpenPlay,ShotOnPost,0.05353616923093796,40,0,2,Anthony Koura,5636,a,Nancy,Rennes,Serge N&#039;Guessan,2016-08-20 22:00:00,2263,2016,"(0.884000015258789, 0.315)"
103350,RightFoot,FromCorner,BlockedShot,0.041862960904836655,56,0,2,Antony Robic,5634,a,Nancy,Rennes,Serge N&#039;Guessan,2016-08-20 22:00:00,2263,2016,"(0.81, 0.44799999237060545)"
103351,RightFoot,Penalty,MissedShots,0.7600951194763184,57,0,2,Antony Robic,5634,a,Nancy,Rennes,,2016-08-20 22:00:00,2263,2016,"(0.885, 0.5)"
103344,RightFoot,OpenPlay,BlockedShot,0.02099471539258957,25,0,2,Serge N&#039;Guessan,5739,a,Nancy,Rennes,,2016-08-20 22:00:00,2263,2016,"(0.7559999847412109, 0.47400001525878904)"
103348,RightFoot,OpenPlay,MissedShots,0.029765035957098007,52,0,2,Serge N&#039;Guessan,5739,a,Nancy,Rennes,Youssef Ait Bennasser,2016-08-20 22:00:00,2263,2016,"(0.769000015258789, 0.42700000762939455)"
103345,LeftFoot,OpenPlay,MissedShots,0.02008812502026558,26,0,2,Junior Dalé,5637,a,Nancy,Rennes,Antony Robic,2016-08-20 22:00:00,2263,2016,"(0.730999984741211, 0.39799999237060546)"
103357,RightFoot,OpenPlay,SavedShot,0.0246635302901268,87,0,2,Vincent Muratori,5720,a,Nancy,Rennes,Benoit Pedretti,2016-08-20 22:00:00,2263,2016,"(0.855, 0.705)"
103401,Head,FromCorner,MissedShots,0.03010943904519081,17,0,2,Joffrey Cuffaut,5628,h,Nancy,Guingamp,Benoit Pedretti,2016-08-27 22:00:00,2273,2016,"(0.875, 0.5220000076293946)"
103426,RightFoot,SetPiece,BlockedShot,0.017540499567985535,92,0,2,Joffrey Cuffaut,5628,h,Nancy,Guingamp,,2016-08-27 22:00:00,2273,2016,"(0.77, 0.41)"
103427,RightFoot,SetPiece,BlockedShot,0.11694873869419098,92,0,2,Youssouf Hadji,5639,h,Nancy,Guingamp,,2016-08-27 22:00:00,2273,2016,"(0.925, 0.41700000762939454)"
103423,RightFoot,OpenPlay,SavedShot,0.01996040716767311,72,0,2,Youssouf Hadji,5639,h,Nancy,Guingamp,Benoit Pedretti,2016-08-27 22:00:00,2273,2016,"(0.7290000152587891, 0.4490000152587891)"
103402,LeftFoot,OpenPlay,MissedShots,0.058916181325912476,18,0,2,Youssouf Hadji,5639,h,Nancy,Guingamp,Benoit Pedretti,2016-08-27 22:00:00,2273,2016,"(0.905, 0.6790000152587891)"
103398,LeftFoot,OpenPlay,BlockedShot,0.01442343182861805,6,0,2,Loic Puyo,5638,h,Nancy,Guingamp,,2016-08-27 22:00:00,2273,2016,"(0.7390000152587891, 0.5979999923706054)"
