,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2255,Nantes,Dijon,1.31806,0.294202,1,0,a,2016-08-13 22:00:00
2260,Nantes,Monaco,0.322377,0.545027,0,1,h,2016-08-20 19:00:00
2276,Nantes,Bordeaux,0.74034,1.70798,0,1,a,2016-08-28 17:00:00
2286,Nantes,Metz,0.853017,1.31386,0,3,h,2016-09-11 17:00:00
2291,Nantes,Nancy,1.52308,0.329901,1,1,a,2016-09-17 22:00:00
2303,Nantes,Saint-Etienne,2.22085,0.189906,0,0,h,2016-09-21 21:00:00
2318,Nantes,Marseille,1.06771,2.0157,1,2,a,2016-09-25 22:45:00
2323,Nantes,SC Bastia,1.55012,0.764407,1,0,h,2016-10-01 22:00:00
2332,Nantes,Lorient,0.455531,0.718424,2,1,a,2016-10-15 22:00:00
2341,Nantes,Rennes,0.903082,0.676405,1,2,h,2016-10-22 22:00:00
3325,Nantes,Nice,1.52908,1.89491,1,4,a,2016-10-30 18:00:00
2835,Nantes,Toulouse,1.28322,1.25678,1,1,h,2016-11-05 23:00:00
2845,Nantes,Paris Saint Germain,0.665853,1.52321,0,2,a,2016-11-19 20:00:00
2855,Nantes,Lille,0.233622,0.342108,0,0,h,2016-11-26 23:00:00
2867,Nantes,Lyon,0.936737,4.07778,0,6,h,2016-11-30 22:00:00
3233,Nantes,Guingamp,0.491439,1.41031,0,2,a,2016-12-03 23:00:00
3249,Nantes,Angers,1.02988,0.780876,2,0,a,2016-12-16 19:45:00
3267,Nantes,Montpellier,0.920305,1.3653,1,0,h,2016-12-21 23:50:00
4108,Nantes,Toulouse,0.721535,0.875912,1,0,a,2017-01-14 23:00:00
3243,Nantes,Caen,2.04795,0.451556,1,0,h,2017-01-18 22:00:00
4116,Nantes,Paris Saint Germain,0.728342,1.97617,0,2,h,2017-01-21 19:00:00
4125,Nantes,Rennes,1.1526,0.612197,1,1,a,2017-01-28 22:00:00
4142,Nantes,Nancy,0.90967,0.423067,0,2,h,2017-02-05 16:00:00
4163,Nantes,Marseille,2.35358,1.07429,3,2,h,2017-02-12 20:00:00
4174,Nantes,Metz,0.469828,1.34597,1,1,a,2017-02-18 19:00:00
4183,Nantes,Dijon,1.72203,0.392187,3,1,h,2017-02-24 18:00:00
4151,Nantes,SC Bastia,1.8348,1.73586,2,2,a,2017-03-01 18:30:00
4192,Nantes,Monaco,0.49137,2.48684,0,4,a,2017-03-05 20:00:00
4200,Nantes,Montpellier,2.59914,1.34214,3,2,a,2017-03-11 19:00:00
4209,Nantes,Nice,1.33484,0.152307,1,1,h,2017-03-18 16:00:00
4222,Nantes,Angers,1.59706,0.852502,2,1,h,2017-04-02 16:00:00
4226,Nantes,Saint-Etienne,0.578616,0.893648,1,1,a,2017-04-09 16:00:00
4242,Nantes,Bordeaux,0.414824,0.813337,0,1,h,2017-04-16 14:00:00
4253,Nantes,Caen,2.03308,0.839616,2,0,a,2017-04-22 19:00:00
4262,Nantes,Lorient,1.43131,0.135433,1,0,h,2017-04-29 19:00:00
4270,Nantes,Lyon,0.276977,2.56423,2,3,a,2017-05-07 16:00:00
4282,Nantes,Guingamp,1.53743,0.938703,4,1,h,2017-05-14 20:00:00
4287,Nantes,Lille,0.706308,3.51019,0,3,a,2017-05-20 20:00:00
