,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2249,SC Bastia,Paris Saint Germain,0.828385,0.664887,0,1,h,2016-08-12 22:00:00
2264,SC Bastia,Lorient,2.25743,0.349438,3,0,a,2016-08-20 22:00:00
2271,SC Bastia,Caen,0.376246,2.04065,0,2,a,2016-08-27 22:00:00
2281,SC Bastia,Toulouse,0.440568,0.463047,2,1,h,2016-09-10 22:00:00
2297,SC Bastia,Saint-Etienne,0.991511,2.2449,0,1,a,2016-09-18 19:00:00
2301,SC Bastia,Nancy,0.319514,0.0748124,0,0,h,2016-09-21 21:00:00
2314,SC Bastia,Guingamp,0.98055,0.0771213,1,0,h,2016-09-24 22:00:00
2323,SC Bastia,Nantes,0.764407,1.55012,0,1,a,2016-10-01 22:00:00
2334,SC Bastia,Angers,1.23731,0.950062,1,2,h,2016-10-15 22:00:00
2343,SC Bastia,Lille,0.200333,1.74418,1,2,a,2016-10-22 22:00:00
3320,SC Bastia,Dijon,2.00977,0.61738,0,0,h,2016-10-29 22:00:00
2836,SC Bastia,Lyon,0.643765,2.8154,1,2,a,2016-11-05 23:00:00
2846,SC Bastia,Montpellier,0.701853,1.42011,1,1,h,2016-11-19 23:00:00
2861,SC Bastia,Nice,1.03264,2.03598,1,1,a,2016-11-27 20:00:00
2869,SC Bastia,Bordeaux,0.941884,1.12617,1,1,h,2016-11-30 22:00:00
3234,SC Bastia,Monaco,0.311538,1.76729,0,5,a,2016-12-03 23:00:00
3245,SC Bastia,Metz,0.947577,0.871122,2,0,h,2016-12-10 23:00:00
3253,SC Bastia,Rennes,1.29477,1.36607,2,1,a,2016-12-17 23:00:00
3264,SC Bastia,Marseille,2.35524,1.52227,1,2,h,2016-12-21 23:50:00
4110,SC Bastia,Nancy,0.829962,2.04745,0,1,a,2017-01-14 23:00:00
4115,SC Bastia,Nice,1.13456,1.49991,1,1,h,2017-01-20 22:45:00
4128,SC Bastia,Caen,1.0684,2.08952,1,1,h,2017-01-28 22:00:00
4138,SC Bastia,Montpellier,0.902962,1.61454,1,2,a,2017-02-04 19:00:00
4160,SC Bastia,Toulouse,1.28147,2.60558,1,4,a,2017-02-11 19:00:00
4171,SC Bastia,Monaco,0.63905,1.23642,1,1,h,2017-02-17 19:45:00
4181,SC Bastia,Angers,0.504919,2.81972,0,3,a,2017-02-25 19:00:00
4151,SC Bastia,Nantes,1.73586,1.8348,2,2,h,2017-03-01 18:30:00
4189,SC Bastia,Saint-Etienne,0.302025,1.29564,0,0,h,2017-03-04 19:00:00
4197,SC Bastia,Guingamp,0.0781356,3.28474,0,5,a,2017-03-11 19:00:00
4205,SC Bastia,Metz,0.157698,0.894507,0,1,a,2017-03-17 18:00:00
4219,SC Bastia,Lille,0.876256,0.576916,0,1,h,2017-04-01 18:00:00
4231,SC Bastia,Dijon,1.24836,1.5652,2,1,a,2017-04-08 19:00:00
4238,SC Bastia,Lyon,0.0,0.0,0,3,h,2017-04-16 00:00:00
4248,SC Bastia,Bordeaux,0.874853,1.52837,0,2,a,2017-04-22 19:00:00
4257,SC Bastia,Rennes,0.654212,1.59306,1,0,h,2017-04-29 19:00:00
4271,SC Bastia,Paris Saint Germain,0.10292,5.35893,0,5,a,2017-05-06 16:00:00
4279,SC Bastia,Lorient,1.12194,0.357563,2,0,h,2017-05-14 20:00:00
4288,SC Bastia,Marseille,0.116759,2.10282,0,1,a,2017-05-20 20:00:00
