,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103056,LeftFoot,OpenPlay,MissedShots,0.0258482713252306,89,0,1,Thievy,2554,h,SC Bastia,Paris Saint Germain,,2016-08-12 22:00:00,2249,2016,"(0.8040000152587891, 0.6669999694824219)"
103042,RightFoot,OpenPlay,MissedShots,0.3984200060367584,19,0,1,Enzo Crivelli,3260,h,SC Bastia,Paris Saint Germain,Allan Saint-Maximin,2016-08-12 22:00:00,2249,2016,"(0.9269999694824219, 0.46)"
103045,RightFoot,OpenPlay,MissedShots,0.010701070539653301,36,0,1,Allan Saint-Maximin,101,h,SC Bastia,Paris Saint Germain,Enzo Crivelli,2016-08-12 22:00:00,2249,2016,"(0.77, 0.215)"
103038,RightFoot,OpenPlay,MissedShots,0.009885101579129696,4,0,1,Sadio Diallo,3326,h,SC Bastia,Paris Saint Germain,,2016-08-12 22:00:00,2249,2016,"(0.6980000305175781, 0.7569999694824219)"
103047,Head,SetPiece,MissedShots,0.1295982301235199,41,0,1,Sébastien Squillaci,3321,h,SC Bastia,Paris Saint Germain,Sadio Diallo,2016-08-12 22:00:00,2249,2016,"(0.9359999847412109, 0.46700000762939453)"
103055,LeftFoot,FromCorner,BlockedShot,0.09977219998836517,79,0,1,Alexander Djiku,3322,h,SC Bastia,Paris Saint Germain,,2016-08-12 22:00:00,2249,2016,"(0.9019999694824219, 0.47900001525878905)"
103040,RightFoot,OpenPlay,MissedShots,0.02480568364262581,7,0,1,Sadio Diallo,3326,h,SC Bastia,Paris Saint Germain,,2016-08-12 22:00:00,2249,2016,"(0.765, 0.534000015258789)"
103039,Head,SetPiece,MissedShots,0.020547932013869286,6,0,1,Mehdi Mostefa,3324,h,SC Bastia,Paris Saint Germain,Sadio Diallo,2016-08-12 22:00:00,2249,2016,"(0.87, 0.6140000152587891)"
103044,RightFoot,DirectFreekick,MissedShots,0.08498269319534302,30,0,1,Sadio Diallo,3326,h,SC Bastia,Paris Saint Germain,,2016-08-12 22:00:00,2249,2016,"(0.8019999694824219, 0.664000015258789)"
103041,RightFoot,OpenPlay,MissedShots,0.023824062198400497,13,0,1,Sadio Diallo,3326,h,SC Bastia,Paris Saint Germain,Yannick Cahuzac,2016-08-12 22:00:00,2249,2016,"(0.740999984741211, 0.48400001525878905)"
103194,LeftFoot,FromCorner,MissedShots,0.1294897496700287,80,3,0,Alexander Djiku,3322,a,SC Bastia,Lorient,Enzo Crivelli,2016-08-20 22:00:00,2264,2016,"(0.9459999847412109, 0.4640000152587891)"
103186,Head,SetPiece,MissedShots,0.019907530397176743,50,3,0,Alexander Djiku,3322,a,SC Bastia,Lorient,Allan Saint-Maximin,2016-08-20 22:00:00,2264,2016,"(0.8419999694824218, 0.43400001525878906)"
103196,Head,FromCorner,Goal,0.3398350179195404,80,3,0,Enzo Crivelli,3260,a,SC Bastia,Lorient,,2016-08-20 22:00:00,2264,2016,"(0.955999984741211, 0.5629999923706055)"
