,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
103022,Head,OpenPlay,SavedShot,0.024980558082461357,21,0,0,Martin Braithwaite,3211,a,Toulouse,Marseille,Kelvin Adou,2016-08-14 22:45:00,2258,2016,"(0.875999984741211, 0.47200000762939454)"
103029,RightFoot,OpenPlay,MissedShots,0.03189747780561447,52,0,0,Somália,3202,a,Toulouse,Marseille,Óscar Trejo,2016-08-14 22:45:00,2258,2016,"(0.8190000152587891, 0.32599998474121095)"
103025,LeftFoot,OpenPlay,SavedShot,0.06828711926937103,32,0,0,Óscar Trejo,3208,a,Toulouse,Marseille,Issiaga Sylla,2016-08-14 22:45:00,2258,2016,"(0.835999984741211, 0.5570000076293945)"
103034,RightFoot,FromCorner,MissedShots,0.014457103796303272,77,0,0,Kelvin Adou,3785,a,Toulouse,Marseille,,2016-08-14 22:45:00,2258,2016,"(0.740999984741211, 0.35700000762939454)"
103037,RightFoot,OpenPlay,MissedShots,0.016186730936169624,92,0,0,Kelvin Adou,3785,a,Toulouse,Marseille,Somália,2016-08-14 22:45:00,2258,2016,"(0.730999984741211, 0.47200000762939454)"
103024,LeftFoot,OpenPlay,MissedShots,0.09833179414272308,29,0,0,Martin Braithwaite,3211,a,Toulouse,Marseille,Issiaga Sylla,2016-08-14 22:45:00,2258,2016,"(0.92, 0.590999984741211)"
103287,Head,SetPiece,Goal,0.27357712388038635,2,4,1,Issa Diop,3203,h,Toulouse,Bordeaux,Óscar Trejo,2016-08-20 22:00:00,2261,2016,"(0.9119999694824219, 0.5359999847412109)"
103294,RightFoot,DirectFreekick,SavedShot,0.04644520580768585,17,4,1,Martin Braithwaite,3211,h,Toulouse,Bordeaux,,2016-08-20 22:00:00,2261,2016,"(0.7169999694824218, 0.5379999923706055)"
103288,Head,OpenPlay,MissedShots,0.0737462118268013,4,4,1,Somália,3202,h,Toulouse,Bordeaux,Ola Toivonen,2016-08-20 22:00:00,2261,2016,"(0.9080000305175782, 0.41700000762939454)"
103289,RightFoot,OpenPlay,BlockedShot,0.06234326958656311,7,4,1,Martin Braithwaite,3211,h,Toulouse,Bordeaux,Steeve Yago,2016-08-20 22:00:00,2261,2016,"(0.9219999694824219, 0.3220000076293945)"
103303,RightFoot,OpenPlay,MissedShots,0.059088513255119324,85,4,1,Martin Braithwaite,3211,h,Toulouse,Bordeaux,Odsonne Edouard,2016-08-20 22:00:00,2261,2016,"(0.8669999694824219, 0.715999984741211)"
103290,RightFoot,FromCorner,BlockedShot,0.02331915870308876,8,4,1,Issiaga Sylla,3370,h,Toulouse,Bordeaux,,2016-08-20 22:00:00,2261,2016,"(0.7809999847412109, 0.44400001525878907)"
