,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
161932,RightFoot,OpenPlay,Goal,0.5423412919044495,26,2,2,Younousse Sankhare,3474,a,Bordeaux,Angers,Francois Kamano,2017-08-06 16:00:00,8573,2017,"(0.9540000152587891, 0.544000015258789)"
161931,Head,OpenPlay,SavedShot,0.020524926483631134,14,2,2,Francois Kamano,3333,a,Bordeaux,Angers,Lukas Lerager,2017-08-06 16:00:00,8573,2017,"(0.825, 0.5379999923706055)"
161936,RightFoot,OpenPlay,BlockedShot,0.02854291722178459,46,2,2,Francois Kamano,3333,a,Bordeaux,Angers,Théo Pellenard,2017-08-06 16:00:00,8573,2017,"(0.81, 0.685)"
161941,RightFoot,OpenPlay,SavedShot,0.3784109354019165,71,2,2,Francois Kamano,3333,a,Bordeaux,Angers,Alexandre Mendy,2017-08-06 16:00:00,8573,2017,"(0.875, 0.565)"
161933,RightFoot,FromCorner,MissedShots,0.019691329449415207,30,2,2,Valentin Vada,3256,a,Bordeaux,Angers,Malcom,2017-08-06 16:00:00,8573,2017,"(0.8190000152587891, 0.7730000305175782)"
161937,RightFoot,OpenPlay,Goal,0.6548898220062256,51,2,2,Alexandre Mendy,3580,a,Bordeaux,Angers,Malcom,2017-08-06 16:00:00,8573,2017,"(0.9490000152587891, 0.5129999923706055)"
161940,RightFoot,OpenPlay,MissedShots,0.13475485146045685,60,2,2,Alexandre Mendy,3580,a,Bordeaux,Angers,Malcom,2017-08-06 16:00:00,8573,2017,"(0.9530000305175781, 0.5570000076293945)"
162054,LeftFoot,OpenPlay,SavedShot,0.047333937138319016,86,2,0,Gaetan Laborde,3746,h,Bordeaux,Metz,Théo Pellenard,2017-08-12 19:00:00,8579,2017,"(0.93, 0.7769999694824219)"
162046,RightFoot,OpenPlay,MissedShots,0.022819016128778458,57,2,0,Lukas Lerager,6021,h,Bordeaux,Metz,Youssouf Sabaly,2017-08-12 19:00:00,8579,2017,"(0.769000015258789, 0.3340000152587891)"
162043,RightFoot,OpenPlay,MissedShots,0.04490895941853523,45,2,0,Francois Kamano,3333,h,Bordeaux,Metz,Younousse Sankhare,2017-08-12 19:00:00,8579,2017,"(0.775, 0.580999984741211)"
162049,RightFoot,OpenPlay,SavedShot,0.07753339409828186,72,2,0,Malcom,3262,h,Bordeaux,Metz,Younousse Sankhare,2017-08-12 19:00:00,8579,2017,"(0.8109999847412109, 0.4540000152587891)"
162052,LeftFoot,OpenPlay,BlockedShot,0.10950205475091934,77,2,0,Alexandre Mendy,3580,h,Bordeaux,Metz,Jonathan Cafu,2017-08-12 19:00:00,8579,2017,"(0.8930000305175781, 0.6140000152587891)"
162051,RightFoot,OpenPlay,SavedShot,0.0992731973528862,76,2,0,Alexandre Mendy,3580,h,Bordeaux,Metz,Théo Pellenard,2017-08-12 19:00:00,8579,2017,"(0.86, 0.5129999923706055)"
162039,RightFoot,OpenPlay,BlockedShot,0.03257698565721512,13,2,0,Francois Kamano,3333,h,Bordeaux,Metz,Théo Pellenard,2017-08-12 19:00:00,8579,2017,"(0.8419999694824218, 0.705)"
