,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
161982,LeftFoot,OpenPlay,Goal,0.09697021543979645,53,3,0,Florian Thauvin,942,h,Marseille,Dijon,Valère Germain,2017-08-06 20:00:00,8574,2017,"(0.8669999694824219, 0.3920000076293945)"
161992,RightFoot,OpenPlay,BlockedShot,0.1633618175983429,88,3,0,Grégory Sertic,3809,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.8919999694824219, 0.4759999847412109)"
161987,RightFoot,OpenPlay,Goal,0.06874366849660873,71,3,0,Clinton N&#039;Jie,960,h,Marseille,Dijon,Maxime Lopez,2017-08-06 20:00:00,8574,2017,"(0.769000015258789, 0.5629999923706055)"
161986,LeftFoot,OpenPlay,BlockedShot,0.11727551370859146,69,3,0,Franck Zambo,6434,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.9230000305175782, 0.67)"
161976,LeftFoot,DirectFreekick,ShotOnPost,0.058159686625003815,47,3,0,Florian Thauvin,942,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.7859999847412109, 0.285)"
161980,OtherBodyPart,OpenPlay,Goal,0.29504936933517456,50,3,0,Clinton N&#039;Jie,960,h,Marseille,Dijon,Valère Germain,2017-08-06 20:00:00,8574,2017,"(0.909000015258789, 0.4929999923706055)"
161977,RightFoot,FromCorner,MissedShots,0.02143670991063118,45,3,0,Morgan Sanson,3696,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.8090000152587891, 0.3270000076293945)"
161974,LeftFoot,OpenPlay,BlockedShot,0.03445536643266678,39,3,0,Maxime Lopez,3772,h,Marseille,Dijon,Morgan Sanson,2017-08-06 20:00:00,8574,2017,"(0.7959999847412109, 0.3820000076293945)"
161983,Head,FromCorner,MissedShots,0.3349497318267822,57,3,0,Rolando,3397,h,Marseille,Dijon,Florian Thauvin,2017-08-06 20:00:00,8574,2017,"(0.9230000305175782, 0.47200000762939454)"
161968,LeftFoot,OpenPlay,SavedShot,0.02719694934785366,19,3,0,Morgan Sanson,3696,h,Marseille,Dijon,Maxime Lopez,2017-08-06 20:00:00,8574,2017,"(0.7619999694824219, 0.5129999923706055)"
161993,LeftFoot,OpenPlay,MissedShots,0.015646953135728836,89,3,0,Patrice Evra,1298,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.7380000305175781, 0.6120000076293945)"
161991,RightFoot,OpenPlay,ShotOnPost,0.6316632032394409,88,3,0,Valère Germain,3309,h,Marseille,Dijon,,2017-08-06 20:00:00,8574,2017,"(0.9530000305175781, 0.515)"
161988,LeftFoot,OpenPlay,BlockedShot,0.016881126910448074,79,3,0,Florian Thauvin,942,h,Marseille,Dijon,Adil Rami,2017-08-06 20:00:00,8574,2017,"(0.75, 0.5720000076293945)"
161978,LeftFoot,OpenPlay,MissedShots,0.014329200610518456,48,3,0,Luiz Gustavo,387,h,Marseille,Dijon,Maxime Lopez,2017-08-06 20:00:00,8574,2017,"(0.6880000305175781, 0.47)"
161989,Head,OpenPlay,MissedShots,0.28605812788009644,79,3,0,Florian Thauvin,942,h,Marseille,Dijon,Valère Germain,2017-08-06 20:00:00,8574,2017,"(0.904000015258789, 0.4329999923706055)"
161965,LeftFoot,OpenPlay,BlockedShot,0.047460004687309265,10,3,0,Florian Thauvin,942,h,Marseille,Dijon,Dimitri Payet,2017-08-06 20:00:00,8574,2017,"(0.850999984741211, 0.355)"
161970,LeftFoot,OpenPlay,BlockedShot,0.08852183818817139,24,3,0,Patrice Evra,1298,h,Marseille,Dijon,Dimitri Payet,2017-08-06 20:00:00,8574,2017,"(0.8959999847412109, 0.6419999694824219)"
161979,RightFoot,OpenPlay,SavedShot,0.09787978231906891,49,3,0,Maxime Lopez,3772,h,Marseille,Dijon,Florian Thauvin,2017-08-06 20:00:00,8574,2017,"(0.894000015258789, 0.37400001525878906)"
162150,Head,FromCorner,MissedShots,0.03681492060422897,82,1,0,Adil Rami,2412,a,Marseille,Nantes,Maxime Lopez,2017-08-12 16:00:00,8577,2017,"(0.909000015258789, 0.40599998474121096)"
162151,RightFoot,OpenPlay,SavedShot,0.5262429118156433,86,1,0,Lucas Ocampos,1109,a,Marseille,Nantes,Valère Germain,2017-08-12 16:00:00,8577,2017,"(0.9519999694824218, 0.544000015258789)"
162152,OtherBodyPart,OpenPlay,Goal,0.8715173006057739,86,1,0,Lucas Ocampos,1109,a,Marseille,Nantes,,2017-08-12 16:00:00,8577,2017,"(0.98, 0.53)"
162147,RightFoot,OpenPlay,SavedShot,0.03068256378173828,74,1,0,Maxime Lopez,3772,a,Marseille,Nantes,Florian Thauvin,2017-08-12 16:00:00,8577,2017,"(0.855, 0.27399999618530274)"
162137,Head,FromCorner,SavedShot,0.07985937595367432,34,1,0,Valère Germain,3309,a,Marseille,Nantes,Florian Thauvin,2017-08-12 16:00:00,8577,2017,"(0.915, 0.45)"
162133,Head,OpenPlay,SavedShot,0.03181805461645126,6,1,0,Florian Thauvin,942,a,Marseille,Nantes,Patrice Evra,2017-08-12 16:00:00,8577,2017,"(0.8719999694824219, 0.45599998474121095)"
162139,RightFoot,OpenPlay,SavedShot,0.04238950088620186,37,1,0,Clinton N&#039;Jie,960,a,Marseille,Nantes,Florian Thauvin,2017-08-12 16:00:00,8577,2017,"(0.855999984741211, 0.6370000076293946)"
162130,RightFoot,OpenPlay,SavedShot,0.05092122033238411,3,1,0,Franck Zambo,6434,a,Marseille,Nantes,,2017-08-12 16:00:00,8577,2017,"(0.8119999694824219, 0.48700000762939455)"
162141,RightFoot,FromCorner,SavedShot,0.049152031540870667,43,1,0,Franck Zambo,6434,a,Marseille,Nantes,Florian Thauvin,2017-08-12 16:00:00,8577,2017,"(0.9669999694824218, 0.38599998474121094)"
162135,LeftFoot,OpenPlay,MissedShots,0.07116619497537613,25,1,0,Florian Thauvin,942,a,Marseille,Nantes,Clinton N&#039;Jie,2017-08-12 16:00:00,8577,2017,"(0.825, 0.48)"
162148,LeftFoot,OpenPlay,SavedShot,0.03509872034192085,79,1,0,Florian Thauvin,942,a,Marseille,Nantes,Lucas Ocampos,2017-08-12 16:00:00,8577,2017,"(0.7909999847412109, 0.43099998474121093)"
162142,RightFoot,DirectFreekick,SavedShot,0.048833753913640976,44,1,0,Maxime Lopez,3772,a,Marseille,Nantes,,2017-08-12 16:00:00,8577,2017,"(0.88, 0.850999984741211)"
