,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8569,Nice,Saint-Etienne,0.593773,0.943684,0,1,a,2017-08-05 19:00:00
8575,Nice,Troyes,1.92396,0.432943,1,2,h,2017-08-11 18:00:00
8590,Nice,Guingamp,1.41445,0.455777,2,0,h,2017-08-19 19:00:00
8595,Nice,Amiens,0.247748,1.3292,0,3,a,2017-08-26 19:00:00
8609,Nice,Monaco,2.94979,0.881798,4,0,h,2017-09-09 16:00:00
8616,Nice,Rennes,0.590921,0.88774,1,0,a,2017-09-17 16:00:00
8632,Nice,Angers,1.75619,1.67713,2,2,h,2017-09-22 18:00:00
8643,Nice,Marseille,2.67558,2.56739,2,4,h,2017-10-01 20:00:00
8648,Nice,Montpellier,1.94389,1.39101,0,2,a,2017-10-15 16:00:00
8660,Nice,Strasbourg,1.8532,1.15613,1,2,h,2017-10-22 14:00:00
8672,Nice,Paris Saint Germain,0.198721,3.30483,0,3,a,2017-10-27 19:45:00
8677,Nice,Dijon,1.30297,0.572627,1,0,h,2017-11-05 14:00:00
8687,Nice,Caen,1.55288,2.16318,1,1,a,2017-11-19 14:00:00
8696,Nice,Lyon,0.244374,2.22509,0,5,h,2017-11-26 14:00:00
8714,Nice,Toulouse,1.34601,1.84921,2,1,a,2017-11-29 18:00:00
8719,Nice,Metz,2.04706,0.425087,3,1,h,2017-12-02 19:00:00
8732,Nice,Nantes,0.626165,1.4467,2,1,a,2017-12-10 16:00:00
8740,Nice,Bordeaux,1.80014,0.574262,1,0,h,2017-12-17 16:00:00
8751,Nice,Lille,0.250882,0.755883,1,1,a,2017-12-20 19:50:00
8760,Nice,Amiens,1.2202,0.583973,1,0,h,2018-01-13 19:00:00
8772,Nice,Monaco,1.08186,1.23881,2,2,a,2018-01-16 20:00:00
8781,Nice,Saint-Etienne,0.279353,0.314602,1,0,h,2018-01-21 14:00:00
8789,Nice,Metz,1.62959,0.669743,1,2,a,2018-01-27 19:00:00
8800,Nice,Toulouse,1.07335,0.278134,0,1,h,2018-02-03 19:00:00
8814,Nice,Dijon,0.894957,1.89768,2,3,a,2018-02-10 19:00:00
8822,Nice,Nantes,0.94711,1.16354,1,1,h,2018-02-18 14:00:00
8832,Nice,Bordeaux,0.154466,1.84665,0,0,a,2018-02-25 14:00:00
8843,Nice,Lille,1.78209,0.866288,2,1,h,2018-03-02 18:00:00
8847,Nice,Guingamp,2.252,1.4993,5,2,a,2018-03-11 14:00:00
8862,Nice,Paris Saint Germain,1.0998,2.51648,1,2,h,2018-03-18 12:00:00
8874,Nice,Troyes,1.97826,0.45584,2,0,a,2018-04-01 16:00:00
8881,Nice,Rennes,0.439263,0.771423,1,1,h,2018-04-08 13:00:00
8885,Nice,Angers,0.989557,1.24112,1,1,a,2018-04-13 18:45:00
8895,Nice,Montpellier,1.22263,0.240171,1,0,h,2018-04-22 00:00:00
8914,Nice,Strasbourg,1.13928,0.672952,1,1,a,2018-04-28 18:00:00
8919,Nice,Marseille,0.644282,1.73502,1,2,a,2018-05-06 20:05:00
8932,Nice,Caen,2.23423,0.703403,4,1,h,2018-05-12 20:00:00
8936,Nice,Lyon,0.976783,2.16341,2,3,a,2018-05-19 19:00:00
