,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8570,Rennes,Troyes,1.87176,1.33762,1,1,a,2017-08-05 19:00:00
8576,Rennes,Lyon,0.712298,1.53095,1,2,h,2017-08-11 19:45:00
8592,Rennes,Dijon,1.33398,1.21134,2,2,h,2017-08-19 19:00:00
8603,Rennes,Toulouse,0.942755,2.39664,2,3,a,2017-08-26 19:00:00
8608,Rennes,Marseille,2.1507,1.72708,3,1,a,2017-09-10 20:00:00
8616,Rennes,Nice,0.88774,0.590921,0,1,h,2017-09-17 16:00:00
8633,Rennes,Saint-Etienne,1.41106,2.00978,2,2,a,2017-09-24 14:00:00
8638,Rennes,Caen,0.698792,1.40792,0,1,h,2017-09-30 19:00:00
8653,Rennes,Guingamp,0.736792,3.83243,0,2,a,2017-10-14 19:00:00
8661,Rennes,Lille,0.743569,0.605216,1,0,h,2017-10-21 19:00:00
8671,Rennes,Montpellier,0.596442,1.0658,1,0,a,2017-10-28 19:00:00
8678,Rennes,Bordeaux,0.816595,0.329157,1,0,h,2017-11-03 20:45:00
8694,Rennes,Strasbourg,0.69636,1.40766,1,2,a,2017-11-18 19:00:00
8697,Rennes,Nantes,0.922182,1.12975,2,1,h,2017-11-25 16:00:00
8706,Rennes,Angers,1.26206,0.393065,2,1,a,2017-11-29 18:00:00
8720,Rennes,Amiens,1.54445,0.246144,2,0,h,2017-12-02 19:00:00
8730,Rennes,Metz,0.947048,1.17225,1,1,a,2017-12-09 19:00:00
8741,Rennes,Paris Saint Germain,2.20762,3.94333,1,4,h,2017-12-16 16:00:00
8754,Rennes,Monaco,1.16211,2.05203,1,2,a,2017-12-20 19:50:00
8761,Rennes,Marseille,1.49159,2.26418,0,3,h,2018-01-13 16:00:00
8769,Rennes,Lille,1.68095,0.528633,2,1,a,2018-01-17 18:00:00
8782,Rennes,Angers,1.06811,0.41615,1,0,h,2018-01-20 19:00:00
8787,Rennes,Dijon,0.615882,1.44093,1,2,a,2018-01-26 00:00:00
8801,Rennes,Guingamp,1.91993,0.638394,0,1,h,2018-02-04 14:00:00
8809,Rennes,Lyon,0.92204,1.20772,2,0,a,2018-02-11 20:00:00
8819,Rennes,Caen,1.38594,3.33664,2,2,a,2018-02-17 19:00:00
8825,Rennes,Troyes,1.62688,0.312847,2,0,h,2018-02-24 19:00:00
8836,Rennes,Amiens,0.984665,1.53509,2,0,a,2018-03-03 19:00:00
8852,Rennes,Saint-Etienne,1.33403,1.55752,1,1,h,2018-03-10 19:00:00
8858,Rennes,Bordeaux,0.917768,0.390596,2,0,a,2018-03-17 16:00:00
8872,Rennes,Monaco,1.9066,1.05881,1,1,h,2018-04-04 17:45:00
8881,Rennes,Nice,0.771423,0.439263,1,1,a,2018-04-08 13:00:00
8893,Rennes,Metz,2.06388,1.27464,1,2,h,2018-04-14 18:00:00
8898,Rennes,Nantes,0.91184,1.63157,1,1,a,2018-04-20 00:00:00
8913,Rennes,Toulouse,1.74362,0.469531,2,1,h,2018-04-29 00:00:00
8922,Rennes,Strasbourg,2.36718,1.01751,2,1,h,2018-05-06 16:00:00
8931,Rennes,Paris Saint Germain,1.15359,0.619551,2,0,a,2018-05-12 20:00:00
8942,Rennes,Montpellier,0.459859,0.614694,1,1,h,2018-05-19 19:00:00
