,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8570,Troyes,Rennes,1.33762,1.87176,1,1,h,2017-08-05 19:00:00
8575,Troyes,Nice,0.432943,1.92396,2,1,a,2017-08-11 18:00:00
8594,Troyes,Nantes,0.724295,0.565923,0,1,h,2017-08-19 19:00:00
8597,Troyes,Bordeaux,0.566642,2.76641,1,2,a,2017-08-26 19:00:00
8612,Troyes,Toulouse,0.737279,0.204017,0,0,h,2017-09-09 19:00:00
8617,Troyes,Montpellier,0.64374,1.20725,0,1,h,2017-09-16 19:00:00
8630,Troyes,Metz,0.628796,1.06447,1,0,a,2017-09-23 19:00:00
8639,Troyes,Saint-Etienne,0.806682,1.28401,2,1,h,2017-10-01 14:00:00
8654,Troyes,Lille,1.53577,1.26975,2,2,a,2017-10-14 19:00:00
8663,Troyes,Lyon,0.277198,3.27703,0,5,h,2017-10-22 16:00:00
8666,Troyes,Caen,1.13546,0.58564,0,1,a,2017-10-28 19:00:00
8679,Troyes,Strasbourg,2.42579,0.886377,3,0,h,2017-11-04 19:00:00
8688,Troyes,Dijon,1.29033,1.4635,1,3,a,2017-11-18 19:00:00
8699,Troyes,Angers,1.18185,0.302355,3,0,h,2017-11-25 19:00:00
8712,Troyes,Paris Saint Germain,0.446889,1.70266,0,2,a,2017-11-29 20:00:00
8717,Troyes,Guingamp,1.00976,0.744047,0,1,h,2017-12-02 19:00:00
8731,Troyes,Monaco,1.39172,1.46253,2,3,a,2017-12-09 19:00:00
8744,Troyes,Amiens,2.47583,0.550401,1,0,h,2017-12-16 19:00:00
8752,Troyes,Marseille,1.23458,1.63202,1,3,a,2017-12-20 19:50:00
8764,Troyes,Bordeaux,1.39464,0.709073,0,1,h,2018-01-13 19:00:00
8766,Troyes,Angers,0.340789,1.886,1,3,a,2018-01-17 18:00:00
8784,Troyes,Lille,0.653627,0.547546,1,0,h,2018-01-20 19:00:00
8792,Troyes,Toulouse,0.0469224,1.48594,0,1,a,2018-01-27 19:00:00
8807,Troyes,Strasbourg,1.6317,0.9565,1,2,a,2018-02-11 14:00:00
8815,Troyes,Metz,2.0565,1.40506,1,0,h,2018-02-17 19:00:00
8803,Troyes,Dijon,0.36503,0.279816,0,0,h,2018-02-20 17:30:00
8825,Troyes,Rennes,0.312847,1.62688,0,2,a,2018-02-24 19:00:00
8835,Troyes,Paris Saint Germain,0.285736,2.02971,0,2,h,2018-03-03 16:00:00
8850,Troyes,Nantes,0.365029,1.76133,0,1,a,2018-03-10 19:00:00
8855,Troyes,Amiens,1.63646,0.964633,1,1,a,2018-03-17 19:00:00
8874,Troyes,Nice,0.45584,1.97826,0,2,h,2018-04-01 16:00:00
8877,Troyes,Guingamp,0.266909,2.7269,0,4,a,2018-04-07 18:00:00
8887,Troyes,Marseille,2.14411,1.31021,2,3,h,2018-04-15 15:00:00
8896,Troyes,Saint-Etienne,0.993049,2.87828,1,2,a,2018-04-22 00:00:00
8905,Troyes,Caen,1.16671,0.570932,3,1,h,2018-04-28 18:00:00
8918,Troyes,Lyon,0.827606,1.43351,0,3,a,2018-05-06 15:30:00
8934,Troyes,Montpellier,1.18808,0.589778,1,1,a,2018-05-12 20:00:00
8939,Troyes,Monaco,0.713742,2.56714,0,3,h,2018-05-19 19:00:00
